Date,O,H,L,C,V
2022-07-01,1000.05,1040.05,1000.0,1025.85,867
2022-07-04,1050.0,1050.0,820.7,1010.55,973
2022-07-05,1196.9,1196.9,954.0,981.45,2479
2022-07-06,991.15,1084.9,969.75,1028.7,2555
2022-07-07,1012.45,1032.8,995.0,1010.3,1221
2022-07-08,1048.95,1069.0,994.05,1004.7,2711
2022-07-11,1014.95,1025.85,990.0,1008.45,2383
2022-07-12,1005.8,1018.3,985.0,993.5,4605
2022-07-13,993.5,1025.0,992.0,1006.3,1093
2022-07-14,1025.0,1049.0,996.9,1020.9,1777
2022-07-15,1028.2,1033.0,1000.05,1022.3,2137
2022-07-18,1049.0,1140.0,1020.15,1118.65,15506
2022-07-19,1149.9,1327.7,1125.45,1288.8,56455
2022-07-20,1347.9,1359.0,1185.65,1216.35,34988
2022-07-21,1180.0,1230.05,1180.0,1217.15,4650
2022-07-22,1199.9,1211.0,1168.65,1186.1,4436
2022-07-25,1203.25,1244.35,1169.0,1180.7,8841
2022-07-26,1171.65,1179.8,1130.65,1145.4,2596
2022-07-27,1150.6,1167.55,1095.0,1105.05,10875
2022-07-28,1106.9,1144.7,1101.15,1124.25,1711
2022-07-29,1128.1,1135.45,1105.5,1119.3,2090
2022-08-01,1141.6,1141.6,1062.2,1096.25,3841
2022-08-02,1120.0,1174.0,1066.0,1086.9,5811
2022-08-03,1089.45,1121.05,1065.1,1110.4,4186
2022-08-04,1100.6,1148.0,1098.8,1140.65,5225
2022-08-05,1150.7,1174.5,1127.8,1160.1,3738
2022-08-08,1183.0,1233.65,1164.05,1214.9,6138
2022-08-10,1190.0,1233.0,1181.0,1197.15,4357
2022-08-11,1201.05,1207.45,1170.05,1199.75,6293
2022-08-12,1249.9,1250.0,1189.1,1208.7,1938
2022-08-16,1236.15,1236.15,1200.0,1221.1,1388
2022-08-17,1211.35,1224.0,1200.0,1206.75,1322
2022-08-18,1213.15,1213.9,1186.7,1203.95,1040
2022-08-19,1231.75,1249.95,1111.8,1157.25,4461
2022-08-22,1196.55,1196.55,1143.2,1184.5,1150
2022-08-23,1142.0,1198.95,1142.0,1185.9,816
2022-08-24,1219.6,1274.0,1185.9,1249.2,11335
2022-08-25,1249.2,1299.0,1218.35,1270.35,7507
2022-08-26,1294.0,1302.25,1246.0,1256.95,4009
2022-08-29,1228.2,1294.95,1206.1,1274.75,3377
2022-08-30,1230.0,1320.0,1230.0,1282.35,5607
2022-09-01,1280.5,1325.0,1203.55,1223.2,42221
2022-09-02,1223.2,1255.5,1195.0,1206.5,5526
2022-09-05,1237.0,1245.0,1203.4,1237.6,3437
2022-09-06,1249.9,1275.0,1228.5,1261.6,6263
2022-09-07,1270.0,1270.1,1249.55,1267.25,2549
2022-09-08,1274.0,1274.0,1242.0,1255.75,2539
2022-09-09,1265.0,1284.0,1250.1,1273.45,4166
2022-09-12,1275.9,1315.0,1260.0,1272.95,5701
2022-09-13,1279.85,1280.0,1247.1,1256.7,3384
2022-09-14,1250.0,1288.0,1211.0,1261.15,8480
2022-09-15,1228.0,1273.95,1207.55,1242.4,4925
2022-09-16,1242.5,1261.95,1207.0,1232.65,6246
2022-09-19,1230.0,1250.0,1220.0,1228.95,2679
2022-09-20,1222.45,1269.05,1222.45,1237.25,2049
2022-09-21,1237.25,1258.9,1205.25,1214.6,4448
2022-09-22,1248.0,1248.0,1210.95,1229.6,2978
2022-09-23,1246.0,1246.0,1195.0,1215.05,4186
2022-09-26,1299.95,1299.95,1177.0,1182.0,4387
2022-09-27,1182.0,1244.0,1173.0,1233.05,3127
2022-09-28,1250.0,1260.0,1213.4,1246.05,5283
2022-09-29,1249.0,1264.55,1220.0,1228.8,4840
2022-09-30,1276.05,1276.05,1226.1,1248.5,3576
2022-10-03,1269.0,1270.7,1215.55,1256.0,7270
2022-10-04,1268.95,1325.0,1244.05,1314.8,14414
2022-10-06,1356.4,1356.4,1301.0,1312.3,8699
2022-10-07,1300.05,1349.75,1300.05,1338.75,1855
2022-10-10,1359.0,1359.0,1314.05,1342.9,3544
2022-10-11,1349.0,1349.0,1276.15,1298.95,7365
2022-10-12,1344.0,1344.0,1279.9,1293.95,2301
2022-10-13,1324.0,1324.0,1270.65,1286.95,1344
2022-10-14,1297.0,1314.95,1274.1,1279.6,827
2022-10-17,1292.4,1299.0,1261.1,1285.8,1795
2022-10-18,1316.75,1316.75,1267.05,1272.85,871
2022-10-19,1275.0,1310.0,1212.45,1253.75,2148
2022-10-20,1249.95,1282.0,1249.95,1265.5,704
2022-10-21,1277.75,1287.95,1216.6,1231.25,2393
2022-10-24,1235.0,1285.0,1235.0,1264.75,2128
2022-10-25,1279.0,1279.0,1214.55,1237.1,1414
2022-10-27,1237.1,1248.95,1229.05,1244.55,379
2022-10-28,1233.6,1265.0,1225.15,1239.25,3569
2022-10-31,1261.2,1261.7,1220.0,1226.2,2536
2022-11-01,1230.1,1230.1,1149.65,1189.8,5605
2022-11-02,1201.05,1220.05,1184.1,1196.65,3626
2022-11-03,1228.0,1228.0,1172.7,1182.45,2966
2022-11-04,1183.4,1199.0,1088.95,1160.5,4789
2022-11-07,1198.0,1198.0,1109.6,1146.95,3290
2022-11-09,1190.7,1190.7,1107.05,1125.15,4930
2022-11-10,1120.5,1179.0,1101.0,1110.4,3303
2022-11-11,1144.0,1149.0,1102.05,1115.2,1749
2022-11-14,1143.0,1143.0,1095.0,1112.85,2583
2022-11-15,1135.15,1144.0,1107.6,1124.65,1311
2022-11-16,1111.05,1149.0,1052.15,1139.95,8660
2022-11-17,1153.9,1153.9,1088.05,1092.85,8509
2022-11-18,1095.0,1118.25,1067.0,1093.55,4940
2022-11-21,1100.85,1104.95,1078.0,1082.2,1428
2022-11-22,1099.95,1100.0,1055.5,1062.8,2073
2022-11-23,1056.0,1079.9,1050.0,1054.9,2857
2022-11-24,1048.9,1099.0,1044.65,1078.35,3644
2022-11-25,1107.0,1107.0,1050.0,1058.85,3564
