Date,O,H,L,C,V
2017-03-21,600.0,648.9,558.3,641.6,85728445
2017-03-22,641.55,657.45,625.1,638.55,15817671
2017-03-23,637.9,648.0,628.15,634.85,4690121
2017-03-24,635.45,640.45,612.6,616.9,4865013
2017-03-27,615.0,623.0,602.35,614.4,3535098
2017-03-28,617.2,633.4,615.1,628.8,2981122
2017-03-29,632.9,637.0,622.4,628.25,2407007
2017-03-30,624.2,635.0,622.2,631.85,1324054
2017-03-31,634.4,652.3,630.0,637.85,2075789
2017-04-03,638.0,643.0,633.0,634.25,992545
2017-04-05,636.0,645.1,628.3,632.15,820437
2017-04-06,632.0,668.4,630.2,664.4,5166823
2017-04-07,665.9,761.35,664.0,751.2,16504569
2017-04-10,769.0,806.9,759.05,774.1,14333464
2017-04-11,778.9,791.1,768.35,778.55,4283589
2017-04-12,779.0,782.9,755.0,762.2,2435513
2017-04-13,756.9,806.9,756.0,783.25,6262741
2017-04-17,785.9,789.7,766.6,774.05,2786771
2017-04-18,774.9,774.9,725.1,730.15,4750180
2017-04-19,735.0,752.0,722.0,732.8,2052184
2017-04-20,740.0,765.0,732.4,756.3,3218061
2017-04-21,760.0,765.0,739.0,743.2,1237439
2017-04-24,748.0,748.0,724.15,726.3,1249610
2017-04-25,731.0,739.9,721.15,734.8,1519949
2017-04-26,736.45,753.95,731.0,747.9,2080565
2017-04-27,749.0,749.7,736.1,740.1,614735
2017-04-28,743.85,747.0,735.0,736.5,516172
2017-05-02,737.25,762.9,737.25,752.3,1808851
2017-05-03,753.0,762.0,746.8,756.85,1083002
2017-05-04,762.2,793.0,762.2,773.25,2607954
2017-05-05,778.0,814.4,766.1,808.9,4332891
2017-05-08,823.65,824.5,770.2,780.15,3972924
2017-05-09,782.9,793.0,775.6,780.05,1199297
2017-05-10,781.9,795.0,780.0,790.85,1251054
2017-05-11,789.7,790.5,756.0,761.8,1038372
2017-05-12,763.9,768.0,736.7,751.8,1137225
2017-05-15,755.5,761.45,744.0,752.15,617269
2017-05-16,752.1,757.9,741.0,750.4,600525
2017-05-17,751.7,756.9,742.9,744.9,458274
2017-05-18,739.95,748.0,724.5,727.45,698857
2017-05-19,730.0,738.65,713.65,722.9,686573
2017-05-22,729.4,734.5,720.1,721.55,361363
2017-05-23,724.95,725.0,691.55,708.4,1362902
2017-05-24,710.4,722.9,701.0,714.2,748251
2017-05-25,720.0,720.0,705.5,712.4,508214
2017-05-26,714.0,732.0,709.45,714.9,790476
2017-05-29,715.0,719.75,710.0,714.8,307830
2017-05-30,715.0,742.85,710.0,727.85,912185
2017-05-31,731.8,750.8,726.4,745.15,883930
2017-06-01,749.9,782.0,745.0,776.85,1557053
2017-06-02,783.85,794.6,776.85,779.65,738963
2017-06-05,782.7,811.0,775.3,789.75,1662267
2017-06-06,792.8,800.5,772.55,775.35,761302
2017-06-07,777.0,784.5,771.25,774.3,335268
2017-06-08,776.95,799.8,768.05,790.25,1170440
2017-06-09,789.95,811.0,783.15,802.35,1485266
2017-06-12,804.0,823.0,797.0,804.1,1211793
2017-06-13,807.7,815.0,795.1,798.65,679152
2017-06-14,802.0,807.0,792.0,798.55,406225
2017-06-15,800.0,807.0,793.0,797.95,376579
2017-06-16,802.4,812.0,796.95,800.1,579782
2017-06-19,804.8,806.25,791.0,796.4,302416
2017-06-20,796.0,836.7,796.0,822.05,1759720
2017-06-21,825.8,838.8,813.3,817.8,1466750
2017-06-22,819.95,824.0,800.0,803.9,674073
2017-06-23,805.8,809.25,789.8,801.6,799811
2017-06-27,803.9,807.0,794.7,804.6,472470
2017-06-28,802.4,822.9,797.0,818.05,842867
2017-06-29,825.0,826.45,813.0,815.5,443572
2017-06-30,810.9,820.0,805.0,815.1,365653
2017-07-03,811.6,847.9,808.0,840.05,1577531
2017-07-04,843.0,843.0,829.0,836.2,590080
2017-07-05,834.9,854.95,830.85,846.05,795100
2017-07-06,847.55,909.0,847.55,880.3,3412326
2017-07-07,882.8,910.0,882.0,895.45,2129887
2017-07-10,940.2,944.0,890.0,934.6,646394
2017-07-11,946.0,954.9,907.5,913.95,1185183
2017-07-12,914.0,934.4,905.0,910.3,1206562
2017-07-13,915.0,933.7,910.25,915.15,1139296
2017-07-14,920.0,921.9,872.5,891.35,1325017
2017-07-17,894.9,917.7,886.05,911.7,951306
2017-07-18,908.9,920.0,901.05,910.65,509382
2017-07-19,914.2,924.95,907.45,911.7,524342
2017-07-20,914.8,918.8,905.1,909.2,504126
2017-07-21,912.5,921.0,907.0,914.75,648124
2017-07-24,937.0,964.0,911.0,916.55,2518684
2017-07-25,917.5,933.3,905.65,925.65,1018767
2017-07-26,930.0,932.9,893.0,909.6,1512281
2017-07-27,907.9,915.0,892.4,896.9,534158
2017-07-28,894.0,908.0,888.1,898.55,501864
2017-07-31,904.0,925.5,897.0,919.7,925153
2017-08-01,921.0,930.0,913.1,916.05,388020
2017-08-02,914.5,919.0,902.25,906.8,230945
2017-08-03,905.95,909.9,895.0,898.1,242241
2017-08-04,898.9,922.4,894.25,911.35,649179
2017-08-07,921.0,933.0,915.0,923.8,418558
2017-08-08,923.0,927.65,900.0,902.3,372966
2017-08-09,901.0,910.9,882.4,889.25,358608
2017-08-10,888.8,894.85,871.1,880.8,359649
2017-08-11,867.9,903.4,860.0,890.1,495041
2017-08-14,899.85,911.55,892.0,902.45,262198
2017-08-16,903.9,917.45,903.0,907.8,241073
2017-08-17,909.95,941.8,906.3,920.8,674395
2017-08-18,917.2,931.8,908.0,926.25,401717
2017-08-21,929.85,948.9,923.15,927.1,693305
2017-08-22,937.0,968.0,932.0,958.05,1103036
2017-08-23,977.0,999.0,967.55,989.5,2107260
2017-08-24,990.8,1019.0,986.0,994.6,1441084
2017-08-28,999.5,1057.0,990.2,1046.15,1489836
2017-08-29,1049.0,1068.2,1026.0,1032.85,1703113
2017-08-30,1044.9,1059.0,1041.5,1050.9,599048
2017-08-31,1055.8,1055.8,1032.0,1039.8,495126
2017-09-01,1045.8,1054.0,1037.0,1048.4,338544
2017-09-04,1045.0,1049.35,1007.4,1020.65,498521
2017-09-05,1026.0,1094.7,1026.0,1077.7,1667985
2017-09-06,1067.0,1103.0,1061.05,1066.6,1476806
2017-09-07,1071.0,1090.0,1070.0,1076.2,510790
2017-09-08,1081.6,1088.0,1055.0,1070.85,503514
2017-09-11,1079.95,1099.0,1060.25,1088.8,698741
2017-09-12,1096.0,1099.0,1085.0,1088.45,379312
2017-09-13,1095.0,1113.3,1085.0,1091.5,677114
2017-09-14,1093.0,1104.9,1080.4,1089.75,360997
2017-09-15,1103.35,1119.8,1080.1,1087.75,1564001
2017-09-18,1092.5,1099.0,1086.9,1089.5,360118
2017-09-19,1089.55,1094.95,1073.05,1077.55,297636
2017-09-20,1080.5,1094.0,1070.4,1084.75,342872
2017-09-21,1085.0,1088.0,1065.0,1069.05,281126
2017-09-22,1067.95,1067.95,1028.8,1039.15,367612
2017-09-25,1042.0,1047.6,982.05,1029.0,541800
2017-09-26,1060.5,1218.0,1054.25,1116.05,6738985
2017-09-27,1116.0,1153.6,1069.05,1076.75,2905722
2017-09-28,1077.75,1087.0,1021.3,1043.95,1545452
2017-09-29,1049.25,1094.8,1048.9,1078.45,1633060
2017-10-03,1095.45,1109.65,1078.8,1100.95,903689
2017-10-04,1107.5,1128.7,1087.85,1099.35,1449647
2017-10-05,1105.0,1118.0,1092.35,1104.0,1044277
