Date,O,H,L,C,V
2006-11-30,228.35,287.8,228.35,263.2,47828017
2006-12-01,274.0,274.0,253.05,255.3,9475815
2006-12-04,256.4,258.5,240.0,247.7,12087484
2006-12-05,254.45,262.5,248.0,261.0,10636317
2006-12-06,262.5,272.7,259.05,260.5,9342990
2006-12-07,260.2,262.0,257.0,259.2,3432183
2006-12-08,259.2,260.5,249.5,251.2,3896819
2006-12-11,255.5,255.5,233.2,236.7,3343147
2006-12-12,234.5,239.25,194.5,209.8,6320293
2006-12-13,213.5,225.75,203.05,222.3,6335196
2006-12-14,227.35,236.4,224.0,234.5,5254386
2006-12-15,237.5,238.4,229.3,230.45,3559486
2006-12-18,230.75,231.4,219.75,222.3,3369214
2006-12-19,222.0,229.7,216.55,218.75,3840635
2006-12-20,220.5,224.95,209.25,212.1,3272229
2006-12-21,212.3,215.4,207.55,211.9,2896583
2006-12-22,212.0,219.95,211.65,218.85,2442164
2006-12-26,219.0,219.95,215.55,216.7,1488415
2006-12-27,219.0,219.45,214.0,215.55,1001992
2006-12-28,211.0,222.0,211.0,218.05,2889945
2006-12-29,224.4,231.85,220.8,229.55,3832887
2007-01-02,231.0,235.0,228.75,231.4,1781389
2007-01-03,231.0,237.5,222.9,234.2,2557365
2007-01-04,236.4,236.9,226.6,228.2,1622547
2007-01-05,228.0,231.0,222.15,223.4,1687423
2007-01-08,222.95,222.95,217.3,220.4,1411922
2007-01-09,217.2,224.45,215.1,216.4,1098902
2007-01-10,216.0,217.0,207.5,208.8,1105072
2007-01-11,209.0,212.5,206.75,211.85,1351477
2007-01-12,213.5,216.0,209.1,210.1,872130
2007-01-15,212.0,215.9,210.5,211.4,1014910
2007-01-16,212.5,213.5,209.1,210.2,594742
2007-01-17,210.5,214.75,210.0,211.55,907314
2007-01-18,212.0,217.85,211.8,212.8,1699131
2007-01-19,214.45,214.7,210.05,211.9,694156
2007-01-22,212.55,214.0,207.5,208.7,709437
2007-01-23,208.0,210.8,202.5,203.8,802313
2007-01-24,205.5,211.2,204.2,209.3,1411563
2007-01-25,210.0,212.2,207.5,209.65,1124868
2007-01-29,210.0,211.0,203.4,204.3,659751
2007-01-31,205.5,207.25,196.2,198.6,1379645
2007-02-01,199.7,201.5,193.0,196.25,1022272
2007-02-02,197.35,203.35,197.0,201.95,1333830
2007-02-05,204.45,204.45,197.0,197.85,889424
2007-02-06,198.05,198.7,192.5,193.2,897495
2007-02-07,194.0,194.9,182.95,184.2,1861206
2007-02-08,184.95,188.35,179.0,180.25,1389176
2007-02-09,176.1,182.4,168.3,169.4,1991180
2007-02-12,170.0,170.3,150.0,150.8,3071655
2007-02-13,151.0,157.0,144.5,148.8,3948958
2007-02-14,142.5,149.35,139.0,147.15,1800922
