Date,O,H,L,C,V
2021-10-22,29.55,31.0,29.55,31.0,96393
2021-10-25,32.55,32.55,32.55,32.55,94036
2021-10-26,34.15,34.15,34.15,34.15,21632
2021-10-27,35.85,35.85,35.85,35.85,15108
2021-10-28,37.6,37.6,37.6,37.6,17121
2021-10-29,39.45,39.45,39.45,39.45,12174
2021-11-01,41.4,41.4,41.4,41.4,98379
2021-11-02,43.45,43.45,43.45,43.45,9265
2021-11-03,45.6,45.6,45.6,45.6,606926
2021-11-04,47.85,47.85,47.85,47.85,3048
2021-11-08,52.6,52.6,52.6,52.6,13822
2021-11-09,57.85,57.85,57.85,57.85,112962
2021-11-10,63.6,63.6,63.6,63.6,370651
2021-11-11,66.75,66.75,66.75,66.75,18955
2021-11-12,70.05,70.05,70.05,70.05,9845
2021-11-15,73.55,73.55,73.55,73.55,402444
2021-11-16,77.2,77.2,77.2,77.2,11796
2021-11-17,81.05,81.05,81.05,81.05,30341
2021-11-18,85.1,85.1,85.1,85.1,1596988
2021-11-22,89.35,89.35,89.35,89.35,140751
2021-11-23,93.8,93.8,89.4,93.8,4972320
2021-11-24,98.45,98.45,98.45,98.45,277863
2021-11-25,103.35,103.35,103.35,103.35,88422
2021-11-26,108.5,108.5,99.15,108.5,4241737
2021-11-29,113.9,113.9,103.1,103.1,5448424
2021-11-30,97.95,97.95,97.95,97.95,411786
2021-12-01,93.1,99.8,93.1,93.1,15365497
2021-12-02,93.1,97.75,93.1,97.75,1639681
2021-12-03,102.6,102.6,100.0,102.6,3144328
2021-12-06,107.7,107.7,103.0,107.7,3375284
2021-12-07,111.8,113.05,102.35,104.95,7757286
2021-12-08,107.05,109.4,100.9,103.55,3339864
2021-12-09,104.8,104.8,98.65,100.6,3644609
2021-12-10,101.0,103.6,99.2,100.85,2013546
2021-12-13,101.95,105.85,99.6,105.85,3649772
2021-12-14,107.5,111.1,106.4,111.1,4540259
2021-12-15,115.0,116.65,111.35,116.65,8154089
2021-12-16,116.65,119.3,110.85,110.85,4068656
2021-12-17,105.35,105.35,105.35,105.35,288059
2021-12-20,100.1,100.1,100.1,100.1,336206
2021-12-21,97.7,99.75,95.1,95.1,12048115
2021-12-22,95.5,99.85,95.25,98.6,4178760
2021-12-23,98.35,98.7,93.7,93.8,4506386
2021-12-24,93.8,95.1,89.7,91.75,1513217
2021-12-27,91.9,94.15,90.05,90.95,1451755
2021-12-28,91.9,95.45,91.25,95.3,3181968
2021-12-29,95.3,95.8,92.0,92.45,1228482
2021-12-30,93.5,93.65,90.6,91.3,1020414
2021-12-31,92.0,95.85,91.3,94.65,3513963
2022-01-03,94.55,96.9,92.4,93.4,1694446
2022-01-04,92.0,95.2,92.0,92.6,1617813
2022-01-05,92.6,94.3,90.55,91.05,1389796
2022-01-06,89.1,90.85,89.1,89.95,1054195
2022-01-07,90.05,94.4,90.0,91.65,3020600
2022-01-10,92.5,92.85,90.2,90.4,1334497
2022-01-11,90.0,91.2,85.9,86.25,2120813
2022-01-12,85.5,90.55,85.45,86.9,4505795
2022-01-13,87.65,89.0,87.55,88.25,1198599
2022-01-14,88.6,92.6,87.7,90.9,2272241
2022-01-17,91.45,91.8,87.8,88.25,1396598
2022-01-18,88.5,89.75,85.05,85.85,1229812
2022-01-19,85.5,87.9,84.6,86.5,1212047
2022-01-20,86.5,87.45,85.2,85.45,557510
2022-01-21,85.5,85.75,81.2,81.55,1643362
2022-01-24,81.35,81.8,77.5,77.5,913359
2022-01-25,74.5,79.4,73.7,78.3,1066500
2022-01-27,77.75,81.4,75.2,79.2,832597
2022-01-28,81.45,81.45,78.25,78.8,648717
2022-01-31,79.25,81.35,77.4,77.7,499275
2022-02-01,77.5,78.4,76.5,76.85,670585
2022-02-02,76.85,78.9,76.45,77.35,592633
2022-02-03,77.35,78.4,76.6,76.9,374402
2022-02-04,76.35,77.45,75.8,76.0,448661
2022-02-07,76.1,76.9,72.7,73.45,695252
2022-02-08,73.55,74.7,71.0,73.1,564182
2022-02-09,73.15,74.7,72.7,73.75,537553
2022-02-10,70.1,71.2,70.1,70.1,800413
2022-02-11,66.6,68.7,66.6,66.6,2039195
2022-02-14,63.3,64.4,63.3,63.3,1313447
2022-02-15,60.2,64.15,60.15,62.45,2471600
2022-02-16,63.4,65.45,61.6,62.45,1623996
2022-02-17,62.4,63.4,60.2,60.7,781663
2022-02-18,61.6,63.35,59.0,62.15,975634
2022-02-21,62.0,63.4,59.05,59.05,753815
2022-02-22,56.2,57.25,56.1,56.1,506180
2022-02-23,55.1,57.45,53.5,53.8,1116902
2022-02-24,51.15,51.85,51.15,51.15,468115
2022-02-25,50.25,53.4,49.65,51.6,1072174
2022-02-28,50.8,52.0,49.1,51.45,974322
2022-03-02,51.05,51.35,49.1,49.45,1092731
2022-03-03,49.6,50.95,49.6,50.0,629446
2022-03-04,50.95,52.5,49.5,52.5,1099713
2022-03-07,52.25,55.1,51.0,55.1,1209245
2022-03-08,56.95,57.85,55.9,57.85,593036
2022-03-09,60.7,60.7,60.7,60.7,141465
2022-03-10,63.7,63.7,63.7,63.7,356729
2022-03-11,61.85,65.15,60.55,61.75,3641406
2022-03-14,62.6,63.45,58.7,58.7,1166773
2022-03-15,58.6,60.65,56.0,56.2,864169
2022-03-16,57.8,57.9,56.6,57.2,508492
2022-03-17,58.45,58.5,56.1,56.6,856419
2022-03-21,57.5,57.5,54.15,54.55,714575
2022-03-22,55.0,57.25,54.1,57.15,1204129
2022-03-23,57.6,59.4,56.0,56.15,1141592
2022-03-24,56.1,56.95,55.2,55.8,712639
2022-03-25,56.4,56.6,54.1,54.25,868405
2022-03-28,54.2,54.9,51.6,51.75,1270456
2022-03-29,52.0,52.9,49.55,50.3,1545057
2022-03-30,51.0,52.8,51.0,52.65,1416684
2022-03-31,52.4,53.9,51.0,51.25,1446738
2022-04-01,51.4,53.8,51.4,53.8,378205
2022-04-04,55.7,56.45,55.0,56.45,918772
