Date,O,H,L,C,V
2018-10-08,750.0,787.0,710.05,774.35,3534258
2018-10-09,762.0,785.0,731.0,767.7,293295
2018-10-10,766.0,798.0,766.0,791.3,254753
2018-10-11,760.0,774.7,745.0,758.3,64953
2018-10-12,760.0,785.2,760.0,781.4,49674
2018-10-15,758.1,794.5,758.1,783.4,40739
2018-10-16,780.05,797.0,774.9,779.4,72475
2018-10-17,780.15,792.0,768.95,775.5,77718
2018-10-19,770.0,770.95,732.0,736.65,154689
2018-10-22,750.0,750.0,651.0,678.4,66813
2018-10-23,680.0,680.0,623.1,635.1,127341
2018-10-24,645.95,650.6,612.25,643.3,38009
2018-10-25,639.9,660.8,617.05,643.55,68841
2018-10-26,657.7,670.0,622.3,662.8,66917
2018-10-29,655.05,664.85,625.25,635.4,26365
2018-10-30,630.0,648.0,627.95,645.5,30058
2018-10-31,640.05,671.0,622.0,662.75,64324
2018-11-01,659.05,665.0,643.0,660.15,18275
2018-11-02,667.0,679.95,662.0,670.3,16821
2018-11-05,656.0,666.0,648.9,650.2,103024
2018-11-06,650.2,665.65,649.95,662.35,36501
2018-11-07,665.0,665.0,638.7,657.95,1916
2018-11-09,658.05,670.0,651.1,668.8,7177
2018-11-12,665.0,675.0,654.0,660.0,74733
2018-11-13,659.8,673.0,652.75,665.15,56424
2018-11-14,666.35,680.0,666.3,674.75,100282
2018-11-15,674.75,683.95,666.6,680.2,6829
2018-11-16,683.75,683.75,670.0,675.1,7699
2018-11-19,671.05,689.0,668.0,685.2,16158
2018-11-20,680.45,695.0,676.55,690.25,7517
2018-11-21,687.95,706.6,687.25,690.65,7138
2018-11-22,690.0,740.0,686.85,732.05,25064
2018-11-26,733.0,742.5,726.0,732.6,16043
2018-11-27,728.0,735.0,716.0,725.55,16482
2018-11-28,732.5,784.85,720.05,774.7,114237
2018-11-29,762.2,782.05,757.0,762.4,9773
2018-11-30,757.05,779.95,751.0,769.35,188248
2018-12-03,770.5,785.0,760.1,779.15,111929
2018-12-04,770.05,780.0,765.1,771.2,11560
2018-12-05,764.05,799.8,761.0,776.05,14960
2018-12-06,777.0,786.0,765.0,775.1,6641
2018-12-07,771.05,784.0,765.0,778.55,8816
2018-12-10,732.75,784.0,732.75,774.6,13727
2018-12-11,761.75,790.0,759.25,785.9,17432
2018-12-12,778.05,815.3,777.0,805.55,57679
2018-12-13,814.4,865.0,797.1,835.0,490161
2018-12-14,822.5,848.95,822.5,839.45,317736
2018-12-17,840.0,847.9,835.6,839.95,83533
2018-12-18,836.8,844.8,821.0,835.7,108114
2018-12-19,833.1,855.0,833.05,849.3,44806
2018-12-20,847.8,851.0,838.0,843.35,9331
2018-12-21,843.35,854.0,805.15,823.0,22012
2018-12-24,812.2,826.95,780.05,788.4,19024
2018-12-26,788.45,868.0,735.0,800.35,41382
2018-12-27,819.75,836.0,792.1,807.3,18326
2018-12-28,810.0,825.0,810.0,816.75,13414
2018-12-31,835.0,863.2,820.0,857.5,137147
2019-01-01,851.0,865.0,840.0,845.25,15420
2019-01-02,840.25,856.75,829.95,840.65,10812
2019-01-03,830.2,845.95,830.2,837.65,5728
2019-01-04,831.05,843.95,830.9,840.85,10472
2019-01-07,835.05,846.75,835.05,840.65,11036
2019-01-08,836.15,846.9,836.15,841.95,46053
2019-01-09,835.3,845.0,835.3,843.8,15787
2019-01-10,840.05,846.0,838.3,840.95,4463
2019-01-11,840.0,848.95,835.0,842.7,8986
2019-01-14,827.85,836.0,808.8,828.95,9203
2019-01-15,828.0,852.0,828.0,849.85,17858
2019-01-16,840.95,855.0,837.4,841.1,8364
2019-01-17,849.95,857.0,836.05,853.85,21528
2019-01-18,860.0,860.0,836.8,842.6,3431
2019-01-21,832.0,850.0,830.0,837.25,3788
2019-01-22,842.2,855.0,842.0,850.7,7646
2019-01-23,849.55,858.6,849.55,854.15,8962
2019-01-24,849.05,859.85,845.9,854.5,3740
2019-01-25,830.25,858.45,830.25,850.1,3797
2019-01-28,849.95,850.0,824.05,826.4,6575
2019-01-29,825.05,838.0,825.0,828.65,9311
2019-01-30,828.05,837.7,828.0,830.75,80331
2019-01-31,843.8,869.85,835.6,853.85,13153
2019-02-01,858.25,858.25,811.0,838.4,20406
2019-02-04,840.0,840.0,820.1,825.2,63491
2019-02-05,834.6,840.0,826.05,839.85,107631
2019-02-06,839.8,848.0,835.0,839.15,100637
2019-02-07,835.05,853.0,835.05,850.6,52832
2019-02-08,840.05,864.0,840.05,861.75,49909
2019-02-11,856.0,869.9,851.1,867.4,21235
2019-02-12,867.4,894.9,867.4,890.95,44470
2019-02-13,900.0,915.95,894.0,904.7,66348
2019-02-14,895.0,909.0,885.25,904.0,8555
2019-02-15,890.0,911.95,881.0,897.45,9335
2019-02-18,885.0,904.0,885.0,892.65,23630
2019-02-19,894.0,909.45,894.0,907.4,21316
2019-02-20,904.95,945.0,904.95,938.9,81520
2019-02-21,950.0,962.5,939.1,956.3,18380
2019-02-22,949.95,1017.0,949.95,999.3,69359
2019-02-25,1000.3,1023.0,977.0,987.9,32770
2019-02-26,969.0,1008.1,950.0,991.1,25326
