Date,Open,High,Low,Close,Volume
2022-06-15,46.0,47.0,43.15,44.25,23458.0
2022-06-16,45.95,46.25,42.2,42.95,8528.0
2022-06-17,44.8,44.8,40.85,40.85,8279.0
2022-06-20,38.85,42.0,38.85,39.4,14971.0
2022-06-21,41.2,41.2,38.65,39.1,3661.0
2022-06-22,37.65,41.05,37.3,37.45,42166.0
2022-06-23,39.0,39.0,35.9,38.5,619.0
2022-06-24,38.95,39.85,37.45,37.85,2293.0
2022-06-27,38.05,39.5,36.0,36.85,7577.0
2022-06-28,37.95,37.95,35.05,36.5,3298.0
2022-06-29,36.5,37.0,35.05,36.15,2967.0
2022-06-30,36.5,37.95,34.5,37.65,5449.0
2022-07-01,38.0,39.45,35.95,36.8,6360.0
2022-07-04,36.05,37.0,35.0,36.45,14866.0
2022-07-05,36.1,37.0,35.25,36.8,1461.0
2022-07-06,36.95,38.5,35.05,35.4,27695.0
2022-07-07,36.9,36.9,33.75,33.8,17496.0
2022-07-08,35.0,35.45,32.2,34.4,6332.0
2022-07-11,36.1,36.1,32.7,35.85,4865.0
2022-07-12,35.8,37.0,35.7,36.5,2508.0
2022-07-13,37.0,37.0,34.7,34.7,5338.0
2022-07-14,34.15,35.9,33.5,34.75,1651.0
2022-07-15,35.2,35.35,33.2,33.5,7029.0
2022-07-18,34.85,35.15,32.2,34.0,7292.0
2022-07-19,34.9,35.5,33.35,35.0,2897.0
2022-07-20,36.0,36.0,33.65,33.85,12830.0
2022-07-21,32.95,35.5,32.95,34.4,8637.0
2022-07-22,36.1,36.1,34.25,34.5,5674.0
2022-07-25,35.65,35.9,34.75,35.8,8502.0
2022-07-26,35.8,37.5,34.05,34.1,4123.0
2022-07-27,35.0,35.8,34.3,35.1,3968.0
2022-07-28,36.8,36.8,34.0,34.6,7293.0
2022-07-29,34.6,35.7,32.9,34.05,7992.0
2022-08-01,34.5,35.7,33.1,34.85,6882.0
2022-08-02,36.55,36.55,34.0,34.15,6065.0
2022-08-03,35.25,35.6,34.0,34.75,8837.0
2022-08-04,34.15,36.2,34.1,34.25,4272.0
2022-08-05,34.1,37.65,34.05,37.65,21747.0
2022-08-08,38.05,41.4,38.05,41.4,20241.0
2022-08-10,43.0,44.95,38.5,44.0,53739.0
2022-08-11,45.95,45.95,42.1,43.5,16056.0
2022-08-12,42.05,45.0,42.05,42.1,8460.0
2022-08-16,42.95,42.95,40.0,41.15,7735.0
2022-08-17,41.7,42.45,39.85,41.5,7454.0
2022-08-18,43.4,43.4,40.2,42.2,3563.0
2022-08-19,44.1,44.1,41.0,42.55,26292.0
2022-08-22,41.15,44.15,41.15,42.4,3826.0
2022-08-23,43.4,43.55,41.3,43.2,10618.0
2022-08-24,43.5,44.85,41.8,44.1,11354.0
2022-08-25,45.45,45.45,42.0,42.55,7614.0
