Date,Open,High,Low,Close,Volume
2021-03-24,520.0,548.95,502.25,526.8,16135816.0
2021-03-25,511.5,518.8,491.0,494.75,2119014.0
2021-03-26,502.0,510.0,491.0,495.7,925705.0
2021-03-30,497.0,504.45,475.0,480.3,530051.0
2021-03-31,477.9,497.5,474.0,489.15,527647.0
2021-04-01,495.1,519.8,492.85,516.95,695372.0
2021-04-05,525.0,558.1,515.55,540.95,1583749.0
2021-04-06,545.5,560.9,545.5,552.1,918972.0
2021-04-07,558.75,563.75,545.15,557.4,758597.0
2021-04-08,560.75,562.4,548.6,552.65,386096.0
2021-04-09,555.2,558.8,549.1,555.25,229741.0
2021-04-12,548.0,586.0,516.35,553.65,1187225.0
2021-04-13,559.1,585.0,551.9,580.4,659160.0
2021-04-15,581.9,600.95,564.2,594.7,671215.0
2021-04-16,594.0,607.0,573.35,579.95,465893.0
2021-04-19,567.0,569.4,550.0,552.05,206642.0
2021-04-20,563.0,570.65,548.8,556.55,205041.0
2021-04-22,560.9,560.9,549.0,554.4,202740.0
2021-04-23,559.0,599.95,554.15,590.0,946298.0
2021-04-26,599.2,609.9,591.15,602.55,784396.0
2021-04-27,610.0,637.0,603.2,629.6,1399747.0
2021-04-28,640.0,662.5,635.0,640.0,1017198.0
2021-04-29,654.0,658.0,622.0,632.2,494639.0
2021-04-30,624.0,639.95,618.35,624.25,396130.0
2021-05-03,624.4,641.5,612.0,629.55,396478.0
2021-05-04,635.05,646.85,623.0,636.55,427112.0
2021-05-05,642.65,689.0,633.05,682.85,1272598.0
2021-05-06,689.9,716.8,676.5,703.9,1124629.0
2021-05-07,709.9,726.0,702.05,721.1,580306.0
2021-05-10,727.2,751.9,725.2,736.15,807643.0
2021-05-11,731.9,739.0,714.05,729.9,615711.0
2021-05-12,730.0,741.8,710.55,728.5,473991.0
2021-05-14,733.0,743.8,718.05,734.45,562187.0
2021-05-17,736.4,764.05,735.1,755.85,417606.0
2021-05-18,764.0,775.85,760.0,767.75,519560.0
2021-05-19,780.0,798.95,766.0,771.5,522542.0
2021-05-20,790.0,790.0,766.25,771.55,309875.0
2021-05-21,780.0,780.0,763.2,769.4,314708.0
2021-05-24,772.3,772.4,752.05,768.3,287173.0
2021-05-25,774.0,774.0,759.0,762.05,131738.0
2021-05-26,766.0,782.95,762.0,772.4,303709.0
2021-05-27,773.95,773.95,764.0,767.35,94218.0
2021-05-28,771.0,771.6,755.1,761.5,96321.0
2021-05-31,759.95,770.95,746.0,754.25,111701.0
2021-06-01,754.9,754.9,720.4,726.9,235935.0
2021-06-02,724.0,737.3,723.6,733.75,95426.0
2021-06-03,739.9,783.85,739.9,774.95,447534.0
2021-06-04,782.5,788.8,764.05,769.25,136135.0
2021-06-07,790.0,790.0,768.0,772.9,140131.0
2021-06-08,772.0,778.9,758.05,760.9,116016.0
2021-06-09,766.95,768.5,741.55,749.65,119709.0
2021-06-10,756.0,773.7,748.1,768.7,97603.0
2021-06-11,774.75,793.1,755.0,777.65,203478.0
2021-06-14,791.5,808.0,753.1,757.3,520041.0
2021-06-15,768.0,787.0,757.5,761.35,233190.0
2021-06-16,763.9,763.9,748.0,753.0,114806.0
2021-06-17,753.0,753.0,738.0,741.1,105781.0
2021-06-18,746.5,748.75,702.05,733.2,147697.0
2021-06-21,717.0,735.05,700.0,724.2,121986.0
2021-06-22,730.0,744.3,726.2,732.95,113716.0
2021-06-23,739.7,751.0,728.6,743.95,233522.0
2021-06-24,748.85,750.0,730.5,744.35,168748.0
2021-06-25,740.0,748.2,728.6,745.25,162493.0
2021-06-28,747.0,747.65,733.0,744.0,85557.0
2021-06-29,742.9,774.0,739.25,754.65,301183.0
2021-06-30,759.65,763.95,750.25,760.0,298875.0
2021-07-01,765.0,770.0,745.0,754.7,127782.0
2021-07-02,759.7,776.9,752.95,757.95,273681.0
2021-07-05,759.9,774.4,756.05,764.7,166756.0
2021-07-06,767.85,771.1,758.0,763.8,193888.0
2021-07-07,764.9,774.95,752.5,768.9,104741.0
2021-07-08,770.75,788.7,770.75,783.1,193234.0
2021-07-09,775.25,821.7,773.65,812.45,757161.0
2021-07-12,823.0,848.05,822.3,829.6,326405.0
2021-07-13,833.0,836.8,818.1,825.35,132332.0
2021-07-14,829.0,831.95,809.7,816.95,109017.0
2021-07-15,820.9,831.0,809.1,815.05,191645.0
2021-07-16,819.7,822.0,808.0,814.35,203191.0
2021-07-19,814.0,814.0,791.55,799.45,143120.0
2021-07-20,799.0,802.3,775.0,781.2,104236.0
2021-07-22,784.5,790.0,777.1,778.65,39808.0
2021-07-23,779.9,784.95,762.5,766.3,79481.0
2021-07-26,769.9,771.8,744.1,752.3,66411.0
2021-07-27,752.3,759.7,725.0,730.85,154048.0
2021-07-28,734.9,734.9,705.35,717.7,141603.0
2021-07-29,724.9,760.0,720.6,728.6,101826.0
2021-07-30,730.05,741.65,718.25,726.4,206654.0
2021-08-02,729.9,740.0,721.1,723.45,182554.0
2021-08-03,728.95,753.85,717.55,720.4,291862.0
2021-08-04,724.9,728.5,710.0,712.75,374128.0
