Date,O,H,L,C,V
2022-10-17,130.0,130.0,124.36,124.6,4191
2022-10-18,125.49,127.99,125.4,125.65,3715
2022-10-19,125.0,125.66,125.0,125.55,1916
2022-10-20,125.52,128.4,125.52,125.97,1687
2022-10-21,125.52,128.47,125.52,126.73,2489
2022-10-24,129.99,129.99,126.31,127.99,47
2022-10-25,127.99,127.99,124.05,125.17,2280
2022-10-27,125.01,129.0,125.01,126.4,18934
2022-10-28,127.0,128.5,124.81,128.0,7152
2022-10-31,131.84,131.84,125.35,125.37,8262
2022-11-01,126.15,134.01,126.15,129.45,29186
2022-11-02,130.19,133.8,128.51,128.85,4150
2022-11-03,128.31,132.0,128.31,131.96,752
2022-11-04,132.0,132.99,128.9,131.5,665
2022-11-07,130.8,131.0,130.5,130.5,286
2022-11-09,132.0,132.6,130.6,130.8,1283
2022-11-10,130.7,132.0,130.31,130.31,647
2022-11-11,131.56,133.0,131.1,132.37,708
2022-11-14,133.0,134.7,131.37,133.4,390
2022-11-15,132.8,134.4,130.83,134.4,32
2022-11-16,133.8,133.8,131.8,131.99,622
2022-11-17,131.85,132.99,131.85,132.96,558
2022-11-18,133.0,133.0,130.8,130.81,318
2022-11-21,131.0,133.59,130.81,131.95,186
2022-11-22,132.84,133.5,129.8,130.75,411
2022-11-23,131.7,133.5,131.01,133.49,413
2022-11-24,135.5,135.5,129.8,131.6,932
2022-11-25,133.0,134.5,133.0,133.7,33
2022-11-28,133.8,134.1,133.09,133.34,216
2022-11-29,133.8,136.4,133.0,135.06,1222
2022-11-30,136.0,137.92,136.0,137.0,212
2022-12-01,137.0,137.6,136.95,137.27,314
2022-12-02,136.4,136.99,134.3,135.18,213
2022-12-05,135.18,136.0,134.3,135.0,61
2022-12-06,135.0,138.36,135.0,138.33,24
2022-12-07,135.8,138.36,135.12,138.16,1230
2022-12-08,137.7,138.39,137.0,137.9,85
2022-12-09,136.0,137.54,130.81,133.42,134
2022-12-12,135.0,138.9,133.4,135.77,1359
2022-12-13,131.7,137.5,131.7,136.71,30
2022-12-14,136.0,137.7,135.95,136.13,44
2022-12-15,135.96,135.96,135.15,135.15,123
