Date,O,H,L,C,V
2020-10-05,275.0,296.7,257.0,275.8,8546238
2020-10-06,274.0,274.15,261.55,266.25,2721384
2020-10-07,262.9,270.0,262.5,265.55,820136
2020-10-08,267.05,273.35,264.55,270.85,738241
2020-10-09,270.85,276.0,270.0,274.85,556877
2020-10-12,275.0,276.9,265.0,269.45,440911
2020-10-13,266.35,272.0,263.0,269.8,369077
2020-10-14,267.15,269.0,260.6,261.8,231804
2020-10-15,263.0,266.15,255.0,257.25,215948
2020-10-16,257.1,260.5,243.0,245.1,229542
2020-10-19,247.0,248.3,234.3,235.85,309611
2020-10-20,235.85,236.85,223.8,224.65,297360
2020-10-21,222.2,243.8,222.2,238.95,1258953
2020-10-22,238.5,244.6,233.05,238.95,392676
2020-10-23,241.45,242.95,235.6,240.05,383393
2020-10-26,241.0,251.2,240.2,248.75,320284
2020-10-27,267.0,298.5,267.0,298.5,4710027
2020-10-28,305.9,335.9,278.85,315.85,7045997
2020-10-29,300.0,329.95,296.95,325.75,1977364
2020-10-30,327.95,379.0,327.0,353.35,4462994
2020-11-02,353.65,354.0,314.3,315.9,933339
2020-11-03,312.5,328.9,296.5,298.9,848752
2020-11-04,299.05,322.8,290.65,309.7,768906
2020-11-05,315.2,320.0,304.8,311.2,288705
2020-11-06,311.9,317.45,309.05,311.55,359419
2020-11-09,312.05,342.7,309.15,334.5,2120253
2020-11-10,339.9,345.9,323.0,327.85,721991
2020-11-11,327.7,338.8,323.35,332.05,505739
2020-11-12,333.0,343.5,326.6,338.05,517305
2020-11-13,335.25,364.1,335.25,352.2,915610
2020-11-17,348.05,356.5,345.0,349.5,632194
2020-11-18,350.45,354.95,348.65,351.2,204970
2020-11-19,346.85,369.35,346.85,358.85,547130
2020-11-20,357.5,364.0,353.65,359.8,259500
2020-11-23,360.0,363.9,355.75,356.3,178666
2020-11-24,356.3,360.0,353.5,354.85,140872
2020-11-25,354.85,363.75,351.75,352.5,273223
2020-11-26,355.95,358.4,351.5,351.9,134142
2020-11-27,352.3,360.3,351.5,357.8,249363
2020-12-01,353.1,356.9,350.25,350.55,153972
2020-12-02,351.45,353.95,348.75,350.25,119345
