Date,Open,High,Low,Close,Volume
2009-10-09,61.1,61.1,53.85,56.7,81235962.0
2009-10-12,57.1,58.2,55.1,57.05,9271424.0
2009-10-14,57.45,57.5,54.9,55.35,4596981.0
2009-10-15,55.45,56.25,54.1,54.5,2171719.0
2009-10-16,54.4,57.85,53.5,56.95,3856718.0
2009-10-17,57.75,57.75,56.5,57.0,809810.0
2009-10-20,56.95,58.35,53.65,56.9,4950394.0
2009-10-21,56.85,58.0,55.3,55.75,2125547.0
2009-10-22,55.8,56.95,55.0,55.35,1033411.0
2009-10-23,56.7,57.25,55.0,55.3,1067782.0
2009-10-26,55.5,55.7,54.5,55.05,702805.0
2009-10-27,54.8,55.15,52.6,53.05,662204.0
2009-10-28,53.05,53.5,52.0,52.6,730155.0
2009-10-29,51.95,56.5,51.95,54.15,1073475.0
2009-10-30,54.6,55.4,52.05,52.9,629699.0
2009-11-03,52.95,53.75,50.1,50.9,1103329.0
2009-11-04,52.0,53.35,51.0,51.65,1254108.0
2009-11-05,51.8,53.5,51.0,52.65,914502.0
2009-11-06,53.0,54.7,52.8,53.55,488037.0
2009-11-09,54.3,57.75,53.2,56.65,1141644.0
2009-11-10,57.5,59.8,55.9,56.4,4024846.0
2009-11-11,57.5,58.5,56.5,56.8,2560208.0
2009-11-12,57.0,57.3,55.5,56.55,917303.0
2009-11-13,56.5,57.45,55.8,57.1,941415.0
2009-11-16,59.8,59.8,57.15,57.45,1789297.0
2009-11-17,57.65,57.85,56.3,56.8,423056.0
2009-11-18,57.0,58.4,56.3,57.4,2220234.0
2009-11-19,57.8,58.3,57.1,58.0,1874826.0
2009-11-20,57.9,58.35,57.3,58.05,2366370.0
2009-11-23,58.3,58.65,57.55,57.95,1300178.0
2009-11-24,58.4,58.4,56.65,56.8,1486618.0
2009-11-25,57.35,57.35,55.8,56.3,705693.0
2009-11-26,56.9,57.7,56.2,56.95,1170593.0
2009-11-27,56.1,56.5,54.1,54.95,1009172.0
2009-11-30,55.5,55.8,54.75,55.45,861644.0
2009-12-01,55.75,56.0,55.0,55.85,1965218.0
2009-12-02,56.1,57.1,55.5,55.9,1295850.0
2009-12-03,56.0,58.45,55.9,58.05,3503912.0
2009-12-04,57.75,58.4,57.1,57.4,885162.0
2009-12-07,57.65,58.0,56.25,57.1,457886.0
2009-12-08,57.5,59.7,57.35,58.95,6294169.0
2009-12-09,58.1,60.5,58.05,58.25,4970652.0
2009-12-10,58.5,58.55,57.0,57.4,970834.0
2009-12-11,57.8,58.35,55.25,55.5,1435534.0
2009-12-14,56.25,57.2,54.6,54.95,1190442.0
2009-12-15,55.4,56.35,52.45,53.2,2050407.0
2009-12-16,54.2,54.45,53.2,53.4,811706.0
2009-12-17,53.0,53.95,53.0,53.05,533303.0
2009-12-18,53.3,54.3,52.65,53.1,1841244.0
2009-12-21,53.3,53.65,52.1,53.05,1636351.0
