Date,O,H,L,C,V
2022-01-27,72.0,82.8,72.0,74.55,148675
2022-01-28,77.4,82.0,72.15,75.7,94926
2022-01-31,80.5,80.5,71.0,71.35,68741
2022-02-01,65.2,78.0,65.2,72.85,66477
2022-02-02,75.0,76.65,72.5,74.1,42919
2022-02-03,75.05,75.95,73.2,73.65,46219
2022-02-04,74.3,79.05,74.0,74.3,47725
2022-02-07,74.4,89.15,74.4,89.15,140274
2022-02-08,99.0,106.95,96.0,106.95,350797
2022-02-09,117.5,117.6,115.6,117.6,61715
2022-02-10,129.35,129.35,110.15,129.35,450662
2022-02-11,136.4,142.25,131.05,142.25,501664
2022-02-14,139.5,149.35,135.25,149.35,329034
2022-02-15,152.0,156.8,150.55,156.8,138803
2022-02-16,164.6,164.6,155.05,164.6,162325
2022-02-17,167.0,170.6,156.4,156.4,174885
2022-02-18,148.6,148.6,148.6,148.6,13057
2022-02-21,141.2,141.2,141.2,141.2,3162
2022-02-22,134.15,134.15,134.15,134.15,3391
2022-02-23,127.45,140.85,127.45,128.55,270353
2022-02-24,122.5,134.4,122.15,123.35,96315
2022-02-25,124.0,129.5,124.0,129.5,16615
2022-02-28,123.5,129.35,123.05,125.25,47608
2022-03-02,125.25,131.5,123.7,129.85,15961
2022-03-03,134.65,136.3,130.3,136.3,13520
2022-03-04,138.0,142.45,138.0,139.8,54941
2022-03-07,138.0,142.4,132.85,132.85,15104
2022-03-08,126.75,132.0,126.25,126.85,17375
2022-03-09,122.25,130.15,122.25,128.4,8966
2022-03-10,132.65,134.1,129.85,131.8,11112
2022-03-11,126.0,134.0,126.0,127.5,6919
2022-03-14,128.0,132.7,121.15,123.05,20125
2022-03-15,121.1,125.95,116.9,117.25,16783
2022-03-16,122.8,122.8,116.0,118.6,10268
2022-03-17,119.0,123.1,117.5,118.35,4671
2022-03-21,123.0,123.0,112.45,113.6,16938
2022-03-22,118.0,119.0,109.0,116.85,21157
2022-03-23,112.5,120.0,112.5,118.9,16693
2022-03-24,122.3,124.8,119.2,124.8,15868
2022-03-25,130.75,131.0,127.85,131.0,17543
2022-03-28,125.0,137.55,125.0,132.95,17109
2022-03-29,137.0,137.0,126.35,126.35,13044
2022-03-30,123.35,131.2,121.35,125.05,11065
2022-03-31,125.0,128.9,118.8,119.95,16166
2022-04-01,122.0,124.4,115.3,122.0,6367
2022-04-04,119.8,124.7,119.8,121.35,7126
2022-04-05,121.45,126.0,118.5,123.5,12017
2022-04-06,121.0,124.95,120.95,123.3,7573
2022-04-07,126.0,126.0,118.5,123.55,6213
2022-04-08,127.9,127.9,123.65,125.9,11727
2022-04-11,125.9,132.15,125.9,132.15,18338
2022-04-12,136.9,138.75,136.0,138.75,14650
2022-04-13,144.0,145.65,132.5,145.5,50508
2022-04-18,152.75,152.75,140.35,152.25,54985
2022-04-19,155.5,159.0,144.7,151.5,32890
2022-04-20,145.25,158.0,145.0,149.65,14006
2022-04-21,146.7,154.5,145.65,152.75,14268
2022-04-22,153.3,153.3,146.3,148.5,5962
2022-04-25,145.2,155.1,141.35,152.8,22509
2022-04-26,152.75,157.4,150.0,151.45,14677
2022-04-27,150.8,157.2,144.25,147.3,17534
2022-04-28,153.0,154.0,141.6,145.2,5488
2022-04-29,149.3,149.3,138.0,139.85,16888
2022-05-02,134.0,144.6,134.0,140.35,4993
2022-05-04,135.6,141.35,133.35,133.35,6193
2022-05-05,132.6,140.0,127.0,138.75,16116
2022-05-06,135.05,138.55,131.85,131.85,4849
2022-05-09,126.0,138.0,125.3,128.05,6679
2022-05-10,124.2,133.95,122.25,124.5,3026
2022-05-12,115.15,122.55,114.8,119.45,2761
2022-05-13,119.45,123.85,115.05,119.15,3007
2022-05-16,120.0,124.85,116.9,120.35,4257
2022-05-17,122.05,126.35,122.05,125.1,11232
2022-05-18,126.1,130.0,119.3,122.85,3316
2022-05-19,116.75,128.95,116.75,128.95,6999
2022-05-20,134.0,135.35,131.7,135.35,4608
2022-05-23,142.05,142.1,129.05,141.25,17422
2022-05-24,145.55,145.55,134.2,134.2,2800
2022-05-25,131.5,135.4,127.9,129.0,2086
2022-05-26,128.45,132.4,123.45,130.05,4970
2022-05-27,126.1,135.9,126.1,131.7,1547
2022-05-30,127.1,134.6,126.3,130.5,1935
2022-05-31,126.2,137.0,126.2,130.6,8658
2022-06-01,130.05,134.75,126.35,130.8,4371
2022-06-02,127.55,135.95,127.55,129.85,2362
2022-06-03,130.6,135.0,128.75,132.95,5401
2022-06-06,136.4,136.4,128.65,129.65,3907
2022-06-07,130.1,131.35,127.0,127.4,2498
2022-06-08,127.7,128.8,120.0,121.95,4416
2022-06-09,121.15,124.7,110.2,119.1,7212
2022-06-10,119.3,122.85,112.0,115.6,4430
2022-06-13,114.0,116.8,107.5,112.9,4965
2022-06-14,112.05,117.3,111.15,115.8,2667
2022-06-15,119.05,123.0,116.1,118.4,1223
2022-06-16,118.4,122.8,106.6,112.95,2027
2022-06-17,108.8,117.45,108.8,112.35,1475
2022-06-20,109.95,117.95,103.25,114.85,8376
2022-06-21,112.65,126.0,109.0,112.65,7754
2022-06-22,112.75,123.05,108.9,121.3,6370
2022-06-23,115.85,120.0,114.0,119.65,4021
2022-06-24,119.25,120.95,114.0,120.65,3922
2022-06-27,118.25,121.75,115.05,118.2,4828
2022-06-28,121.0,121.0,118.05,118.3,2198
2022-06-29,121.15,121.6,118.0,118.15,3519
2022-06-30,119.35,120.4,118.0,118.05,2824
2022-07-01,118.95,119.95,118.0,118.5,42889
2022-07-04,119.0,120.5,118.0,118.0,4519
2022-07-05,121.55,121.7,118.05,118.15,2001
2022-07-06,119.6,120.2,118.05,118.8,1442
2022-07-07,119.05,120.15,118.05,119.45,3780
2022-07-08,123.0,123.0,118.0,118.05,1425
2022-07-11,119.85,122.0,118.05,119.55,3543
2022-07-12,118.55,120.25,118.0,118.9,2856
2022-07-13,119.9,130.75,118.0,130.75,86083
2022-07-14,139.7,139.7,125.55,130.05,16157
2022-07-15,130.05,139.95,128.0,138.85,36318
2022-07-18,139.95,140.0,131.0,138.95,16723
2022-07-19,133.15,137.8,133.15,136.15,6205
2022-07-20,138.05,138.95,133.95,135.85,4247
2022-07-21,133.05,137.7,133.05,134.1,2318
2022-07-22,133.65,137.65,130.2,132.3,7340
2022-07-25,129.15,131.25,125.95,129.45,5121
2022-07-26,131.5,137.4,125.0,131.65,3329
2022-07-27,136.0,136.0,128.0,129.0,4028
2022-07-28,128.9,135.9,128.15,132.4,3908
2022-07-29,129.7,133.45,128.25,130.4,2072
2022-08-01,132.4,133.25,129.0,130.45,2264
2022-08-02,130.95,138.5,130.0,137.35,11513
2022-08-03,137.0,138.0,129.0,134.0,6701
2022-08-04,136.7,137.5,130.5,133.2,5583
2022-08-05,136.05,138.0,130.5,132.7,10674
2022-08-08,131.9,135.4,131.9,132.75,2016
2022-08-10,132.75,136.35,130.45,132.35,3722
2022-08-11,133.4,135.9,130.95,134.8,3723
2022-08-12,133.0,135.8,131.3,134.3,3027
2022-08-16,134.3,152.0,134.0,146.3,53445
2022-08-17,150.0,155.95,143.4,148.85,22979
2022-08-18,153.05,154.4,146.95,149.25,8086
2022-08-19,153.95,153.95,139.1,141.4,7699
2022-08-22,146.55,153.05,136.05,141.65,6151
2022-08-23,142.7,144.45,140.3,143.8,3189
2022-08-24,145.7,172.55,142.2,172.15,196817
2022-08-25,173.0,175.0,155.0,157.15,62683
2022-08-26,162.5,167.75,155.7,157.25,27502
2022-08-29,157.5,162.2,147.0,159.0,15786
2022-08-30,159.95,166.05,153.75,156.35,19630
2022-09-01,159.3,172.0,153.25,160.5,23811
2022-09-02,160.25,189.85,154.9,171.5,144224
2022-09-05,172.95,178.8,166.0,168.9,40924
2022-09-06,172.3,176.4,167.0,168.05,10282
2022-09-07,169.9,174.8,161.25,167.05,12786
2022-09-08,171.95,200.45,163.85,200.45,239135
2022-09-09,199.5,225.0,192.4,207.45,468541
