Date,O,H,L,C,V
2005-08-30,92.55,197.7,92.55,106.3,2306040
2005-08-31,106.8,109.9,101.65,102.9,340172
2005-09-01,110.0,110.0,93.5,95.9,139293
2005-09-02,100.0,100.0,93.3,94.25,195764
2005-09-05,97.8,97.8,94.5,95.0,68457
2005-09-06,98.85,98.85,95.0,95.85,38143
2005-09-08,95.7,97.5,95.0,95.25,41710
2005-09-09,95.3,95.95,93.8,94.05,19704
2005-09-12,94.5,98.5,94.1,97.75,49629
2005-09-13,97.5,107.4,97.5,103.8,138153
2005-09-14,104.5,106.0,98.1,100.35,78815
2005-09-15,102.0,102.8,100.0,102.15,46767
2005-09-16,103.3,103.7,101.8,102.2,19388
2005-09-19,102.3,103.4,99.5,100.65,16704
2005-09-20,100.1,100.45,96.55,97.0,22233
2005-09-21,97.9,97.9,88.2,92.75,38654
2005-09-22,93.25,95.7,88.6,90.15,54109
2005-09-23,90.2,90.2,87.0,88.2,24688
2005-09-26,90.0,94.0,89.0,93.0,23907
2005-09-27,94.95,97.0,93.05,95.0,15510
2005-09-28,94.25,96.5,93.8,94.8,10383
2005-09-29,94.35,95.95,92.0,92.5,18511
2005-09-30,95.9,95.95,87.0,90.1,13504
2005-10-03,93.9,94.0,90.6,92.95,9837
2005-10-04,92.95,94.0,91.8,93.0,4999
2005-10-05,91.05,93.45,91.05,91.4,5850
2005-10-06,88.1,91.1,88.1,90.0,5726
2005-10-07,89.55,91.65,88.25,88.5,5608
2005-10-10,88.6,90.5,88.5,89.25,2790
2005-10-11,88.95,90.0,88.7,89.3,2489
2005-10-13,90.5,90.6,87.2,88.5,3497
2005-10-14,86.0,89.85,86.0,87.0,4208
2005-10-17,86.3,87.5,85.0,85.4,2871
2005-10-18,83.6,85.75,83.05,84.35,2071
2005-10-19,84.35,84.35,80.0,80.25,7238
2005-10-20,80.0,83.0,80.0,80.7,4332
2005-10-21,79.25,81.0,79.0,80.8,3928
2005-10-24,80.9,85.8,79.85,83.3,4476
2005-10-25,85.7,87.6,85.35,86.8,5107
2005-10-26,87.6,87.6,85.75,86.05,3666
2005-10-27,88.0,88.0,83.9,84.95,6936
2005-10-28,85.5,85.55,81.15,82.2,5470
2005-10-31,80.0,82.95,79.1,81.8,3149
2005-11-01,81.6,85.0,81.6,84.65,690
2005-11-02,84.4,86.1,83.0,85.95,2499
2005-11-07,84.0,84.0,82.0,82.95,17917
2005-11-08,83.0,84.75,81.95,83.35,24438
2005-11-09,83.95,84.65,83.6,84.2,3264
2005-11-10,83.55,84.5,83.5,83.5,870
2005-11-11,83.1,84.5,82.85,84.3,2309
2005-11-14,85.9,87.0,84.0,84.25,4598
2005-11-16,84.5,88.0,82.55,86.8,3885
2005-11-17,86.0,91.8,85.8,89.2,11644
2005-11-18,88.0,89.4,87.75,88.15,3903
2005-11-21,86.9,88.95,86.9,88.45,1897
2005-11-22,84.0,89.0,84.0,88.8,4548
2005-11-23,88.75,89.95,88.75,88.75,1225
2005-11-24,89.5,89.5,88.1,89.35,1108
2005-11-25,89.0,91.45,89.0,90.0,8571
2005-11-26,90.0,91.95,90.0,91.05,1468
2005-11-28,90.0,92.9,88.8,92.4,4775
2005-11-29,92.5,92.95,89.75,92.7,9575
2005-11-30,108.0,108.0,92.3,95.1,20025
2005-12-01,95.45,100.85,95.1,96.15,21567
2005-12-02,96.1,96.1,92.5,93.35,5247
2005-12-05,94.0,95.75,91.4,95.65,3297
2005-12-06,95.0,99.0,95.0,97.2,5832
2005-12-07,97.5,99.5,97.0,98.25,11422
2005-12-08,97.5,107.0,97.2,102.15,63159
2005-12-09,104.9,105.75,101.65,102.1,26540
2005-12-12,102.5,103.5,100.9,101.45,5316
2005-12-13,100.1,101.45,98.0,99.5,3588
2005-12-14,98.6,99.95,97.25,98.8,5583
2005-12-15,96.4,102.0,96.4,100.35,10369
2005-12-16,100.0,101.25,97.0,98.5,4990
2005-12-19,99.15,100.9,99.0,100.05,8385
2005-12-20,101.85,102.0,99.0,99.5,2900
2005-12-21,99.9,101.0,97.05,97.85,3560
2005-12-22,97.25,98.95,93.8,94.1,9474
2005-12-23,95.35,97.75,94.5,95.0,16056
2005-12-26,95.25,96.6,95.0,96.05,6958
2005-12-27,97.0,98.0,95.85,97.3,5852
2005-12-28,96.0,99.85,96.0,98.3,4896
2005-12-29,99.7,100.0,96.75,97.5,995
2005-12-30,97.0,101.8,95.0,100.75,10971
2006-01-02,101.0,101.0,100.0,100.95,4569
2006-01-03,100.0,100.0,98.0,98.0,3440
2006-01-04,98.95,99.0,97.0,97.4,3754
2006-01-05,97.1,98.4,96.1,96.75,3475
2006-01-06,96.95,101.0,96.95,100.45,3003
2006-01-09,102.0,102.0,98.3,99.65,5210
2006-01-10,98.5,101.9,98.5,101.8,5848
2006-01-12,100.5,101.7,100.0,100.45,3380
2006-01-13,101.9,101.9,99.0,99.45,4260
2006-01-16,100.5,100.5,98.9,99.55,3230
2006-01-17,103.0,103.0,99.05,99.9,6050
2006-01-18,99.0,99.8,96.55,97.0,2170
2006-01-19,101.4,101.4,98.25,98.7,1750
2006-01-20,97.05,99.8,97.05,99.0,3150
2006-01-23,91.0,101.0,91.0,99.35,2905
2006-01-24,99.95,107.5,99.95,104.3,42194
2006-01-25,105.0,110.0,104.0,107.15,37891
2006-01-27,108.0,110.8,107.4,109.85,22132
2006-01-30,108.95,109.5,107.6,109.15,18766
2006-01-31,108.1,112.0,108.1,108.75,27053
2006-02-01,110.0,111.5,108.35,110.3,24733
2006-02-02,105.0,110.9,105.0,109.0,10999
2006-02-03,109.75,109.75,108.5,108.7,4164
2006-02-06,108.95,108.95,107.0,108.0,6424
2006-02-07,109.4,109.5,104.2,104.75,15460
2006-02-08,105.0,105.0,101.0,103.55,3364
2006-02-10,102.0,104.7,101.7,102.55,2296
2006-02-13,103.0,104.0,101.25,102.0,3862
2006-02-14,101.1,107.5,101.0,105.55,5534
2006-02-15,106.0,107.5,102.6,102.95,14047
2006-02-16,103.1,104.8,103.0,103.25,800
2006-02-17,104.0,106.0,104.0,104.6,12053
2006-02-20,103.0,106.95,103.0,104.2,3850
2006-02-21,92.0,108.0,92.0,105.7,2753
2006-02-22,102.55,108.0,102.55,107.25,6119
2006-02-23,107.0,108.0,106.15,106.4,4250
2006-02-24,107.0,108.8,106.0,106.0,4423
2006-02-27,105.1,106.6,102.5,105.35,6746
2006-02-28,105.9,106.0,104.5,104.8,4192
2006-03-01,107.9,107.9,104.0,104.4,2846
2006-03-02,104.9,105.5,102.15,104.7,5194
2006-03-03,102.75,104.0,102.0,102.05,2514
2006-03-06,104.95,105.0,102.85,103.05,2230
2006-03-07,105.75,107.0,104.0,104.5,1550
2006-03-08,101.55,107.9,101.55,106.2,5002
2006-03-09,108.0,111.0,102.5,109.05,84846
2006-03-10,111.25,129.95,111.25,119.55,59990
2006-03-13,111.1,123.0,111.1,114.6,20918
2006-03-14,119.0,119.0,113.25,115.5,3914
2006-03-16,117.95,117.95,111.0,112.15,10074
2006-03-17,118.0,118.0,110.0,110.5,2055
2006-03-20,119.0,119.0,105.05,106.55,9365
2006-03-21,115.0,115.0,107.05,108.0,3933
2006-03-22,118.0,118.0,104.35,107.0,4385
2006-03-23,105.55,109.85,105.55,107.85,1852
2006-03-24,110.8,110.8,107.35,107.9,1008
2006-03-27,113.0,113.0,107.0,111.95,255040
2006-03-28,112.0,114.95,109.0,110.55,1948
2006-03-29,110.0,116.0,109.1,114.2,14295
2006-03-30,116.95,117.75,113.0,115.0,3207
2006-03-31,116.25,120.0,115.75,119.75,9177
2006-04-03,119.0,123.45,119.0,122.8,17774
2006-04-04,121.4,123.25,117.15,118.9,4851
2006-04-05,119.2,120.0,115.2,118.5,8443
2006-04-07,107.0,121.0,107.0,116.0,7002
2006-04-10,117.0,118.0,115.75,117.0,452
2006-04-12,117.7,120.0,115.55,117.95,7913
2006-04-13,118.65,118.7,115.2,117.65,5055
2006-04-17,115.3,119.95,115.3,118.75,2655
2006-04-18,115.4,120.5,115.4,117.05,2332
2006-04-19,117.3,125.0,117.0,121.0,26058
2006-04-20,120.0,120.0,117.05,118.4,3303
2006-04-21,120.0,120.0,116.2,119.75,2458
2006-04-24,119.75,122.0,117.35,120.7,1747
2006-04-25,120.0,122.0,114.05,115.7,2754
2006-04-26,121.25,121.25,116.05,119.25,1550
2006-04-27,125.0,125.0,115.6,116.6,21210
2006-04-28,116.0,117.95,116.0,116.25,795
2006-04-29,117.05,123.0,117.05,122.1,5549
2006-05-02,123.3,136.65,121.5,131.5,53927
2006-05-03,133.95,148.0,130.0,142.25,63831
2006-05-04,146.75,146.95,132.05,132.95,12039
2006-05-05,132.0,142.0,130.0,135.25,52542
2006-05-08,139.5,143.0,135.55,137.45,13490
2006-05-09,140.5,145.0,139.0,141.3,18273
2006-05-10,144.9,145.25,137.0,137.25,13069
2006-05-11,138.1,140.5,134.5,134.85,6764
