Date,Open,High,Low,Close,Volume
2011-02-14,150.05,299.0,100.0,207.3,167147.0
2011-02-15,208.0,210.0,196.95,198.8,174420.0
2011-02-16,200.5,208.75,196.25,208.75,56006.0
2011-02-17,215.0,219.2,203.05,210.35,28974.0
2011-02-18,215.0,219.0,202.0,205.2,38487.0
2011-02-21,205.0,215.5,196.25,213.65,11485.0
2011-02-22,224.0,224.0,205.0,208.05,9160.0
2011-02-23,205.0,210.0,197.65,200.1,14017.0
2011-02-24,194.8,200.0,190.1,190.2,23947.0
2011-02-25,181.2,199.75,181.2,198.0,5939.0
2011-02-28,192.5,201.65,185.0,192.35,11428.0
2011-03-01,190.05,194.0,188.75,190.9,38891.0
2011-03-03,183.35,197.0,183.35,189.75,49656.0
2011-03-04,185.3,190.0,181.95,189.0,16225.0
2011-03-07,185.05,186.0,176.05,179.45,27040.0
2011-03-08,176.05,195.0,176.05,186.15,45810.0
2011-03-09,183.1,194.7,183.1,188.85,26901.0
2011-03-10,185.05,195.0,185.05,188.65,15044.0
2011-03-11,181.5,188.0,172.0,177.85,32860.0
2011-03-14,174.45,176.85,172.6,174.65,14133.0
2011-03-15,171.0,176.25,170.25,172.25,10203.0
2011-03-16,173.35,184.9,173.35,178.7,51760.0
2011-03-17,176.3,179.0,172.35,174.2,15960.0
2011-03-18,172.55,177.45,172.55,174.3,1658.0
2011-03-21,175.0,175.0,166.0,168.3,35750.0
2011-03-22,166.1,171.0,164.0,164.95,38866.0
2011-03-23,169.7,171.0,162.0,164.5,36391.0
2011-03-24,163.15,163.75,161.05,161.7,46341.0
2011-03-25,160.6,169.0,158.45,160.0,48628.0
2011-03-28,156.25,168.7,156.25,160.75,51829.0
2011-03-29,162.95,171.7,160.0,169.7,47749.0
2011-03-30,169.0,188.0,163.1,172.0,46764.0
2011-03-31,176.0,184.0,167.5,170.25,27250.0
2011-04-01,169.55,184.0,169.55,182.1,53222.0
2011-04-04,181.0,187.7,178.1,182.85,29501.0
2011-04-05,183.05,199.0,182.55,192.0,48792.0
2011-04-06,193.0,204.0,189.0,199.85,48843.0
2011-04-07,204.0,209.8,199.05,201.15,58787.0
2011-04-08,201.1,204.0,192.2,194.1,17265.0
2011-04-11,192.0,194.95,188.2,189.1,5909.0
2011-04-13,190.0,197.8,165.25,187.05,17453.0
2011-04-15,186.0,191.5,183.1,186.7,15934.0
2011-04-18,185.1,195.7,185.0,189.75,17732.0
2011-04-19,190.1,198.75,187.0,196.45,71777.0
2011-04-20,199.8,205.9,197.0,203.65,38049.0
2011-04-21,209.9,218.0,198.05,203.45,50670.0
2011-04-25,205.0,229.8,203.0,214.65,157273.0
2011-04-26,216.1,222.0,212.05,217.95,72757.0
2011-04-27,220.8,227.9,218.15,223.35,58711.0
2011-04-28,224.05,261.0,224.05,245.95,248474.0
2011-04-29,247.0,255.0,233.9,238.5,108832.0
2011-05-02,243.95,243.95,205.0,207.8,306342.0
2011-05-03,210.5,217.5,202.35,205.35,86746.0
2011-05-04,205.45,211.5,200.65,208.75,45988.0
2011-05-05,209.4,223.95,207.0,220.35,209921.0
2011-05-06,224.8,228.1,216.05,225.1,71181.0
2011-05-09,225.0,242.0,222.6,234.1,104256.0
2011-05-10,226.75,239.8,226.75,230.8,24348.0
2011-05-11,231.55,240.35,230.2,233.25,42842.0
