Date,Open,High,Low,Close,Volume
2021-12-13,760.0,767.7,712.25,726.05,16646140.0
2021-12-14,713.95,723.65,650.15,659.45,4652710.0
2021-12-15,646.9,653.9,612.0,616.5,2688974.0
2021-12-16,622.7,637.3,593.05,630.3,3454815.0
2021-12-17,634.5,634.5,600.0,614.5,1339275.0
2021-12-20,595.1,599.8,545.4,568.95,1502980.0
2021-12-21,581.6,596.65,570.0,574.8,886131.0
2021-12-22,575.0,603.4,575.0,596.15,890525.0
2021-12-23,603.5,609.0,580.0,582.45,472154.0
2021-12-24,594.0,594.95,580.0,584.95,476003.0
2021-12-27,575.0,587.35,571.7,576.2,309374.0
2021-12-28,586.3,595.95,580.0,583.75,305279.0
2021-12-29,588.0,621.9,582.3,602.65,1022920.0
2021-12-30,605.9,612.0,589.0,594.45,269830.0
2021-12-31,591.0,607.9,587.95,593.25,253861.0
2022-01-03,596.0,606.6,590.85,594.15,531818.0
2022-01-04,599.15,605.95,596.0,598.05,306289.0
2022-01-05,595.0,603.0,590.55,593.85,231705.0
2022-01-06,571.0,602.45,571.0,592.9,334376.0
2022-01-07,585.15,592.9,580.0,587.3,692752.0
2022-01-10,590.0,604.8,588.2,594.95,328884.0
2022-01-11,597.9,601.7,590.4,592.05,195271.0
2022-01-12,592.05,604.85,591.0,597.65,415127.0
2022-01-13,601.9,601.9,593.75,596.0,220785.0
2022-01-14,594.0,601.0,581.15,589.9,504036.0
2022-01-17,590.0,602.95,589.35,594.3,284677.0
2022-01-18,598.0,599.6,589.0,591.15,466624.0
2022-01-19,590.0,596.0,574.7,580.45,213431.0
2022-01-20,584.6,587.75,570.0,571.4,169400.0
2022-01-21,571.0,574.55,548.5,554.65,184372.0
2022-01-24,550.0,554.9,521.0,524.35,199433.0
2022-01-25,515.0,545.8,500.0,538.35,281980.0
2022-01-27,534.5,539.65,511.6,519.7,127589.0
2022-01-28,521.0,536.0,513.0,514.45,212061.0
2022-01-31,527.7,528.6,495.0,499.05,241146.0
2022-02-01,509.7,509.7,494.5,497.85,145018.0
2022-02-02,501.9,525.0,499.05,520.1,278424.0
2022-02-03,525.9,527.8,517.5,522.25,146268.0
2022-02-04,518.5,522.4,508.3,509.95,274960.0
2022-02-07,514.3,516.6,497.0,499.6,112551.0
2022-02-08,505.0,509.2,486.0,489.25,125191.0
2022-02-09,493.5,555.55,490.15,540.45,862850.0
2022-02-10,547.0,553.5,530.0,534.55,307167.0
2022-02-11,527.0,540.4,518.7,530.8,151512.0
2022-02-14,510.0,522.6,486.5,491.75,261510.0
2022-02-15,502.9,506.8,480.2,495.8,224450.0
2022-02-16,497.0,502.95,485.0,489.35,255452.0
2022-02-17,492.8,496.85,480.0,482.05,112790.0
2022-02-18,482.05,490.95,473.05,475.2,124129.0
2022-02-21,474.0,477.45,447.3,450.25,152287.0
2022-02-22,430.0,440.9,421.75,433.45,294819.0
2022-02-23,433.45,448.9,432.3,438.0,160006.0
2022-02-24,406.0,429.45,397.0,399.85,313413.0
2022-02-25,405.25,424.35,405.25,418.95,94635.0
2022-02-28,415.0,430.8,405.0,428.8,118043.0
