Date,O,H,L,C,V
2008-02-19,137.8,154.9,134.0,138.0,274745
2008-02-20,139.0,139.0,129.0,132.1,14214
2008-02-21,133.1,136.0,125.75,131.55,5893
2008-02-22,132.0,132.0,127.0,128.25,4334
2008-02-25,128.5,130.0,126.6,127.3,2054
2008-02-26,130.0,145.0,129.15,132.7,35244
2008-02-27,134.0,136.7,127.1,128.7,5552
2008-02-28,129.2,137.0,128.1,133.75,25950
2008-02-29,133.0,133.4,125.5,130.4,7480
2008-03-03,127.5,131.4,122.0,123.3,3569
2008-03-04,124.0,124.0,115.0,119.35,55473
2008-03-05,120.0,120.0,116.0,116.45,72447
2008-03-07,115.0,116.0,93.65,95.3,37934
2008-03-10,92.0,95.0,87.15,92.55,87716
2008-03-11,94.8,101.9,90.05,99.5,9917
2008-03-12,105.0,109.0,98.0,99.65,16611
2008-03-13,99.7,103.4,95.0,95.2,3056
2008-03-14,102.95,102.95,81.3,88.9,58573
2008-03-17,83.2,90.0,78.65,80.55,17553
2008-03-18,82.5,85.0,78.5,81.0,14591
2008-03-19,87.0,87.0,80.0,80.0,27215
2008-03-24,82.7,82.7,73.25,75.15,1725
2008-03-25,78.85,87.9,75.2,85.7,6937
2008-03-26,90.0,90.0,81.55,85.55,8234
2008-03-27,88.45,91.85,81.15,88.5,124780
2008-03-28,89.0,98.85,89.0,96.65,7923
2008-03-31,95.0,95.0,90.75,91.25,3704
2008-04-01,91.25,92.0,90.1,91.0,977
2008-04-02,94.0,94.0,90.25,92.9,4163
2008-04-03,94.0,94.0,89.5,91.45,13695
2008-04-04,91.0,92.8,88.25,89.75,989
2008-04-07,88.1,107.7,84.05,106.1,18588
2008-04-08,107.0,109.9,102.0,103.95,17841
2008-04-09,99.5,124.75,99.5,111.9,23735
2008-04-10,130.0,130.0,114.0,118.65,19118
2008-04-11,118.0,120.0,114.05,115.0,4861
2008-04-15,114.35,119.0,112.1,113.65,2041
2008-04-16,117.95,118.0,112.1,113.65,1526
2008-04-17,114.4,116.9,112.05,113.5,1712
2008-04-21,113.1,115.95,113.1,114.65,1993
2008-04-22,111.0,120.0,110.0,113.35,1563
2008-04-23,111.35,119.7,111.35,116.45,4388
2008-04-24,116.1,118.35,113.0,116.0,2722
2008-04-25,114.1,118.0,112.0,117.0,6533
2008-04-28,113.35,117.9,113.35,116.6,890
2008-04-29,115.1,116.1,113.8,114.65,2992
2008-04-30,114.65,116.0,112.55,112.85,2444
2008-05-02,114.3,116.05,114.3,115.5,814
2008-05-05,115.0,118.0,109.0,110.45,6076
2008-05-06,109.5,111.8,106.15,107.0,16179
2008-05-07,107.0,107.0,96.1,100.5,14206
2008-05-08,100.0,103.0,98.0,101.75,3714
2008-05-09,100.2,101.85,99.0,99.25,871
2008-05-12,97.15,109.3,94.2,96.95,4073
2008-05-13,101.65,103.0,97.0,97.85,1822
2008-05-14,95.2,97.0,94.0,95.7,2395
2008-05-15,95.0,98.0,95.0,96.5,12803
2008-05-16,99.5,100.0,94.5,98.05,6851
2008-05-20,100.0,101.15,97.0,98.25,1373
2008-05-21,97.0,102.4,95.9,101.05,4511
2008-05-22,96.2,101.65,96.0,96.9,3538
2008-05-23,100.9,100.9,93.1,94.95,1401
2008-05-26,93.1,97.9,91.1,94.45,1267
2008-05-27,97.9,97.9,92.1,92.65,1076
2008-05-28,92.2,93.4,91.1,91.75,1201
2008-05-29,90.0,93.85,90.0,91.45,1065
2008-05-30,90.15,94.0,74.65,86.55,4823
2008-06-02,91.0,92.75,87.15,87.8,1890
2008-06-03,85.05,88.7,84.0,87.3,1196
2008-06-04,85.2,87.9,85.2,85.5,1137
2008-06-05,81.75,89.0,81.7,87.65,1499
2008-06-06,84.0,89.9,83.25,83.8,673
2008-06-09,80.0,80.9,75.0,77.3,3458
2008-06-10,79.9,79.9,70.0,73.05,3882
2008-06-11,74.25,82.15,74.25,78.15,1197
2008-06-12,74.25,86.25,74.05,83.95,4009
2008-06-13,85.0,87.95,81.0,85.2,2266
2008-06-16,83.5,90.0,83.5,85.65,1304
2008-06-17,85.0,94.8,85.0,89.0,8568
2008-06-18,93.0,93.0,84.5,85.3,4965
2008-06-19,81.05,85.0,81.05,82.8,1097
2008-06-20,89.8,89.85,78.0,78.7,2375
2008-06-23,74.5,75.0,70.5,73.15,3272
2008-06-24,83.2,83.2,72.5,73.25,1698
2008-06-25,73.0,87.0,69.5,74.15,6320
2008-06-26,75.45,75.45,72.4,73.35,1055
2008-06-27,72.05,77.0,69.0,69.85,2671
2008-06-30,69.0,70.0,65.0,65.45,2411
2008-07-01,65.0,72.5,56.55,58.25,2254
2008-07-02,58.0,69.9,56.5,69.15,2523
2008-07-03,69.0,69.0,62.1,64.35,1545
2008-07-04,57.5,70.9,57.5,69.15,2200
2008-07-07,78.0,78.0,66.0,67.2,361
2008-07-08,64.0,69.0,64.0,68.55,850
2008-07-09,75.0,75.0,65.5,73.1,1961
2008-07-10,75.0,75.0,70.0,72.65,1025
2008-07-11,71.15,74.0,71.15,71.15,1414
2008-07-14,72.0,72.0,66.4,68.0,2118
2008-07-15,74.45,74.45,66.1,68.5,290
2008-07-16,63.0,69.7,63.0,66.4,2394
2008-07-17,67.0,67.45,66.0,66.75,421
2008-07-18,74.2,74.2,62.0,68.0,568
2008-07-21,68.0,71.0,66.0,66.15,1209
2008-07-22,67.0,69.85,67.0,68.2,1500
2008-07-23,71.1,74.2,69.0,72.0,3296
2008-07-24,71.1,74.0,69.0,69.3,3104
2008-07-25,69.1,71.5,69.1,71.0,152
2008-07-28,68.0,72.25,67.15,69.35,1790
2008-07-29,69.95,72.2,69.05,70.55,626
2008-07-30,71.95,80.0,69.6,72.75,4144
2008-07-31,69.0,71.05,69.0,69.0,1904
2008-08-01,69.5,71.85,69.5,71.0,221
2008-08-04,70.0,73.8,68.6,73.15,1712
2008-08-05,76.0,76.0,72.7,73.55,777
2008-08-06,71.45,76.0,71.45,73.8,1216
2008-08-07,75.0,75.85,72.45,72.75,987
2008-08-08,72.0,75.0,72.0,72.35,957
2008-08-11,72.5,77.95,72.0,72.45,1270
2008-08-12,70.0,74.0,70.0,71.75,565
2008-08-13,73.95,74.5,70.9,71.0,407
2008-08-14,69.7,72.0,69.7,69.8,750
2008-08-18,72.5,72.5,68.05,68.05,581
2008-08-19,70.7,71.9,67.5,67.7,532
2008-08-20,75.0,80.0,68.1,71.45,797
2008-08-21,70.15,70.15,69.0,69.05,150
2008-08-22,67.35,73.5,66.1,70.25,2638
2008-08-25,70.2,70.25,70.0,70.0,316
2008-08-26,68.35,69.95,68.35,69.95,26
2008-08-27,66.85,68.3,66.2,67.7,350
2008-08-28,68.5,68.55,68.0,68.0,123
2008-08-29,68.05,70.8,68.05,70.1,385
2008-09-01,65.0,71.0,65.0,67.5,108
2008-09-02,70.0,74.9,67.2,73.0,3700
2008-09-04,74.5,74.5,71.0,71.9,884
2008-09-05,70.0,73.0,70.0,71.55,1037
2008-09-08,72.0,72.0,70.5,70.5,65
2008-09-09,70.25,70.25,68.1,69.05,1500
2008-09-10,70.0,70.9,67.7,68.25,1442
2008-09-11,71.75,71.75,67.0,67.25,1134
