Date,Open,High,Low,Close,Volume
2023-04-18,436.0,436.0,387.15,398.0,4758557
2023-04-19,405.0,422.75,402.0,407.35,1569098
2023-04-20,410.5,410.5,396.2,398.45,204110
2023-04-21,396.0,400.0,388.95,397.95,175925
2023-04-24,397.95,403.95,392.5,395.0,182679
2023-04-25,395.1,399.15,389.9,392.0,103951
2023-04-26,391.0,393.45,381.0,382.55,128866
2023-04-27,380.0,384.0,360.15,371.95,408298
2023-04-28,371.0,376.0,367.05,374.15,213219
2023-05-02,380.0,380.0,373.25,374.5,115263
2023-05-03,374.45,379.9,370.0,371.85,275529
2023-05-04,373.9,377.35,371.25,371.9,149898
2023-05-05,371.9,375.45,366.05,367.65,120820
2023-05-08,365.0,367.6,358.0,359.1,374665
2023-05-09,359.1,363.9,348.0,356.15,159628
2023-05-10,361.95,365.75,354.45,364.1,123558
2023-05-11,365.3,367.9,357.0,358.65,100281
2023-05-12,357.0,360.0,355.05,356.7,47887
2023-05-15,354.05,373.0,354.05,365.1,231252
2023-05-16,365.5,374.8,365.05,373.4,131442
2023-05-17,374.0,393.5,374.0,392.0,419286
2023-05-18,399.0,411.55,395.0,402.3,451589
2023-05-19,405.0,414.9,400.2,411.7,201341
2023-05-22,414.0,429.0,405.3,426.05,382423
