Date,O,H,L,C,V
2009-12-03,30.95,32.25,30.7,31.3,26646
2009-12-04,30.0,34.45,30.0,34.45,32485
2009-12-07,36.0,36.0,32.05,32.8,21875
2009-12-08,33.0,34.25,30.0,30.95,10623
2009-12-09,31.6,33.8,31.6,32.6,8136
2009-12-10,31.3,33.2,31.3,32.05,2048
2009-12-11,32.2,32.5,30.95,31.1,2305
2009-12-14,30.55,31.0,29.9,30.9,2542
2009-12-15,29.5,31.95,29.5,31.3,1415
2009-12-16,31.8,31.8,29.75,31.15,1198
2009-12-17,30.0,30.85,29.65,29.65,811
2009-12-18,29.45,29.45,29.3,29.45,1192
2009-12-21,29.0,30.0,28.2,29.95,931
2009-12-22,29.0,30.45,28.45,28.5,1902
2009-12-23,27.35,29.5,27.35,28.4,1020
2009-12-24,29.7,29.75,28.25,28.25,552
2009-12-29,28.95,29.7,28.95,29.2,3012
2009-12-30,29.25,29.95,28.4,28.4,1106
2009-12-31,28.05,29.85,28.05,28.8,1250
2010-01-04,29.55,29.55,29.0,29.05,1105
2010-01-05,28.2,30.3,28.2,30.2,2132
2010-01-06,29.0,31.75,29.0,31.15,5264
2010-01-07,30.0,32.6,30.0,30.5,2964
2010-01-08,31.6,32.0,31.05,31.4,5178
2010-01-11,32.05,32.4,31.1,31.6,4289
2010-01-12,32.45,32.55,31.0,31.0,2801
2010-01-13,31.5,31.5,30.0,30.7,4110
2010-01-14,31.0,31.5,30.6,30.85,1263
2010-01-15,31.45,31.45,30.25,31.25,2287
2010-01-18,32.8,32.8,31.0,31.15,5207
2010-01-19,31.0,31.55,30.25,30.8,1990
2010-01-20,31.45,31.45,30.25,30.55,1320
2010-01-21,30.95,30.95,29.45,29.5,2780
2010-01-22,28.5,30.65,28.5,28.9,2685
2010-01-27,28.3,29.9,28.0,28.0,4951
2010-01-28,29.3,29.3,27.6,28.0,817
2010-01-29,29.0,29.0,26.6,27.75,1943
2010-02-01,27.0,28.95,26.5,28.6,1666
2010-02-02,28.0,28.55,27.2,27.35,1185
2010-02-03,27.4,28.5,27.4,27.6,678
2010-02-04,26.55,26.9,26.55,26.9,269
2010-02-05,25.55,28.15,25.55,26.5,1772
2010-02-06,27.05,27.05,27.05,27.05,500
2010-02-08,25.85,25.85,25.7,25.7,10898
2010-02-09,25.05,25.3,24.45,24.45,48690
2010-02-10,25.0,25.0,23.25,23.25,16831
2010-02-11,23.55,23.55,22.1,22.1,36078
2010-02-15,22.5,23.25,22.4,23.25,6505
2010-02-16,24.35,24.4,22.7,24.4,1845
2010-02-17,25.65,25.65,24.0,25.65,2852
2010-02-18,26.85,26.95,25.25,26.4,8529
2010-02-19,26.9,26.9,25.2,25.4,3841
2010-02-22,26.15,26.15,24.55,24.65,2645
2010-02-23,24.65,24.65,24.35,24.35,1612
2010-02-24,24.0,24.3,23.6,23.9,3002
2010-02-25,24.8,25.0,24.0,24.75,1336
2010-02-26,24.0,24.95,23.75,24.0,4113
2010-03-02,24.25,24.9,24.2,24.2,250
2010-03-03,23.25,25.3,23.25,24.8,1655
