Date,Open,High,Low,Close,Volume
2019-07-11,207.75,207.75,192.75,194.7,316.0
2019-07-12,205.95,205.95,196.05,200.5,156.0
2019-07-15,179.0,208.0,179.0,208.0,211.0
2019-07-16,195.0,207.8,195.0,201.0,189.0
2019-07-17,180.0,201.0,180.0,201.0,664.0
2019-07-18,185.55,201.2,185.55,198.85,845.0
2019-07-19,195.0,198.85,184.15,185.3,3216.0
2019-07-22,166.05,186.95,166.05,186.95,1297.0
2019-07-23,182.0,189.9,181.45,185.15,232.0
2019-07-24,173.3,194.6,173.3,188.4,760.0
2019-07-25,171.25,195.0,171.25,194.8,1907.0
2019-07-26,182.0,197.0,182.0,196.25,1056.0
2019-07-29,181.25,196.9,181.25,196.0,2903.0
2019-07-30,182.0,213.6,175.0,177.85,3172.0
2019-07-31,161.0,181.95,161.0,181.95,1044.0
2019-08-01,171.05,183.9,171.05,175.5,950.0
2019-08-02,165.55,179.9,165.55,177.6,697.0
2019-08-05,163.0,179.85,163.0,177.05,633.0
2019-08-06,171.8,175.0,167.0,172.1,498.0
2019-08-07,170.1,178.3,170.1,172.25,818.0
2019-08-08,168.1,176.75,165.0,170.75,1351.0
2019-08-09,180.1,196.0,166.5,190.0,6710.0
2019-08-13,185.3,195.0,175.05,189.4,4224.0
2019-08-14,183.75,195.0,183.75,193.35,1533.0
2019-08-16,188.15,197.0,188.1,196.15,1747.0
2019-08-19,197.0,197.0,179.0,192.25,1243.0
2019-08-20,187.35,196.75,187.35,193.3,817.0
2019-08-21,189.15,196.25,182.6,189.15,2659.0
2019-08-22,178.55,195.0,178.55,186.45,1439.0
2019-08-23,181.25,193.0,181.2,185.05,451.0
2019-08-26,194.15,194.2,181.4,183.95,2117.0
2019-08-27,182.55,192.95,177.0,180.1,4780.0
2019-08-28,185.4,187.0,180.3,186.15,937.0
2019-08-29,180.65,189.95,180.65,181.55,1327.0
2019-08-30,181.1,189.65,181.05,187.05,1015.0
2019-09-03,181.4,189.5,177.4,178.2,2738.0
2019-09-04,177.15,183.4,177.15,180.0,428.0
2019-09-05,177.05,187.9,177.05,183.3,510.0
2019-09-06,180.25,191.0,180.25,189.05,1531.0
2019-09-09,190.0,193.0,183.45,192.0,1583.0
2019-09-11,192.05,201.0,192.05,199.55,4598.0
2019-09-12,206.05,206.8,194.15,195.05,2795.0
2019-09-13,199.75,199.75,196.5,199.25,995.0
2019-09-16,197.55,198.0,185.35,195.15,2090.0
2019-09-17,190.05,201.8,190.05,195.95,1207.0
2019-09-18,194.05,198.95,193.5,193.55,858.0
2019-09-19,196.0,196.0,187.75,191.6,396.0
2019-09-20,192.6,200.0,182.6,197.55,3787.0
2019-09-23,200.0,200.0,184.2,192.05,10087.0
2019-09-24,190.15,196.75,186.0,189.45,4109.0
2019-09-25,187.5,227.3,187.5,221.1,33104.0
2019-09-26,233.4,233.4,215.6,221.5,16257.0
2019-09-27,232.0,232.0,201.05,208.05,4858.0
2019-09-30,204.0,211.2,202.0,209.75,1788.0
2019-10-01,204.6,209.2,193.25,195.1,13623.0
2019-10-03,191.55,196.0,184.0,187.55,4610.0
2019-10-04,193.0,194.95,186.0,187.1,3634.0
2019-10-07,187.65,192.5,186.05,186.2,2563.0
2019-10-09,187.0,193.35,186.6,187.25,2650.0
2019-10-10,187.25,195.0,187.0,187.75,1548.0
2019-10-11,188.0,200.75,185.65,198.85,2259.0
2019-10-14,202.95,202.95,191.0,197.45,2214.0
2019-10-15,196.0,200.0,190.15,195.65,1042.0
2019-10-16,189.0,200.0,189.0,195.0,763.0
2019-10-17,191.0,202.0,191.0,200.05,2418.0
2019-10-18,194.15,203.1,193.05,198.5,3392.0
2019-10-22,197.5,200.0,195.0,196.1,2504.0
2019-10-23,193.5,202.0,190.8,200.25,4204.0
2019-10-24,204.4,205.0,195.6,197.4,1872.0
2019-10-25,195.3,202.7,195.3,196.55,794.0
2019-10-29,205.0,211.8,198.0,199.05,2422.0
2019-10-30,199.0,217.35,195.0,206.25,5994.0
2019-10-31,211.0,211.0,201.0,203.25,990.0
2019-11-01,202.05,203.7,199.45,202.3,1688.0
2019-11-04,202.55,204.95,200.2,202.9,1103.0
2019-11-05,200.4,205.0,191.5,194.95,3108.0
2019-11-06,192.0,199.95,192.0,196.4,477.0
2019-11-07,197.05,210.0,196.0,199.95,5238.0
2019-11-08,204.0,204.0,199.0,200.1,3442.0
2019-11-11,201.0,205.0,195.1,198.65,4391.0
