Date,Open,High,Low,Close,Volume
2015-05-08,295.0,308.9,252.1,290.05,1241.0
2015-05-11,299.75,299.8,290.0,290.0,407.0
2015-05-12,290.2,299.75,290.0,290.0,23402.0
2015-05-13,290.0,295.0,280.5,295.0,863.0
2015-05-14,285.0,295.0,275.0,289.45,2503.0
2015-05-15,308.7,308.7,285.0,289.45,782.0
2015-05-18,282.0,293.0,276.25,288.0,315.0
2015-05-19,280.2,294.0,280.2,283.0,176.0
2015-05-20,256.1,293.0,256.1,291.3,3441.0
2015-05-21,285.0,290.0,280.3,289.9,181.0
2015-05-22,282.05,300.0,282.05,300.0,3322.0
2015-05-25,285.1,293.05,285.1,293.0,5562.0
2015-05-26,284.1,290.0,284.1,286.7,513.0
2015-05-27,280.0,294.0,265.1,294.0,1415.0
2015-05-28,295.0,295.0,282.6,294.9,85.0
2015-05-29,285.0,290.7,274.0,290.7,451.0
2015-06-01,283.0,292.0,273.05,290.9,5703.0
2015-06-02,287.95,287.95,280.0,280.0,8.0
2015-06-03,282.0,290.0,273.85,280.45,6627.0
2015-06-04,285.0,289.0,267.0,272.1,764.0
2015-06-05,280.0,284.0,270.0,270.75,745.0
2015-06-08,273.0,280.0,268.0,272.3,2067.0
2015-06-09,271.1,275.0,270.85,272.2,572.0
2015-06-10,270.0,281.0,270.0,280.2,1860.0
2015-06-11,279.9,279.9,270.0,270.3,3971.0
2015-06-12,281.0,281.0,273.7,279.4,105.0
2015-06-15,265.0,274.85,265.0,270.2,385.0
2015-06-16,270.0,270.0,238.7,261.9,2657.0
2015-06-17,262.0,265.75,241.1,264.3,7624.0
2015-06-18,260.0,260.0,250.0,254.1,2202.0
2015-06-19,255.1,262.0,250.0,258.1,2627.0
2015-06-22,260.9,266.0,256.0,263.15,602.0
2015-06-23,268.0,279.0,268.0,274.0,377.0
2015-06-24,280.0,285.0,270.0,274.65,2014.0
2015-06-25,274.0,278.0,258.7,264.45,1408.0
2015-06-26,263.0,275.0,263.0,267.95,845.0
2015-06-29,263.0,263.0,258.0,259.2,613.0
2015-06-30,258.3,277.0,258.2,260.6,5121.0
2015-07-01,263.0,270.0,263.0,265.75,225.0
2015-07-02,266.0,272.0,264.05,272.0,1153.0
2015-07-03,267.0,273.0,267.0,267.0,53.0
2015-07-06,267.0,272.9,266.0,270.1,196.0
2015-07-07,268.5,268.5,264.0,264.0,69.0
2015-07-08,263.0,267.0,256.05,262.7,1077.0
2015-07-09,263.0,263.0,253.0,254.1,501.0
2015-07-10,265.0,265.0,250.0,262.9,8061.0
2015-07-13,260.0,270.0,252.5,263.2,8191.0
2015-07-14,268.0,271.25,255.1,259.35,2430.0
2015-07-15,260.0,265.0,254.1,257.9,2787.0
2015-07-16,258.0,261.95,250.0,258.8,22539.0
2015-07-17,257.0,260.0,251.05,254.85,2139.0
2015-07-20,245.0,255.0,244.6,247.8,19842.0
2015-07-21,250.0,250.0,241.0,243.8,7249.0
2015-07-22,247.0,247.0,237.1,242.85,4525.0
2015-07-23,245.0,249.9,238.55,242.4,8947.0
2015-07-24,245.0,249.0,240.3,242.45,8973.0
2015-07-27,247.0,254.95,242.0,246.0,4848.0
2015-07-28,232.75,240.0,220.0,227.75,25781.0
2015-07-29,226.95,243.0,221.05,239.15,10085.0
2015-07-30,238.9,238.9,226.95,229.05,3957.0
2015-07-31,229.1,230.0,221.0,222.05,3678.0
2015-08-03,215.1,226.0,215.1,218.8,23097.0
2015-08-04,210.0,216.95,209.8,211.1,9333.0
2015-08-05,211.0,218.0,211.0,212.5,16907.0
2015-08-06,212.0,223.0,208.0,209.5,28469.0
2015-08-07,214.7,214.7,192.0,196.5,22645.0
2015-08-10,182.1,203.0,182.0,195.6,63696.0
2015-08-11,193.0,193.25,178.05,181.15,8623.0
2015-08-12,181.15,197.3,178.1,190.9,7093.0
2015-08-13,192.0,201.95,192.0,199.3,14850.0
2015-08-14,200.0,203.0,190.05,202.3,1299.0
2015-08-17,213.0,235.7,213.0,226.15,17887.0
2015-08-18,230.0,232.6,218.7,230.7,8583.0
2015-08-19,230.7,234.5,225.1,229.7,2428.0
2015-08-20,231.0,232.7,216.0,219.8,5160.0
2015-08-21,212.0,223.7,211.0,218.35,4525.0
2015-08-24,210.1,221.0,205.0,211.85,5591.0
2015-08-25,217.0,217.0,195.0,199.85,11305.0
2015-08-26,199.95,200.0,193.5,198.4,2958.0
2015-08-27,198.45,200.0,185.1,191.65,12772.0
2015-08-28,190.0,208.0,186.25,189.8,9381.0
2015-08-31,194.0,200.0,181.0,196.9,3206.0
2015-09-01,203.0,205.0,190.0,194.65,1477.0
2015-09-02,192.0,199.0,190.0,197.4,1118.0
2015-09-03,197.4,200.0,192.3,195.9,12447.0
2015-09-04,195.0,197.45,187.0,188.45,2549.0
2015-09-07,189.9,195.0,188.0,191.5,1256.0
2015-09-08,190.0,192.95,185.1,190.9,927.0
2015-09-09,194.9,194.9,190.0,194.9,1110.0
2015-09-10,190.15,196.0,190.15,192.5,621.0
