Date,Open,High,Low,Close,Volume
2008-08-22,154.0,158.0,152.65,157.05,3358694.0
2008-08-25,160.0,160.05,154.3,155.25,2614746.0
2008-08-26,154.85,156.85,152.9,155.95,2408023.0
2008-08-27,156.0,156.9,153.9,154.5,1866762.0
2008-08-28,154.9,155.85,152.0,153.55,3812859.0
2008-08-29,155.15,158.5,155.15,157.35,3031521.0
2008-09-01,156.7,157.5,154.45,157.0,1908535.0
2008-09-02,158.0,163.0,157.1,161.2,3703715.0
2008-09-04,159.7,160.8,157.3,159.45,2216674.0
2008-09-05,157.0,166.9,155.55,163.0,6204134.0
2008-09-08,169.0,178.2,168.0,168.75,8646923.0
2008-09-09,168.0,171.5,164.35,169.15,11457895.0
2008-09-10,168.0,171.35,166.75,170.1,9887074.0
2008-09-11,170.0,171.0,166.05,168.7,7534391.0
2008-09-12,170.0,172.8,165.25,168.3,8386717.0
2008-09-15,165.0,165.0,149.6,156.95,7842970.0
2008-09-16,150.65,162.8,148.5,160.65,5971051.0
2008-09-17,163.0,163.0,155.65,157.15,4024329.0
2008-09-18,150.0,157.9,145.1,156.25,5268036.0
2008-09-19,161.0,166.95,159.1,164.35,6092179.0
2008-09-22,167.7,167.7,159.05,160.7,3842954.0
2008-09-23,156.7,165.35,156.7,160.15,7467889.0
2008-09-24,161.9,165.9,159.25,161.4,4288560.0
2008-09-25,161.85,166.4,160.0,165.25,10740865.0
2008-09-26,165.6,166.0,159.1,162.05,7377585.0
2008-09-29,161.5,165.35,149.05,152.1,7144774.0
2008-09-30,145.2,156.25,141.0,153.3,6008679.0
2008-10-01,154.8,157.0,151.55,154.65,4839819.0
2008-10-03,155.0,156.9,148.35,149.15,5454245.0
2008-10-06,150.0,151.0,137.7,139.3,3919033.0
2008-10-07,142.9,148.4,140.2,146.3,5121200.0
2008-10-08,140.1,142.15,130.55,137.7,5089792.0
2008-10-10,130.0,132.0,118.0,124.15,5779803.0
2008-10-13,127.5,130.45,123.0,129.15,3426867.0
2008-10-14,133.55,136.8,124.0,125.6,3524279.0
2008-10-15,121.15,126.6,119.6,121.25,4831231.0
2008-10-16,115.0,119.8,111.55,117.85,3510043.0
2008-10-17,119.7,121.45,112.2,113.75,3567632.0
2008-10-20,112.8,117.4,108.05,115.55,4781471.0
2008-10-21,117.7,121.95,114.3,120.6,4237528.0
2008-10-22,118.65,118.95,110.1,111.35,3476495.0
2008-10-23,109.75,111.45,104.85,106.55,2898551.0
2008-10-24,105.0,105.7,93.15,96.3,3991079.0
2008-10-27,96.0,98.1,81.0,89.65,4217402.0
2008-10-28,92.0,99.8,91.55,93.85,960926.0
2008-10-29,98.7,101.25,93.15,98.25,6356546.0
2008-10-31,100.05,105.0,99.0,102.4,4371733.0
2008-11-03,108.0,110.0,104.5,109.35,3261992.0
2008-11-04,108.15,125.0,106.15,122.65,5641221.0
2008-11-05,130.0,130.0,115.0,116.0,4817019.0
2008-11-06,110.35,115.7,106.9,110.45,4055126.0
2008-11-07,109.0,122.0,107.5,117.15,6306212.0
2008-11-10,119.7,123.8,117.5,122.5,4072149.0
2008-11-11,120.35,121.35,113.05,114.1,4534063.0
2008-11-12,117.0,117.0,107.25,109.25,5203716.0
2008-11-14,108.0,115.45,108.0,109.0,3747573.0
2008-11-17,109.5,110.8,103.5,108.9,3574279.0
2008-11-18,107.75,107.9,101.5,103.3,3894878.0
2008-11-19,103.9,108.5,100.3,101.1,3511531.0
2008-11-20,99.0,101.95,95.45,99.8,3728763.0
2008-11-21,101.0,106.85,98.0,104.75,4091622.0
2008-11-24,105.0,112.0,103.25,111.1,4966470.0
2008-11-25,114.0,116.2,107.3,108.05,4345237.0
2008-11-26,109.0,113.95,108.0,113.25,4752961.0
2008-11-28,112.6,115.75,107.0,110.5,3883273.0
2008-12-01,115.1,117.0,105.55,107.2,5229906.0
2008-12-02,102.2,107.0,101.55,105.75,3814403.0
2008-12-03,107.8,108.0,103.0,104.75,3529166.0
2008-12-04,104.75,108.5,104.05,107.8,3523337.0
2008-12-05,108.0,110.3,105.25,106.15,2943431.0
2008-12-08,109.4,113.0,108.6,109.65,3372458.0
2008-12-10,111.1,114.0,110.0,113.15,3548959.0
2008-12-11,113.0,120.1,111.6,118.2,5916693.0
2008-12-12,117.0,118.9,113.25,116.75,5224145.0
2008-12-15,118.0,123.0,117.0,120.0,4468865.0
2008-12-16,119.0,125.45,118.25,123.75,4937152.0
2008-12-17,126.0,126.8,114.6,115.95,5361920.0
2008-12-18,115.7,125.0,115.7,124.25,5320798.0
2008-12-19,124.0,128.7,122.1,125.25,4163240.0
2008-12-22,125.25,128.75,123.65,125.1,4192412.0
2008-12-23,125.0,125.85,122.5,124.25,4214965.0
2008-12-24,124.0,124.5,116.6,117.6,4373106.0
2008-12-26,119.85,121.9,113.5,114.5,3534170.0
2008-12-29,112.0,117.0,111.1,116.05,3791633.0
2008-12-30,117.0,121.75,115.8,120.5,3546990.0
2008-12-31,121.5,123.35,118.2,119.95,2892904.0
2009-01-01,121.5,124.25,116.7,123.35,2032152.0
2009-01-02,123.9,125.8,123.05,123.5,2593651.0
2009-01-05,125.0,126.25,121.1,124.55,3041806.0
2009-01-06,124.65,127.95,121.0,123.55,3644426.0
2009-01-07,124.5,125.45,110.75,112.8,4200735.0
2009-01-09,112.0,120.0,99.0,106.7,4141744.0
2009-01-12,106.05,107.25,102.05,102.95,2961306.0
2009-01-13,103.0,105.0,96.2,97.8,5255262.0
2009-01-14,98.55,108.9,95.5,102.4,9092972.0
2009-01-15,101.0,101.35,97.15,98.9,4299319.0
2009-01-16,98.25,102.2,98.25,101.0,3260860.0
2009-01-19,101.5,103.95,100.75,101.65,2786040.0
2009-01-20,100.0,104.9,98.05,102.5,4680785.0
2009-01-21,100.0,103.6,99.25,100.35,3628239.0
2009-01-22,101.0,102.4,98.0,98.5,3137266.0
2009-01-23,97.85,99.9,97.25,98.05,2058541.0
2009-01-27,101.0,102.35,99.25,100.55,2438224.0
2009-01-28,101.85,103.5,100.2,102.6,2413688.0
2009-01-29,104.0,108.65,102.5,104.5,6123668.0
2009-01-30,103.0,107.4,101.7,106.4,3539123.0
2009-02-02,105.0,106.1,98.4,99.6,3274397.0
2009-02-03,95.0,102.0,95.0,100.1,2111319.0
2009-02-04,100.6,102.5,99.8,100.45,1785392.0
2009-02-05,101.0,101.5,98.9,99.7,1411141.0
2009-02-06,100.0,101.5,100.0,100.25,1163189.0
2009-02-09,101.5,103.25,100.0,102.85,2138342.0
2009-02-10,103.1,104.8,101.7,103.25,2524920.0
2009-02-11,102.3,103.3,100.1,102.8,1989977.0
2009-02-12,101.3,105.05,101.3,103.5,2701030.0
2009-02-13,105.0,109.0,104.0,108.2,4292966.0
2009-02-16,108.0,109.0,101.65,102.75,3352725.0
2009-02-17,103.8,103.8,100.0,100.8,1922154.0
2009-02-18,101.0,102.6,99.15,100.25,1946452.0
2009-02-19,99.25,103.5,99.0,100.4,1849790.0
2009-02-20,99.8,99.9,96.8,97.8,1832060.0
2009-02-24,97.5,100.0,96.15,98.7,2200631.0
2009-02-25,99.75,101.5,99.1,99.9,2141204.0
2009-02-26,100.1,100.1,96.4,97.5,2989119.0
2009-02-27,96.8,100.85,96.5,99.95,2479385.0
2009-03-02,99.0,99.45,96.15,98.3,2378720.0
2009-03-03,97.95,99.3,95.0,95.95,1593093.0
2009-03-04,96.9,97.0,93.75,95.2,2603227.0
2009-03-05,97.0,97.0,93.15,93.75,1603711.0
2009-03-06,93.4,95.2,92.3,94.75,1547125.0
2009-03-09,94.15,94.4,91.35,92.05,1279851.0
2009-03-12,94.8,95.95,89.35,92.35,2498972.0
2009-03-13,100.0,100.0,93.0,98.5,2782918.0
2009-03-16,99.85,105.1,97.15,102.05,3669096.0
2009-03-17,102.0,103.25,99.7,101.65,2916909.0
2009-03-18,102.0,104.0,99.75,100.6,2621917.0
2009-03-19,102.0,102.0,98.5,100.25,2147500.0
2009-03-20,100.0,101.7,98.65,100.85,2002597.0
2009-03-23,101.1,106.15,101.0,105.55,2466726.0
2009-03-24,106.85,111.0,101.2,101.85,3676093.0
2009-03-25,102.0,104.4,101.05,102.9,3769325.0
2009-03-26,102.55,108.5,101.85,106.0,7292754.0
2009-03-27,107.0,112.9,105.8,109.95,13534528.0
2009-03-30,107.9,108.05,99.5,100.65,8636791.0
2009-03-31,110.0,110.0,100.8,102.35,5456693.0
2009-04-01,102.0,105.3,101.25,104.8,4476873.0
2009-04-02,107.0,112.0,106.7,110.85,6501752.0
2009-04-06,114.0,117.4,110.15,116.35,6966975.0
2009-04-08,112.7,120.0,110.75,118.85,6348496.0
2009-04-09,121.0,123.9,117.1,119.9,7427639.0
2009-04-13,123.8,124.85,118.2,123.25,5207466.0
2009-04-15,120.0,130.85,119.8,128.45,7552434.0
2009-04-16,129.05,133.95,116.1,118.4,9555613.0
2009-04-17,120.05,124.5,114.05,115.95,6879312.0
2009-04-20,118.5,123.0,116.6,118.6,6381359.0
2009-04-21,112.2,121.5,112.2,120.05,5874225.0
2009-04-22,120.0,129.0,118.65,126.05,10704537.0
2009-04-23,128.5,130.5,125.15,128.05,10101675.0
2009-04-24,129.0,134.25,128.05,133.1,9544872.0
2009-04-27,134.0,134.85,126.5,129.0,6548422.0
2009-04-28,128.0,129.5,125.35,126.3,5391238.0
2009-04-29,128.0,129.9,122.3,123.3,7789277.0
2009-05-04,128.0,129.0,126.25,127.4,3398784.0
2009-05-05,128.0,137.0,127.0,135.7,8603829.0
2009-05-06,138.0,141.9,133.05,135.05,9330210.0
2009-05-07,136.85,138.75,133.1,135.9,4118425.0
2009-05-08,135.0,137.9,130.1,133.3,4647783.0
2009-05-11,134.5,135.3,126.7,128.15,3848346.0
2009-05-12,128.0,134.05,126.9,133.65,4205057.0
2009-05-13,135.05,135.05,128.45,129.5,4428626.0
2009-05-14,125.55,131.4,125.55,128.3,4631304.0
2009-05-15,129.5,131.85,128.5,129.15,4334735.0
2009-05-18,144.0,153.7,142.0,148.9,70098.0
2009-05-19,160.0,168.0,140.7,161.95,15197526.0
2009-05-20,160.0,175.5,158.0,172.75,11513356.0
2009-05-21,170.5,177.2,164.5,165.95,11327287.0
2009-05-22,164.0,170.45,162.2,165.0,7618917.0
2009-05-25,168.2,171.5,166.4,169.05,5341859.0
2009-05-26,169.5,172.85,156.6,158.8,7808617.0
2009-05-27,165.0,183.4,161.55,178.8,15205400.0
2009-05-28,180.0,184.2,176.1,180.0,14451222.0
2009-05-29,183.0,185.75,180.0,180.9,9641869.0
2009-06-01,184.0,187.8,175.4,182.4,10052862.0
2009-06-02,184.0,184.85,176.25,179.9,5051782.0
2009-06-03,180.5,186.4,179.0,181.75,7318789.0
2009-06-04,180.0,192.5,178.1,190.75,12113207.0
2009-06-05,192.8,193.5,183.05,184.25,7635032.0
2009-06-08,185.1,191.2,175.1,177.95,12158889.0
2009-06-09,177.0,185.9,174.0,183.9,7353539.0
2009-06-10,185.1,190.8,183.05,186.75,7964109.0
2009-06-11,190.45,196.85,188.0,193.0,15355920.0
2009-06-12,194.8,200.75,191.0,192.4,13896431.0
2009-06-15,194.0,210.0,190.4,200.2,28907654.0
2009-06-16,198.7,200.95,192.5,196.15,11419279.0
2009-06-17,197.0,199.9,181.3,184.8,9249018.0
2009-06-18,184.45,186.5,173.5,178.25,7660134.0
2009-06-19,181.0,183.15,169.5,175.85,8426496.0
2009-06-22,177.0,179.5,169.5,170.25,6343772.0
2009-06-23,168.0,173.5,165.15,171.9,7313596.0
2009-06-24,173.0,175.9,170.1,174.85,7133755.0
2009-06-25,176.0,176.9,167.0,168.9,8280171.0
2009-06-26,172.8,174.8,169.45,173.6,5569870.0
2009-06-29,175.0,178.85,173.2,174.15,5302723.0
2009-06-30,175.1,177.4,166.0,167.5,4792234.0
2009-07-01,170.2,172.5,166.1,171.55,4385340.0
2009-07-02,171.0,174.25,166.65,172.8,4344875.0
2009-07-03,173.9,177.8,171.5,176.75,5865542.0
2009-07-06,177.0,180.5,162.55,164.1,7383431.0
2009-07-07,165.5,166.8,161.5,165.6,3471310.0
2009-07-08,163.3,164.5,157.2,157.85,3232374.0
2009-07-09,158.15,159.8,155.0,157.25,2918836.0
2009-07-10,159.0,159.4,147.0,150.55,3101453.0
2009-07-13,148.4,148.4,139.2,141.5,4706313.0
2009-07-14,160.0,160.0,144.0,151.65,6132416.0
2009-07-15,156.4,166.9,153.0,164.65,7178585.0
2009-07-16,172.25,172.25,163.0,164.35,6502097.0
2009-07-17,166.5,168.5,163.7,166.0,3809414.0
2009-07-20,167.25,170.0,160.75,165.1,4588362.0
2009-07-21,166.0,168.5,163.3,164.35,3625189.0
2009-07-22,165.2,168.5,159.25,161.35,4277455.0
2009-07-23,164.2,171.2,163.0,168.65,3948391.0
2009-07-24,171.7,174.9,169.85,172.7,6744867.0
2009-07-27,174.5,175.0,171.6,173.95,3236340.0
2009-07-28,176.85,178.7,173.35,174.2,7671288.0
2009-07-29,176.0,177.5,167.5,169.9,6827057.0
2009-07-30,170.0,174.8,168.6,169.45,5945173.0
2009-07-31,171.7,173.8,164.65,168.2,8675542.0
2009-08-03,170.6,171.3,167.35,170.35,3472387.0
2009-08-04,171.75,172.0,165.7,166.95,4321905.0
2009-08-05,169.8,171.95,165.25,170.35,4748291.0
2009-08-06,169.4,172.15,165.1,165.95,4300550.0
2009-08-07,163.15,165.8,160.25,161.15,3311367.0
2009-08-10,164.9,166.8,156.05,157.65,3300734.0
2009-08-11,157.2,161.75,155.7,159.75,3528735.0
2009-08-12,158.0,159.85,155.7,159.45,2702197.0
2009-08-13,162.15,164.3,161.25,163.75,3945966.0
2009-08-14,163.5,166.25,161.95,162.85,2807416.0
2009-08-17,160.9,162.5,154.65,155.45,2301990.0
2009-08-18,155.0,160.6,155.0,158.55,2229036.0
2009-08-19,159.85,161.75,154.55,156.15,3599966.0
2009-08-20,158.5,159.4,156.05,156.7,1679897.0
2009-08-21,156.0,157.3,153.6,156.3,2316129.0
2009-08-24,158.0,159.95,157.65,158.7,2339635.0
2009-08-25,158.0,162.75,157.15,161.7,3681485.0
2009-08-26,162.0,164.8,161.7,164.05,3069654.0
2009-08-27,163.0,164.65,159.05,159.75,4412775.0
2009-08-28,160.3,162.5,158.65,161.2,2588445.0
2009-08-31,159.85,163.2,158.7,161.4,2292982.0
2009-09-01,162.0,163.9,158.5,159.15,2394048.0
2009-09-02,159.0,161.8,157.5,160.4,2441694.0
2009-09-03,161.2,162.65,159.95,160.6,1977072.0
2009-09-04,163.0,164.8,159.55,161.95,2186351.0
2009-09-07,162.9,166.0,162.9,165.05,2806564.0
2009-09-08,165.7,168.5,163.8,164.8,3672484.0
2009-09-09,165.0,165.9,162.55,164.35,1955402.0
2009-09-10,165.9,167.6,164.05,164.75,3450459.0
2009-09-11,166.0,166.5,161.65,162.95,2189466.0
2009-09-14,162.0,164.5,161.05,162.7,1801249.0
2009-09-15,163.95,164.8,162.45,163.55,1577443.0
2009-09-16,164.1,165.6,163.25,163.9,1753839.0
2009-09-17,165.35,165.9,163.0,163.9,2554209.0
2009-09-18,164.0,173.5,163.1,172.25,9185162.0
2009-09-22,173.4,175.0,170.0,172.4,5903126.0
2009-09-23,172.85,173.1,166.75,167.3,3092149.0
2009-09-24,165.0,168.5,165.0,166.2,5282361.0
2009-09-25,165.1,169.0,164.3,166.0,2574235.0
2009-09-29,170.05,171.6,166.7,167.25,3217897.0
2009-09-30,168.0,169.45,167.1,167.85,1950727.0
2009-10-01,168.0,168.75,166.05,166.7,2160797.0
2009-10-05,166.1,166.8,162.6,163.0,2747475.0
2009-10-06,164.35,164.8,159.65,163.65,2407686.0
2009-10-07,165.0,165.8,160.5,161.05,2577979.0
2009-10-08,162.0,163.3,160.5,161.5,1702151.0
2009-10-09,163.0,163.0,159.7,160.3,1778931.0
2009-10-12,162.5,165.3,160.05,163.95,3810382.0
2009-10-14,165.0,165.65,162.15,162.65,2048504.0
2009-10-15,163.5,165.35,162.5,163.25,2390767.0
2009-10-16,155.4,164.0,155.4,163.45,1321219.0
2009-10-17,163.5,164.8,163.2,163.5,521583.0
2009-10-20,163.6,165.35,162.0,162.5,2399959.0
2009-10-21,162.0,163.45,160.8,161.35,1141649.0
2009-10-22,161.5,161.95,158.7,159.65,1469322.0
2009-10-23,161.65,161.65,158.45,159.0,1225989.0
2009-10-26,159.0,160.0,156.5,157.4,1798940.0
2009-10-27,157.0,157.0,149.5,150.45,2626378.0
2009-10-28,151.95,152.25,146.0,149.6,2535087.0
2009-10-29,147.75,147.9,140.6,142.05,3766997.0
2009-10-30,144.55,145.65,137.7,138.45,3148600.0
2009-11-03,136.25,144.5,134.5,135.95,4041699.0
2009-11-04,137.4,139.7,133.55,138.15,2607021.0
2009-11-05,138.2,144.75,136.05,144.25,2819549.0
2009-11-06,146.0,147.9,142.85,143.95,2629543.0
2009-11-09,143.2,146.0,142.5,145.1,1715065.0
2009-11-10,146.0,149.05,143.05,143.7,2449098.0
2009-11-11,144.95,146.75,143.0,146.25,1598038.0
2009-11-12,146.25,146.65,143.0,143.75,1507558.0
2009-11-13,143.75,145.4,143.0,143.65,1063430.0
2009-11-16,145.0,152.7,144.15,151.3,4174319.0
2009-11-17,152.9,152.9,148.05,150.9,2512716.0
2009-11-18,150.4,154.4,149.4,151.6,2668205.0
2009-11-19,153.0,155.25,149.6,150.55,2484646.0
2009-11-20,149.0,151.4,145.35,148.2,2340638.0
2009-11-23,148.1,149.4,148.0,148.35,1074572.0
2009-11-24,148.7,148.95,146.05,146.95,1229091.0
2009-11-25,147.5,148.8,145.9,146.45,1257977.0
2009-11-26,145.0,147.4,141.85,143.0,1797844.0
2009-11-27,139.1,141.5,137.45,141.1,2083859.0
2009-11-30,142.0,144.7,142.0,142.8,1174553.0
2009-12-01,143.9,148.0,143.55,146.65,1849619.0
2009-12-02,147.4,148.8,144.75,147.4,1981489.0
2009-12-03,150.6,156.75,149.2,154.9,6951631.0
2009-12-04,154.0,156.85,148.5,150.1,3878321.0
2009-12-07,145.0,146.75,142.6,145.2,3790849.0
2009-12-08,145.2,147.3,144.9,146.7,1631884.0
2009-12-09,144.5,152.2,144.45,150.1,4209331.0
2009-12-10,152.0,153.0,147.1,148.9,1761522.0
2009-12-11,150.0,150.85,147.1,147.85,1354386.0
2009-12-14,149.0,149.0,146.1,146.55,969893.0
2009-12-15,147.0,147.45,144.2,144.6,1022918.0
2009-12-16,143.1,145.5,143.1,144.4,874780.0
2009-12-17,145.0,145.7,143.5,143.9,1068837.0
2009-12-18,143.75,147.2,141.0,143.8,2155889.0
2009-12-21,144.1,144.55,142.4,142.75,759052.0
2009-12-22,144.0,144.95,143.25,144.0,829450.0
2009-12-23,145.95,147.7,145.1,147.05,1779345.0
2009-12-24,147.25,148.7,146.1,147.0,1429974.0
2009-12-29,150.4,157.0,149.0,154.05,9125460.0
2009-12-30,159.0,164.8,154.9,155.7,4093572.0
2009-12-31,157.0,157.25,154.5,155.1,2376671.0
2010-01-04,156.0,156.8,153.7,156.05,1842177.0
2010-01-05,157.0,162.2,156.0,160.45,5151407.0
2010-01-06,161.0,161.5,158.45,158.95,2203879.0
2010-01-07,159.1,161.5,158.5,159.55,2346020.0
2010-01-08,159.0,162.25,158.6,160.05,2339345.0
2010-01-11,162.1,164.4,161.35,161.85,1864623.0
2010-01-12,161.0,162.4,156.65,157.1,1938087.0
2010-01-13,156.5,158.05,155.0,157.7,1602936.0
2010-01-14,158.4,161.0,157.5,159.55,1359572.0
2010-01-15,160.0,162.4,158.5,159.3,2451432.0
2010-01-18,160.9,162.4,158.1,159.6,1638514.0
2010-01-19,159.9,160.0,156.1,156.75,1196534.0
2010-01-20,157.1,159.25,156.5,156.9,1150559.0
2010-01-21,155.8,156.9,152.4,152.95,1338952.0
2010-01-22,150.0,152.15,148.0,150.5,1586267.0
2010-01-25,150.2,151.2,148.75,150.2,905101.0
2010-01-27,149.95,150.0,144.0,145.45,1689372.0
2010-01-28,146.0,148.4,142.1,144.15,4624750.0
2010-01-29,142.0,146.6,140.9,145.95,1650382.0
2010-02-01,146.0,148.65,144.25,147.5,1057598.0
2010-02-02,148.1,149.0,144.1,144.85,1173866.0
