Date,O,H,L,C,V
2017-12-18,664.0,699.0,660.0,686.35,5540090
2017-12-19,692.0,694.0,670.0,684.85,705430
2017-12-20,685.9,689.5,678.35,681.5,222932
2017-12-21,681.1,684.0,674.4,680.2,113322
2017-12-22,678.5,688.0,667.4,682.6,212398
2017-12-26,680.35,684.0,677.45,681.25,65453
2017-12-27,679.25,682.0,676.2,680.0,67246
2017-12-28,677.0,685.0,674.1,679.55,92884
2017-12-29,675.0,681.0,675.0,678.25,66723
2018-01-01,677.65,681.5,674.0,678.65,74188
2018-01-02,675.0,682.95,671.1,679.7,116280
2018-01-03,676.0,682.85,673.5,676.85,48321
2018-01-04,677.0,683.85,675.05,682.05,60809
2018-01-05,680.05,681.5,679.0,680.1,35943
2018-01-08,677.05,681.95,677.05,680.0,63097
2018-01-09,679.05,685.0,679.05,680.45,58948
2018-01-10,680.05,689.8,680.0,680.0,34456
2018-01-11,680.8,704.0,678.0,700.55,186249
2018-01-12,700.55,737.7,700.0,716.2,433079
2018-01-15,716.2,749.0,708.0,714.8,172817
2018-01-16,721.0,721.45,680.05,687.25,109484
2018-01-17,685.0,698.35,680.65,691.15,51480
2018-01-18,693.65,707.0,680.0,683.25,290831
2018-01-19,685.0,687.3,666.0,675.25,28782
2018-01-22,677.8,697.9,675.0,694.9,71687
2018-01-23,695.0,698.95,682.55,686.3,19781
2018-01-24,688.0,688.5,680.05,686.75,18162
2018-01-25,687.35,695.0,685.1,690.0,24323
2018-01-29,704.8,714.45,683.3,687.5,90821
2018-01-30,688.0,688.0,668.1,669.95,82652
2018-01-31,670.0,689.0,661.0,685.55,24970
2018-02-01,674.0,699.9,661.5,692.4,44023
2018-02-02,662.5,680.95,654.0,672.95,64576
2018-02-05,655.1,667.5,655.1,664.75,18296
2018-02-06,660.1,661.0,645.1,659.65,45988
2018-02-07,670.0,670.05,654.1,664.75,22811
2018-02-08,665.0,681.6,661.0,674.35,53231
2018-02-09,666.0,680.95,660.1,676.95,23630
2018-02-12,679.0,690.9,662.0,686.8,35938
2018-02-14,678.1,688.55,670.4,683.85,19741
2018-02-15,683.85,683.85,671.4,677.0,21457
2018-02-16,670.3,676.85,660.1,661.05,9051
2018-02-19,663.9,663.9,652.0,661.4,26899
2018-02-20,662.85,665.0,652.3,659.15,10131
2018-02-21,665.0,665.0,643.05,647.0,37510
2018-02-22,649.05,652.7,643.05,646.1,5424
2018-02-23,650.0,652.0,645.35,649.2,8383
2018-02-26,655.0,655.85,643.0,647.05,6642
2018-02-27,646.1,657.0,643.3,646.55,14563
2018-02-28,653.0,669.0,640.0,662.4,37611
2018-03-01,653.0,669.55,653.0,663.25,39844
2018-03-05,660.1,677.95,655.3,668.75,47597
2018-03-06,660.05,680.0,660.05,668.95,63974
2018-03-07,669.1,676.6,660.1,671.45,35768
2018-03-08,675.0,680.0,663.2,675.7,40289
2018-03-09,670.05,679.5,668.1,673.75,19693
2018-03-12,678.0,685.0,675.5,682.25,43981
2018-03-13,680.0,690.0,678.4,689.05,42873
2018-03-14,689.95,702.9,681.1,691.0,34261
2018-03-15,690.0,710.0,685.15,709.05,54007
2018-03-16,705.0,717.0,702.45,709.9,103043
2018-03-19,699.55,709.9,692.45,705.6,25276
2018-03-20,700.0,707.8,694.85,701.05,26691
2018-03-21,699.45,702.1,688.25,696.05,23775
2018-03-22,693.9,694.9,680.55,686.95,41858
2018-03-23,672.7,678.5,660.1,672.15,11010
2018-03-26,663.0,673.0,647.95,658.9,33128
2018-03-27,669.0,669.0,655.1,660.15,5989
2018-03-28,652.0,672.0,651.1,667.25,10274
2018-04-02,655.1,680.0,655.1,667.1,168523
2018-04-03,664.1,674.0,664.1,669.05,3522
2018-04-04,669.05,672.0,664.85,666.5,4268
2018-04-05,675.0,675.0,661.1,666.75,6284
2018-04-06,666.05,678.95,665.0,675.55,7118
2018-04-09,672.05,677.45,665.0,666.6,3815
2018-04-10,680.0,725.0,680.0,687.2,45355
2018-04-11,684.6,692.7,675.1,691.0,12396
2018-04-12,694.4,695.0,680.4,693.5,10375
2018-04-13,690.2,695.05,681.25,689.4,9415
2018-04-16,690.0,690.0,675.0,679.8,107605
2018-04-17,681.0,683.15,670.55,677.3,12013
2018-04-18,693.1,696.8,672.1,678.8,22373
2018-04-19,686.8,699.0,680.05,695.25,29438
2018-04-20,698.6,712.0,684.1,707.0,45345
2018-04-23,710.0,726.0,700.0,710.05,59798
2018-04-24,712.35,725.0,711.55,720.0,61189
2018-04-25,725.0,725.0,701.1,709.4,31738
2018-04-26,719.0,719.0,693.0,699.7,27010
2018-04-27,704.0,704.0,687.0,700.15,28085
2018-04-30,700.15,703.35,692.5,695.25,6167
2018-05-02,694.8,696.9,676.0,684.05,10364
2018-05-03,683.6,686.65,679.3,680.25,6505
2018-05-04,671.0,682.6,671.0,675.3,2213
2018-05-07,695.0,695.0,681.1,686.6,6254
2018-05-08,687.0,688.5,675.0,678.05,5356
2018-05-09,688.9,688.9,672.6,677.65,5122
2018-05-10,682.0,696.95,677.0,680.9,21645
2018-05-11,689.0,689.0,675.0,676.7,3851
2018-05-14,677.0,678.0,665.0,670.9,5794
2018-05-15,684.0,684.0,655.75,665.8,18495
2018-05-16,665.8,665.8,658.05,662.6,6590
2018-05-17,662.6,675.0,662.6,673.8,4992
2018-05-18,675.0,692.0,660.1,673.05,130172
2018-05-21,660.1,673.75,659.3,669.25,24834
2018-05-22,667.55,671.15,656.0,658.35,5619
2018-05-23,660.75,663.1,655.0,656.25,3761
2018-05-24,657.7,668.7,650.55,652.35,3737
2018-05-25,654.35,656.9,650.1,654.0,2376
2018-05-28,655.0,662.0,650.0,654.4,6424
2018-05-29,652.45,673.9,652.45,670.1,13179
2018-05-30,670.05,678.75,664.85,675.4,5427
2018-05-31,675.05,679.7,670.35,675.0,3865
2018-06-01,675.8,701.95,664.05,693.8,15707
2018-06-04,701.0,705.0,676.0,693.55,23500
2018-06-05,685.05,687.0,666.4,669.95,6866
2018-06-06,670.05,704.05,664.15,695.8,26237
2018-06-07,704.9,710.05,668.7,671.85,65006
2018-06-08,672.0,680.6,649.8,664.85,107361
2018-06-11,670.85,684.0,654.4,658.35,58329
2018-06-12,660.65,660.7,638.7,642.7,30333
2018-06-13,643.3,655.0,643.0,649.15,5655
2018-06-14,645.0,651.0,619.05,631.15,149790
2018-06-15,631.7,640.1,625.45,629.5,5770
2018-06-18,629.5,663.55,620.3,655.45,29537
2018-06-19,656.0,664.85,644.95,662.1,24989
2018-06-20,662.1,677.8,655.3,674.05,20529
2018-06-21,675.85,760.0,663.2,711.5,56667
2018-06-22,700.0,704.3,680.55,693.2,13195
2018-06-25,689.95,689.95,671.1,675.0,4661
2018-06-26,665.35,680.0,658.0,662.8,63060
2018-06-27,663.9,668.15,656.3,659.45,4698
2018-06-28,658.0,658.0,643.1,645.3,3222
2018-06-29,646.25,700.75,646.25,676.9,176524
2018-07-02,676.9,676.9,657.5,663.0,3113
2018-07-03,663.0,690.0,663.0,671.95,14084
2018-07-04,671.0,671.0,660.1,662.7,3365
2018-07-05,662.65,668.75,658.2,662.55,2477
2018-07-06,651.1,663.25,651.1,654.65,3935
2018-07-09,658.9,670.0,652.95,667.0,3973
2018-07-10,663.25,670.2,660.05,668.75,6450
2018-07-11,664.9,674.0,661.85,669.55,17003
2018-07-12,672.85,672.85,664.4,665.05,2778
2018-07-13,664.95,666.0,658.0,660.9,11342
2018-07-16,650.1,656.9,642.8,645.1,8275
