Date,O,H,L,C,V
2017-08-08,67.95,67.95,57.0,57.05,8159
2017-08-09,57.0,59.95,55.0,55.6,21845
2017-08-10,53.0,56.9,53.0,56.35,2520
2017-08-11,61.0,61.0,51.2,54.0,17926
2017-08-14,58.9,58.9,51.8,52.5,10739
2017-08-16,52.5,56.5,52.5,55.0,12426
2017-08-17,54.05,54.1,54.05,54.05,827
2017-08-18,54.5,54.5,54.05,54.5,1700
2017-08-21,56.95,56.95,51.7,54.7,1645
2017-08-22,55.65,55.65,53.1,53.8,1574
2017-08-23,55.0,55.0,53.5,53.5,4225
2017-08-24,52.05,55.4,52.0,55.4,638
2017-08-28,54.0,54.0,54.0,54.0,113
2017-08-29,53.1,53.1,53.1,53.1,21
2017-08-30,54.65,54.65,52.6,52.6,938
2017-08-31,52.15,53.8,52.05,53.8,1051
2017-09-01,53.8,55.95,53.8,55.25,3402
2017-09-04,55.0,55.0,52.45,52.5,300
2017-09-05,54.4,54.45,52.7,53.55,3495
2017-09-06,53.95,57.9,53.9,56.05,5750
2017-09-07,56.0,56.45,55.05,55.05,320
2017-09-08,55.05,59.3,54.0,55.3,14810
2017-09-11,53.05,58.15,53.05,57.05,9344
2017-09-12,55.0,56.35,53.6,54.75,5495
2017-09-13,56.5,56.5,54.0,54.0,203
2017-09-14,53.1,55.0,53.0,53.45,825
2017-09-15,50.15,53.5,48.15,49.3,136594
2017-09-18,50.0,52.15,50.0,50.0,9344
2017-09-19,50.3,52.95,50.3,52.3,7753
2017-09-20,53.0,53.0,51.0,51.25,2659
2017-09-21,54.8,54.8,47.75,49.7,2256
2017-09-22,48.5,51.85,46.2,49.9,17744
2017-09-25,50.0,50.5,46.8,48.5,14136
2017-09-26,50.95,50.95,47.1,47.6,3252
2017-09-27,51.0,51.0,46.0,47.55,9583
2017-09-28,51.95,51.95,46.55,47.5,4166
2017-09-29,49.95,49.95,47.0,47.0,1713
2017-10-03,47.25,49.0,45.35,46.55,5271
2017-10-04,49.95,49.95,45.4,46.2,5903
2017-10-05,45.5,49.4,45.3,46.0,2729
2017-10-06,47.9,47.9,41.4,43.05,10681
2017-10-09,48.9,48.9,43.55,44.85,4305
2017-10-10,46.0,46.0,40.0,43.0,9228
2017-10-11,45.0,45.0,41.0,42.5,2054
2017-10-12,45.0,45.0,38.0,41.15,3708
2017-10-13,42.0,42.25,39.3,39.95,9662
2017-10-16,39.0,47.9,36.4,47.9,47089
2017-10-17,54.0,57.45,52.6,57.45,158088
2017-10-18,60.75,68.9,60.75,68.9,252291
2017-10-19,75.75,75.75,73.25,74.75,114143
2017-10-23,75.5,79.6,67.7,69.85,109389
2017-10-24,68.5,75.0,66.3,72.55,104712
2017-10-25,75.0,77.0,70.05,72.2,25218
2017-10-26,71.3,71.5,65.0,65.7,36447
2017-10-27,67.0,68.0,62.95,63.75,10509
2017-10-30,64.0,68.0,62.7,65.05,27338
2017-10-31,65.55,65.75,61.3,64.75,20215
2017-11-01,65.5,71.2,65.1,71.2,133123
2017-11-02,72.7,76.0,69.0,73.2,117241
2017-11-03,74.0,75.05,72.0,73.65,37765
2017-11-06,74.0,74.6,73.5,73.65,40309
2017-11-07,74.0,74.8,70.35,72.25,27638
2017-11-08,73.0,75.0,69.9,71.3,33907
2017-11-09,72.5,78.4,71.5,76.25,56646
2017-11-10,78.2,83.85,77.5,80.35,224455
2017-11-13,80.9,81.7,74.0,75.9,52274
2017-11-14,75.9,77.8,72.15,75.9,17992
2017-11-15,76.0,77.0,72.2,73.8,4734
2017-11-16,74.5,77.45,73.6,77.45,16299
2017-11-17,78.8,80.9,74.2,79.4,73844
2017-11-20,80.25,83.35,80.15,83.35,49748
2017-11-21,84.25,87.5,81.6,83.3,26705
2017-11-22,85.0,85.0,81.1,82.55,10731
2017-11-23,84.0,86.5,83.0,84.2,13405
2017-11-24,84.2,84.2,80.0,80.55,13741
2017-11-27,82.0,82.0,79.4,79.65,3974
2017-11-28,80.0,81.0,77.0,77.35,13027
2017-11-29,79.0,81.2,78.0,80.15,8310
2017-11-30,81.1,81.15,79.0,79.5,3290
2017-12-01,80.8,83.45,77.0,78.15,3212
2017-12-04,81.15,81.15,78.0,79.95,2841
2017-12-05,80.95,81.0,76.0,79.0,2905
2017-12-06,80.5,80.5,78.85,78.9,2460
2017-12-07,81.0,82.8,81.0,82.8,41817
2017-12-08,85.0,86.9,85.0,86.9,33593
2017-12-11,91.2,91.2,91.2,91.2,5283
2017-12-12,95.75,95.75,95.75,95.75,13386
2017-12-13,100.5,100.5,100.5,100.5,111117
2017-12-14,105.4,105.4,99.0,101.7,86132
2017-12-15,103.2,106.75,102.3,106.2,25203
2017-12-18,107.0,111.5,104.0,111.5,71017
2017-12-19,113.0,117.05,112.5,117.05,36874
