Date,O,H,L,C,V
2016-11-22,215.8,215.8,201.0,204.9,4545
2016-11-23,197.0,208.9,196.9,207.85,1866
2016-11-24,200.0,212.75,200.0,210.1,483
2016-11-25,219.0,221.0,215.15,216.75,667
2016-11-28,208.2,236.3,205.1,219.55,3197
2016-11-29,218.25,226.6,218.25,220.1,312
2016-11-30,213.25,229.0,213.25,224.95,1326
2016-12-01,216.55,223.8,216.5,216.55,135
2016-12-02,218.0,218.0,210.0,218.0,331
2016-12-05,207.75,226.0,207.75,218.45,1483
2016-12-06,213.35,221.0,213.35,217.5,460
2016-12-07,217.5,223.6,210.0,212.65,1058
2016-12-08,223.15,223.3,215.95,218.95,586
2016-12-09,219.5,228.0,219.5,223.0,1055
2016-12-12,225.15,229.95,225.0,229.25,463
2016-12-13,225.0,225.0,225.0,225.0,83
2016-12-14,225.95,226.0,202.65,222.7,330
2016-12-15,222.0,223.0,216.4,216.4,408
2016-12-16,215.4,225.0,208.0,210.2,1201
2016-12-19,218.6,226.65,208.6,209.7,418
2016-12-20,218.9,218.95,209.15,209.35,125
2016-12-21,208.6,219.0,208.5,208.6,526
2016-12-22,216.9,219.0,201.45,203.05,1219
2016-12-23,203.35,220.0,201.25,207.1,508
2016-12-26,205.0,205.0,196.0,197.5,360
2016-12-27,196.25,204.95,195.0,198.45,295
2016-12-28,198.45,201.1,180.0,200.0,2166
2016-12-29,201.0,202.5,201.0,202.5,52
2016-12-30,216.0,216.0,207.95,207.95,120
2017-01-02,202.15,206.0,170.5,202.65,2667
2017-01-03,202.1,213.0,200.1,210.0,1914
2017-01-04,209.0,211.45,207.55,211.0,664
2017-01-05,213.0,216.9,213.0,216.5,600
2017-01-06,210.85,217.8,210.0,211.05,753
2017-01-09,219.0,222.0,218.1,219.3,5301
2017-01-10,227.0,227.0,221.0,224.2,1588
2017-01-11,224.0,225.0,221.0,222.85,764
2017-01-12,222.0,229.0,217.5,218.05,2509
2017-01-13,216.4,223.9,216.4,223.9,318
2017-01-16,223.9,226.35,211.75,219.25,2500
2017-01-17,224.8,228.0,221.0,221.8,3855
2017-01-18,221.5,225.45,219.25,222.45,1967
2017-01-19,224.85,226.0,220.0,223.8,1029
2017-01-20,221.0,224.15,219.5,223.85,2541
2017-01-23,229.95,232.0,227.0,229.95,1957
2017-01-24,231.0,231.0,218.7,228.3,2638
2017-01-25,229.0,230.5,226.0,227.95,771
2017-01-27,245.05,272.0,245.05,265.5,116154
2017-01-30,264.9,289.4,264.0,266.95,40329
2017-01-31,273.7,273.7,256.3,263.2,9164
2017-02-01,256.2,266.0,256.2,264.5,7103
2017-02-02,266.0,272.0,261.35,266.95,5226
2017-02-03,266.0,271.0,264.0,267.4,9295
2017-02-06,266.0,267.05,262.35,263.15,4125
2017-02-07,259.1,269.0,259.05,262.2,8197
2017-02-08,265.0,272.0,260.25,266.3,2651
2017-02-09,266.05,275.0,266.0,269.7,6614
2017-02-10,273.4,275.05,268.4,273.25,9086
2017-02-13,270.05,270.05,259.9,262.5,11481
2017-02-14,268.8,268.8,259.05,260.45,3106
2017-02-15,261.5,263.95,250.0,252.45,8263
2017-02-16,259.0,259.0,248.0,248.9,5916
2017-02-17,253.0,255.0,249.0,249.55,7435
2017-02-20,246.0,253.6,246.0,249.4,8933
2017-02-21,248.5,257.4,248.5,254.1,14983
2017-02-22,249.1,257.4,249.1,253.65,7430
2017-02-23,251.2,256.9,251.0,254.35,4008
2017-02-27,254.0,259.0,251.35,255.1,8314
2017-02-28,251.55,254.0,251.0,251.6,5629
2017-03-01,259.0,259.0,250.3,251.55,6915
2017-03-02,256.7,256.7,248.1,249.6,6229
2017-03-03,257.6,257.6,242.0,245.95,13899
2017-03-06,252.0,252.0,245.0,247.4,8589
2017-03-07,244.15,252.4,244.15,248.25,2308
2017-03-08,250.0,252.95,246.85,248.95,2401
2017-03-09,250.95,255.0,246.3,251.05,798
2017-03-10,248.25,252.0,246.1,246.55,3885
2017-03-14,253.0,254.75,247.8,250.0,1789
2017-03-15,249.05,255.0,249.0,251.05,5455
2017-03-16,248.1,253.95,248.1,251.75,1730
2017-03-17,254.6,254.6,247.65,251.35,4767
2017-03-20,254.6,261.0,248.1,251.55,2635
2017-03-21,256.9,256.9,249.0,252.1,5177
2017-03-22,251.2,256.0,250.05,250.85,4680
2017-03-23,253.25,253.3,250.15,250.6,1437
2017-03-24,255.75,255.9,252.0,254.05,1834
2017-03-27,258.65,258.65,250.0,252.0,4681
2017-03-28,252.05,263.8,252.05,258.2,8082
2017-03-29,261.0,261.1,255.4,260.05,3467
2017-03-30,262.0,265.0,260.0,263.6,1838
2017-03-31,262.45,267.95,262.45,265.35,2623
2017-04-03,268.9,275.0,264.15,265.9,5786
2017-04-05,268.0,272.8,265.0,269.95,5692
2017-04-06,269.95,270.0,266.0,267.45,2110
2017-04-07,265.0,284.0,262.0,271.05,10061
2017-04-10,272.05,274.95,265.0,269.0,10242
2017-04-11,268.8,272.55,267.0,268.6,6434
2017-04-12,272.45,273.0,262.0,264.8,1580
2017-04-13,262.1,279.0,262.1,272.25,3868
2017-04-17,270.0,276.95,265.0,265.6,2386
2017-04-18,261.4,273.0,261.4,265.9,2820
2017-04-19,261.4,269.95,261.0,261.85,2959
2017-04-20,269.8,269.8,262.0,266.5,1470
2017-04-21,263.45,266.05,259.0,259.7,4344
2017-04-24,267.9,269.0,257.95,265.8,5464
2017-04-25,268.5,268.5,262.35,265.15,1325
2017-04-26,268.85,270.75,263.5,266.0,4099
2017-04-27,265.55,267.95,258.0,261.15,1693
2017-04-28,261.45,266.85,257.4,265.25,1342
2017-05-02,268.0,268.0,261.0,261.2,3723
2017-05-03,258.05,264.25,257.0,257.9,2679
2017-05-04,263.0,263.85,256.0,258.45,1154
2017-05-05,260.0,260.95,252.1,256.9,2603
2017-05-08,254.2,259.7,254.2,259.0,1179
2017-05-09,258.4,261.85,251.35,258.8,2442
2017-05-10,259.0,265.95,256.05,259.3,2749
2017-05-11,264.0,264.0,256.3,258.4,5008
2017-05-12,259.0,265.0,257.1,263.3,5946
2017-05-15,262.0,265.0,257.45,264.4,2752
2017-05-16,264.95,285.0,258.3,275.55,17830
2017-05-17,280.0,280.15,271.5,277.35,5844
2017-05-18,273.1,282.0,272.95,279.55,9951
2017-05-19,280.0,286.0,274.1,281.7,13427
2017-05-22,298.0,329.0,292.0,316.65,201792
2017-05-23,319.1,324.8,295.0,306.0,45273
2017-05-24,302.0,315.0,295.05,298.05,22047
2017-05-25,303.5,304.9,293.3,302.8,10177
2017-05-26,302.9,311.75,301.0,304.5,9712
2017-05-29,301.0,301.0,283.1,285.15,31963
2017-05-30,287.95,287.95,275.0,277.6,10443
2017-05-31,278.0,285.0,276.65,278.9,6144
2017-06-01,286.8,291.0,282.1,288.3,5729
2017-06-02,291.7,295.0,285.3,289.6,5186
2017-06-05,297.0,297.0,290.6,291.75,5061
2017-06-06,292.6,298.7,292.25,296.0,6955
2017-06-07,297.0,303.85,293.4,302.1,10701
2017-06-08,299.0,305.0,298.45,301.85,2671
2017-06-09,300.85,301.05,295.3,298.5,4258
2017-06-12,295.8,301.85,290.0,294.55,3073
2017-06-13,303.0,303.0,291.25,294.6,4130
2017-06-14,305.0,305.0,292.55,297.7,2619
2017-06-15,298.0,298.0,288.35,292.35,2714
2017-06-16,289.0,296.6,289.0,295.45,3493
2017-06-19,296.1,300.0,289.95,290.95,3706
2017-06-20,300.0,300.0,288.5,294.7,1874
2017-06-21,289.05,297.9,288.2,291.45,3219
2017-06-22,298.3,298.3,288.0,289.05,2798
2017-06-23,295.0,295.0,280.0,284.1,3920
2017-06-27,284.0,288.4,276.55,280.65,7478
2017-06-28,275.45,284.4,275.4,282.2,1022
2017-06-29,279.0,288.75,279.0,285.0,1133
2017-06-30,282.0,288.0,281.1,282.9,1651
2017-07-03,290.05,290.05,280.0,282.75,3579
2017-07-04,287.4,287.4,282.5,284.55,1913
2017-07-05,289.0,289.0,281.7,288.0,2594
2017-07-06,288.0,304.0,288.0,296.3,5225
2017-07-07,307.5,307.5,293.15,299.7,1914
2017-07-10,287.0,318.0,287.0,297.8,2580
2017-07-11,297.95,297.95,292.1,293.0,2015
2017-07-12,292.7,301.9,290.0,291.2,1930
2017-07-13,291.55,296.95,290.1,293.6,1958
2017-07-14,294.05,314.0,291.4,303.4,29179
2017-07-17,303.4,315.4,303.4,306.2,11519
2017-07-18,306.05,307.4,295.0,300.6,4635
2017-07-19,301.0,305.0,297.0,298.85,3131
2017-07-20,303.9,303.9,295.0,297.3,2937
2017-07-21,300.0,301.0,293.5,293.7,1341
2017-07-24,300.0,300.0,288.0,292.35,4438
2017-07-25,293.4,299.0,285.0,288.7,3488
2017-07-26,286.4,293.0,284.0,291.85,3479
2017-07-27,294.05,299.55,286.1,289.3,2926
2017-07-28,288.75,289.95,284.0,287.35,2236
2017-07-31,286.0,294.0,283.05,288.2,1185
2017-08-01,294.0,294.0,282.25,284.1,1343
2017-08-02,295.5,296.0,280.1,280.6,2975
2017-08-03,285.0,285.9,281.4,283.75,2754
2017-08-04,290.0,290.0,281.4,284.25,1849
2017-08-07,290.0,290.0,273.0,280.7,4554
2017-08-08,280.75,280.75,275.0,275.25,1701
2017-08-09,267.25,273.65,266.3,268.1,3395
2017-08-10,270.05,270.05,251.35,254.85,5286
2017-08-11,255.85,255.85,246.4,254.0,3854
2017-08-14,254.05,264.35,253.05,257.7,3862
2017-08-16,259.0,268.0,252.0,265.05,4640
2017-08-17,269.9,269.9,260.0,263.85,1444
2017-08-18,265.0,265.0,257.75,262.05,2377
2017-08-21,260.05,262.25,256.0,256.7,2803
2017-08-22,256.25,264.0,250.0,251.15,3233
2017-08-23,251.05,255.7,245.05,247.95,2459
2017-08-24,252.95,253.95,241.7,253.45,4233
2017-08-28,253.45,256.4,246.45,249.15,3770
2017-08-29,250.05,255.9,250.0,252.25,4251
2017-08-30,252.65,262.5,252.1,260.4,1548
2017-08-31,255.5,267.0,255.5,259.95,1781
2017-09-01,262.25,266.0,262.1,265.75,2086
2017-09-04,257.0,264.4,256.05,260.7,3222
2017-09-05,267.0,286.0,258.0,280.25,24553
2017-09-06,282.0,288.2,280.0,281.55,11144
2017-09-07,287.9,292.0,268.2,271.3,11931
2017-09-08,270.0,277.0,262.05,264.0,5500
2017-09-11,274.0,274.55,264.0,265.9,3702
2017-09-12,266.5,271.95,262.0,266.75,3438
2017-09-13,265.45,268.85,263.2,265.0,4548
2017-09-14,264.55,268.95,262.5,264.05,1905
2017-09-15,263.05,266.95,261.05,262.55,4829
2017-09-18,262.55,270.0,262.5,263.05,1331
2017-09-19,266.0,266.4,262.5,263.35,2571
2017-09-20,268.0,268.5,263.0,267.15,3218
2017-09-21,268.0,282.0,265.0,274.65,3694
2017-09-22,276.0,298.0,264.1,268.2,39739
2017-09-25,274.0,274.0,260.0,262.95,8648
2017-09-26,267.95,268.7,254.5,259.8,10648
2017-09-27,260.35,264.95,258.05,259.15,3190
2017-09-28,258.5,264.9,258.5,261.7,2379
2017-09-29,270.0,270.0,260.0,263.35,4358
2017-10-03,263.05,269.95,261.1,264.0,2086
2017-10-04,262.55,268.0,262.55,264.55,1546
2017-10-05,269.85,275.0,267.0,272.3,8539
2017-10-06,271.0,273.9,264.5,268.2,7098
2017-10-09,268.0,271.5,262.0,268.4,3584
2017-10-10,273.5,293.4,271.05,290.85,16316
2017-10-11,299.6,299.9,290.0,293.05,15750
2017-10-12,294.0,297.75,287.0,291.75,6028
