Date,O,H,L,C,V
2022-05-12,267.6,267.6,267.6,267.6,6765
2022-05-13,280.95,280.95,280.95,280.95,1450
2022-05-16,294.95,294.95,266.95,292.6,41542
2022-05-17,306.85,307.0,300.0,306.95,9558
2022-05-18,314.95,316.0,292.25,295.5,10327
2022-05-19,286.0,292.85,281.0,285.3,4858
2022-05-20,281.05,299.55,281.05,298.95,2685
2022-05-23,298.95,307.0,285.35,294.4,4611
2022-05-24,299.55,302.0,292.55,297.6,13027
2022-05-25,282.75,296.0,282.75,288.5,4309
2022-05-26,280.8,287.5,274.1,286.0,5100
2022-05-27,283.6,285.0,280.5,283.35,702
2022-05-30,283.35,286.0,280.2,283.9,12680
2022-05-31,285.95,285.95,281.65,282.0,391
2022-06-01,287.0,289.95,282.0,282.95,7867
2022-06-02,282.95,286.0,269.95,283.25,9737
2022-06-03,286.15,292.25,275.25,278.5,4114
2022-06-06,278.5,292.4,275.15,290.55,11265
2022-06-07,290.0,298.8,285.15,292.75,6656
2022-06-08,305.0,305.0,292.8,294.1,774
2022-06-09,292.05,298.05,282.05,287.05,979
2022-06-10,284.4,291.35,281.95,285.1,8655
2022-06-13,281.3,289.7,273.0,283.45,3244
2022-06-14,292.95,292.95,277.55,278.3,633
2022-06-15,276.0,282.7,275.05,281.05,993
2022-06-16,280.0,286.65,271.1,281.0,396
2022-06-17,260.0,288.95,260.0,277.4,1512
2022-06-20,259.95,279.1,259.95,272.1,819
2022-06-21,287.0,287.0,264.95,270.5,11613
2022-06-22,285.7,285.7,245.55,272.35,7495
2022-06-23,276.35,277.2,267.95,270.0,277
2022-06-24,275.2,279.4,270.0,270.95,471
2022-06-27,269.05,277.2,259.4,270.3,908
2022-06-28,260.8,279.8,255.9,276.4,1802
2022-06-29,285.4,285.4,267.0,274.65,1427
2022-06-30,280.15,284.0,270.0,275.2,1510
2022-07-01,287.05,293.6,271.0,293.45,1617
2022-07-04,299.35,322.75,295.0,316.5,6035
2022-07-05,325.0,345.95,323.1,339.0,14576
2022-07-06,328.1,358.8,312.6,344.8,9599
2022-07-07,353.7,357.65,337.0,354.0,6739
2022-07-08,363.95,363.95,338.9,342.0,4347
2022-07-11,359.05,359.05,327.55,342.25,15908
2022-07-12,338.2,348.8,338.2,341.45,1939
2022-07-13,342.6,349.5,339.0,339.65,2091
2022-07-14,332.1,344.2,332.1,339.3,8878
2022-07-15,340.4,344.3,336.0,341.55,4410
2022-07-18,341.3,350.05,335.5,343.9,10439
2022-07-19,337.8,342.25,337.4,340.25,4101
2022-07-20,336.05,351.65,336.05,343.1,3294
2022-07-21,338.35,341.15,335.0,335.5,2234
2022-07-22,350.0,350.0,333.25,337.2,2451
2022-07-25,339.95,344.3,336.0,337.4,3465
2022-07-26,332.9,335.85,330.0,333.05,1440
2022-07-27,326.0,340.0,326.0,338.55,1643
2022-07-28,340.95,345.85,334.85,341.0,1688
2022-07-29,340.9,341.85,328.25,334.6,3962
2022-08-01,344.9,344.9,321.2,335.45,1502
2022-08-02,331.8,336.0,325.2,329.4,2592
2022-08-03,327.45,330.0,322.0,324.05,1421
2022-08-04,322.95,326.05,312.45,316.4,2097
2022-08-05,318.75,328.85,317.5,326.6,1220
2022-08-08,331.05,335.0,327.9,332.05,1480
2022-08-10,322.05,341.95,320.05,339.35,469
2022-08-11,330.05,348.95,330.05,346.65,3790
2022-08-12,340.05,350.0,335.1,345.75,1160
2022-08-16,357.0,357.95,347.65,353.15,1945
2022-08-17,355.3,364.75,342.0,358.65,2312
2022-08-18,345.0,363.4,341.1,359.9,1125
2022-08-19,343.3,362.95,343.3,357.65,10747
2022-08-22,359.65,362.05,343.0,350.25,13793
2022-08-23,353.05,360.05,348.95,357.65,14073
2022-08-24,375.0,375.5,353.0,356.0,10732
2022-08-25,353.7,370.0,353.7,365.45,20345
2022-08-26,370.0,375.0,356.55,374.8,15679
2022-08-29,373.65,373.65,357.25,370.55,10352
2022-08-30,368.5,389.05,362.0,389.05,10967
2022-09-01,405.0,405.0,380.05,380.9,8892
2022-09-02,392.35,392.35,365.0,368.0,3505
2022-09-05,370.9,383.9,365.0,375.85,9635
2022-09-06,388.15,394.0,375.0,383.95,9716
2022-09-07,391.75,399.9,380.0,395.3,9580
2022-09-08,407.9,412.9,393.2,400.35,10941
2022-09-09,402.05,410.5,390.95,404.0,12536
2022-09-12,404.95,408.05,397.35,404.5,13999
2022-09-13,405.0,405.0,395.0,404.0,1070
2022-09-14,415.0,415.0,393.0,393.0,1556
2022-09-15,393.0,399.0,391.0,391.5,1366
2022-09-16,390.0,395.0,380.0,380.05,1798
2022-09-19,391.45,391.45,367.05,368.05,80
2022-09-20,375.45,379.9,370.0,371.9,1241
2022-09-21,375.0,375.0,366.05,371.0,488
2022-09-22,371.0,374.9,370.0,374.15,1589
2022-09-23,372.0,372.0,355.5,364.95,1632
