Date,O,H,L,C,V
2021-11-02,864.0,939.9,850.0,907.45,71496
2021-11-03,920.2,960.0,907.4,929.75,38901
2021-11-04,950.0,989.0,945.0,976.65,32766
2021-11-08,1000.0,1168.8,991.95,1093.3,199823
2021-11-09,1125.0,1274.95,1125.0,1242.6,186552
2021-11-10,1245.0,1299.0,1118.35,1122.25,142585
2021-11-11,1111.0,1190.0,1064.35,1078.2,72407
2021-11-12,1100.0,1109.95,1036.05,1063.85,52834
2021-11-15,1127.0,1127.0,992.0,1013.3,88377
2021-11-16,1039.85,1075.0,1000.0,1050.4,32515
2021-11-17,1074.0,1074.0,1021.6,1031.95,14707
2021-11-18,1048.95,1050.0,975.0,1004.3,35659
2021-11-22,1030.0,1030.0,931.0,946.4,31870
2021-11-23,948.0,994.4,920.05,984.9,26651
2021-11-24,1009.0,1052.0,990.0,1028.05,22464
2021-11-25,1034.95,1130.85,1026.9,1130.85,44204
2021-11-26,1227.45,1227.45,1051.2,1104.3,81510
2021-11-29,1053.2,1110.4,1001.0,1009.2,46468
2021-11-30,1019.95,1064.0,973.0,993.75,27369
2021-12-01,1000.0,1039.0,965.0,999.7,17776
2021-12-02,1002.0,1060.5,1001.15,1048.95,34664
2021-12-03,1046.0,1070.0,1020.05,1030.85,17876
2021-12-06,1023.0,1070.05,995.0,1012.75,16589
2021-12-07,1049.0,1099.0,1016.1,1026.35,25240
2021-12-08,1040.0,1070.6,1020.55,1060.15,15215
2021-12-09,1073.9,1100.05,1031.05,1086.55,26750
2021-12-10,1090.0,1099.0,1061.0,1076.65,11677
2021-12-13,1099.95,1099.95,1055.5,1057.8,8549
2021-12-14,1055.5,1063.2,1039.05,1051.95,5768
2021-12-15,1076.0,1076.0,1044.75,1051.75,6082
2021-12-16,1045.0,1064.3,1016.35,1033.8,7854
2021-12-17,1040.2,1040.9,1000.0,1009.7,8201
2021-12-20,1039.95,1039.95,811.2,955.15,24492
2021-12-21,969.0,980.0,961.0,970.25,4081
2021-12-22,979.0,1004.0,970.05,995.15,7600
2021-12-23,1029.9,1029.9,980.0,988.0,6571
2021-12-24,988.0,1023.15,963.0,979.75,5413
2021-12-27,1015.0,1015.0,966.55,981.3,4855
2021-12-28,1009.0,1009.0,981.0,996.3,9158
2021-12-29,996.3,1060.0,996.3,1012.05,23038
2021-12-30,1030.0,1035.0,1010.9,1030.5,6607
2021-12-31,1030.65,1050.0,1010.3,1043.95,14615
2022-01-03,1054.0,1070.0,1040.05,1050.25,13211
2022-01-04,1065.0,1065.0,1037.8,1059.0,9492
2022-01-05,1070.0,1070.0,1045.05,1052.4,5479
2022-01-06,1055.0,1074.85,1022.05,1062.55,13590
2022-01-07,1079.0,1148.85,1071.5,1131.6,33716
2022-01-10,1160.0,1215.0,1160.0,1172.65,46450
2022-01-11,1185.55,1185.55,1150.0,1153.05,12684
2022-01-12,1185.25,1190.0,1152.65,1168.7,13770
2022-01-13,1155.0,1189.95,1142.0,1158.2,10313
2022-01-14,1158.0,1195.0,1158.0,1177.45,22290
2022-01-17,1193.85,1193.85,1170.0,1178.6,11894
2022-01-18,1171.0,1202.95,1110.0,1132.15,17775
2022-01-19,1147.05,1164.45,1071.0,1084.1,48046
2022-01-20,1075.0,1210.0,1075.0,1190.6,58631
2022-01-21,1210.0,1210.0,1100.0,1115.2,27147
2022-01-24,1117.0,1117.0,1003.25,1034.65,23632
2022-01-25,1046.05,1103.8,1011.4,1075.85,23750
2022-01-27,1090.0,1130.0,1021.25,1100.65,15547
2022-01-28,1115.0,1141.8,1055.25,1074.65,6764
2022-01-31,1096.15,1120.05,1056.95,1078.55,10877
2022-02-01,1100.0,1108.55,1065.2,1080.9,5262
2022-02-02,1107.0,1125.0,1094.05,1119.4,15543
2022-02-03,1145.0,1145.0,1110.0,1127.5,8815
2022-02-04,1110.0,1143.85,1080.0,1090.55,17885
2022-02-07,1133.9,1133.9,1049.45,1073.2,8382
2022-02-08,1118.0,1118.0,1040.05,1057.1,7395
2022-02-09,1061.2,1099.35,1037.05,1050.0,3255
2022-02-10,1030.0,1066.0,1030.0,1047.95,4546
2022-02-11,1036.0,1122.3,1029.0,1066.0,7637
2022-02-14,901.0,975.0,899.95,920.15,88840
2022-02-15,920.15,987.5,820.55,848.8,67195
2022-02-16,864.95,880.95,798.6,845.35,53289
2022-02-17,860.05,929.65,859.0,879.9,47444
2022-02-18,875.0,898.9,860.3,876.25,9908
2022-02-21,885.0,899.95,860.1,865.1,14673
2022-02-22,851.0,857.45,817.0,830.55,22132
2022-02-23,849.95,875.0,836.05,866.85,10684
2022-02-24,889.0,889.0,781.15,800.85,30554
2022-02-25,808.0,879.0,808.0,870.95,14064
2022-02-28,880.0,896.35,850.0,874.15,10867
2022-03-02,870.0,877.4,851.8,868.2,8446
2022-03-03,880.0,899.45,855.4,872.3,9644
2022-03-04,860.0,873.55,841.0,847.5,10833
2022-03-07,860.0,860.0,781.6,802.55,21502
2022-03-08,810.0,821.45,795.0,805.7,6984
2022-03-09,828.0,845.0,817.0,837.15,8732
2022-03-10,869.0,869.0,844.05,856.9,9161
2022-03-11,865.0,865.0,839.9,852.55,5592
2022-03-14,855.0,869.0,848.45,861.1,8237
2022-03-15,864.95,879.0,852.1,866.8,8299
2022-03-16,869.0,878.4,858.05,866.8,6100
2022-03-17,880.0,893.0,847.3,872.3,11546
2022-03-21,890.0,890.0,864.05,869.85,8485
2022-03-22,870.0,999.0,862.6,961.75,56414
2022-03-23,961.75,967.55,932.2,940.5,26197
2022-03-24,921.0,964.7,891.55,909.6,15707
2022-03-25,909.05,926.5,904.05,918.75,10719
2022-03-28,915.0,942.4,891.05,904.2,27928
2022-03-29,902.0,936.65,895.7,909.6,24297
2022-03-30,922.0,934.95,886.95,900.55,17887
2022-03-31,920.0,920.0,895.3,899.25,7889
2022-04-01,920.0,948.0,900.55,928.95,18299
2022-04-04,944.0,958.0,926.55,930.75,21351
2022-04-05,939.95,952.95,933.3,945.15,14944
2022-04-06,947.0,982.0,941.0,969.0,13839
2022-04-07,975.0,977.0,941.0,947.05,10897
2022-04-08,960.0,964.65,937.85,949.05,14549
2022-04-11,959.85,970.05,940.0,958.1,26483
2022-04-12,956.0,979.9,920.0,928.25,36952
2022-04-13,938.5,956.5,914.95,929.4,22644
2022-04-18,928.95,928.95,900.0,912.9,16444
2022-04-19,930.0,931.2,870.25,885.9,25527
2022-04-20,904.65,914.5,885.15,895.2,29410
2022-04-21,909.95,918.5,897.0,908.15,12921
2022-04-22,906.0,908.15,885.65,889.75,7682
2022-04-25,887.0,895.45,872.5,874.75,6904
2022-04-26,875.1,894.3,862.1,868.3,13933
2022-04-27,885.0,885.0,850.0,851.95,10020
2022-04-28,868.45,877.3,855.1,873.2,3950
2022-04-29,890.0,890.0,852.45,855.45,5367
2022-05-02,860.0,874.9,803.9,863.0,20711
2022-05-04,862.05,862.05,810.0,826.7,8735
2022-05-05,830.0,850.1,805.1,808.0,11278
2022-05-06,808.9,818.0,787.0,799.9,7123
2022-05-09,800.0,809.2,775.05,792.9,6155
2022-05-10,789.25,800.25,753.1,761.25,5179
2022-05-12,717.0,792.0,700.0,763.05,15189
2022-05-13,770.0,775.0,746.4,764.7,10168
2022-05-16,765.0,809.75,720.0,724.3,18273
2022-05-17,732.05,745.0,711.0,722.05,22354
2022-05-18,724.0,751.45,702.2,710.8,29129
2022-05-19,703.85,718.0,680.0,687.65,16595
2022-05-20,701.0,712.95,685.25,701.9,17391
2022-05-23,709.0,721.0,680.5,687.7,19885
2022-05-24,685.0,696.65,634.1,646.7,37066
2022-05-25,645.0,657.65,629.05,651.45,11996
2022-05-26,651.45,678.0,620.0,647.25,12750
2022-05-27,660.15,712.0,641.3,689.3,12407
2022-05-30,680.0,689.0,593.95,602.55,67007
2022-05-31,614.8,625.8,585.7,592.5,33386
2022-06-01,592.5,637.45,586.05,629.5,41207
2022-06-02,629.0,643.95,614.9,619.1,14456
2022-06-03,620.05,635.0,605.0,607.8,14799
2022-06-06,600.0,605.9,591.7,601.75,8105
2022-06-07,608.9,657.4,600.0,629.3,17022
2022-06-08,629.3,708.0,610.0,651.6,49209
2022-06-09,639.0,678.45,627.05,645.65,43833
2022-06-10,632.8,689.0,627.1,654.75,76568
2022-06-13,634.9,675.0,628.25,645.15,34569
2022-06-14,638.0,667.95,592.3,599.75,82058
2022-06-15,595.0,602.35,586.45,590.5,16472
2022-06-16,594.9,604.3,570.05,579.8,12167
2022-06-17,581.45,583.8,565.05,575.35,9674
2022-06-20,577.05,577.05,530.5,538.6,9872
2022-06-21,544.45,570.2,537.5,543.95,10637
2022-06-22,542.05,542.05,529.85,534.95,6633
2022-06-23,536.2,558.0,532.3,548.25,5999
2022-06-24,550.25,571.65,550.0,564.45,7567
2022-06-27,573.0,575.0,555.0,557.75,6974
2022-06-28,557.0,560.65,551.0,555.5,4714
2022-06-29,561.0,570.0,551.8,560.3,3112
2022-06-30,571.45,573.6,559.1,562.7,4192
2022-07-01,569.8,569.8,550.0,555.6,2511
2022-07-04,550.0,565.15,549.95,553.6,5295
2022-07-05,552.1,647.0,552.1,610.35,87353
2022-07-06,616.5,634.95,611.05,622.45,21849
2022-07-07,622.45,660.0,620.1,625.35,19538
2022-07-08,633.0,649.0,604.85,612.0,23233
2022-07-11,605.2,613.3,590.6,598.6,11876
2022-07-12,598.0,610.0,595.5,600.75,4081
2022-07-13,600.75,610.0,581.2,586.5,9651
2022-07-14,589.5,590.0,572.65,579.9,8799
2022-07-15,584.9,586.8,569.0,576.85,3730
2022-07-18,587.8,605.0,571.5,603.35,6662
2022-07-19,592.8,622.95,592.8,617.75,5958
2022-07-20,620.0,629.95,602.6,611.75,9763
2022-07-21,606.3,629.0,606.3,614.0,7990
2022-07-22,618.65,624.1,605.0,608.1,7594
2022-07-25,617.5,617.5,600.1,609.2,6555
2022-07-26,610.05,611.05,586.95,593.15,4530
2022-07-27,582.2,620.0,582.15,606.65,6970
2022-07-28,611.9,611.9,599.0,605.7,4855
2022-07-29,610.95,613.3,600.0,601.4,4615
2022-08-01,610.3,615.0,603.25,607.3,4645
2022-08-02,608.1,653.0,605.0,643.55,17045
2022-08-03,643.6,656.0,635.0,638.8,9846
2022-08-04,651.55,651.55,610.2,622.8,6382
2022-08-05,628.65,646.0,624.7,641.55,9950
2022-08-08,641.55,655.0,631.5,636.1,4969
2022-08-10,625.5,654.0,625.5,639.05,10138
2022-08-11,640.0,649.55,634.1,636.7,4165
