Date,O,H,L,C,V
2020-12-18,21.0,22.05,20.05,22.05,1382377
2020-12-21,23.15,23.15,20.95,22.55,1051432
2020-12-22,21.45,23.0,21.45,22.2,309977
2020-12-23,22.6,22.7,21.1,21.1,475518
2020-12-24,21.0,21.95,20.05,20.05,310078
2020-12-28,19.5,21.05,19.05,20.8,786619
2020-12-29,21.5,21.8,21.05,21.55,646536
2020-12-30,21.15,22.0,20.65,21.6,221310
2020-12-31,22.15,22.65,21.75,22.65,411092
2021-01-01,23.75,23.75,23.75,23.75,138373
2021-01-04,24.75,27.9,22.05,24.55,1006290
2021-01-05,24.05,25.9,22.95,24.75,441530
2021-01-06,24.75,25.8,23.5,24.05,331567
2021-01-07,23.7,26.75,22.7,24.3,1223560
2021-01-08,24.5,25.0,24.0,24.05,269593
2021-01-11,23.9,25.4,23.5,24.2,668081
2021-01-12,24.25,27.25,24.05,25.95,921865
2021-01-13,26.55,27.25,24.5,25.05,702893
2021-01-14,25.0,27.5,24.5,26.65,704592
2021-01-15,26.65,27.5,25.75,26.6,499591
2021-01-18,27.8,28.7,26.05,26.85,592549
2021-01-19,26.95,27.85,24.85,26.5,1166959
2021-01-20,26.5,27.25,26.15,27.0,696359
2021-01-21,26.9,27.3,25.5,25.65,718634
2021-01-22,25.65,25.9,24.5,25.0,506000
2021-01-25,25.75,25.8,23.75,24.1,563012
2021-01-27,24.15,25.4,23.1,23.75,346699
2021-01-28,23.95,23.95,20.7,22.75,1301371
2021-01-29,23.1,23.95,22.1,22.8,687349
2021-02-01,23.0,23.0,21.3,22.45,577651
2021-02-02,22.2,22.75,21.25,21.9,529390
2021-02-03,22.0,22.0,21.05,21.25,453896
2021-02-04,21.5,21.95,21.3,21.7,491620
2021-02-05,21.85,23.0,21.7,22.85,909016
2021-02-08,23.65,27.0,23.3,25.8,2722000
2021-02-09,26.1,27.5,25.45,25.8,1345767
2021-02-10,26.1,26.5,25.05,25.6,424032
2021-02-11,25.2,26.35,25.1,25.85,410967
2021-02-12,26.1,29.9,25.9,29.3,2075053
2021-02-15,29.85,34.95,29.3,32.15,3348965
2021-02-16,32.9,34.3,29.9,30.15,916911
2021-02-17,30.55,31.5,29.1,30.15,504180
2021-02-18,30.8,32.0,30.0,31.6,499524
2021-02-19,32.25,34.4,31.4,33.05,1757536
2021-02-22,34.0,35.8,33.75,34.25,1623091
2021-02-23,36.45,36.45,33.95,34.5,1092410
2021-02-24,35.25,35.25,33.2,33.65,545242
2021-02-25,34.0,34.4,33.25,33.85,656120
2021-02-26,33.5,33.75,31.05,33.3,643967
2021-03-01,33.5,34.9,33.4,33.85,735619
2021-03-02,34.1,34.4,31.5,32.7,800295
2021-03-03,32.95,34.0,31.6,32.95,1019681
2021-03-04,32.8,34.0,32.45,32.8,495563
2021-03-05,33.7,33.7,31.65,32.65,842689
2021-03-08,33.45,36.7,32.85,35.35,1728601
2021-03-09,36.0,37.5,34.9,35.65,1035093
2021-03-10,36.45,36.5,34.2,34.9,297840
2021-03-12,35.1,35.85,33.3,33.65,273132
2021-03-15,33.15,33.8,31.9,32.2,309359
2021-03-16,32.95,33.75,32.2,32.3,246751
2021-03-17,32.75,32.85,30.0,30.2,294767
2021-03-18,30.95,31.4,28.0,28.35,452568
2021-03-19,28.25,28.25,26.35,27.65,713562
2021-03-22,28.0,29.0,28.0,28.7,345148
2021-03-23,28.55,33.5,28.55,32.0,1436017
2021-03-24,32.0,33.15,30.6,30.85,690103
2021-03-25,31.1,31.25,29.3,30.2,556234
2021-03-26,31.0,31.5,28.05,29.3,428651
2021-03-30,30.3,30.75,28.4,28.95,292448
2021-03-31,29.8,29.8,28.75,29.05,167929
2021-04-01,29.15,31.5,29.15,30.45,432993
2021-04-05,30.2,30.8,28.9,29.4,285432
2021-04-06,29.1,30.45,29.1,29.25,183499
2021-04-07,29.65,29.95,28.9,29.15,299461
2021-04-08,29.45,30.9,29.3,29.6,417533
2021-04-09,29.55,30.9,29.55,29.9,371544
2021-04-12,29.2,29.3,26.8,27.05,604498
2021-04-13,27.85,28.2,26.85,27.55,283807
2021-04-15,27.05,27.55,26.25,26.9,319503
2021-04-16,27.5,28.15,26.9,28.0,329016
2021-04-19,27.0,30.0,25.2,29.1,1213840
2021-04-20,30.0,30.9,27.3,29.75,728459
2021-04-22,29.25,30.6,29.0,29.1,244989
2021-04-23,29.0,30.0,28.4,28.55,203317
2021-04-26,28.15,29.25,28.1,28.35,147895
2021-04-27,28.15,29.0,28.15,28.75,149330
2021-04-28,29.25,29.25,28.4,28.45,188995
2021-04-29,28.9,28.95,26.9,27.45,308253
2021-04-30,27.65,28.25,27.3,27.95,108713
2021-05-03,28.2,28.2,25.5,27.25,301584
2021-05-04,27.8,29.0,27.2,27.9,303996
2021-05-05,28.25,28.75,27.35,27.75,189345
2021-05-06,27.9,28.5,26.85,27.1,313895
2021-05-07,27.1,27.85,26.8,26.9,237055
2021-05-10,27.25,27.5,26.75,26.85,278091
2021-05-11,26.9,27.85,26.8,27.4,285864
2021-05-12,27.5,28.5,27.25,27.5,489846
2021-05-14,27.55,27.65,26.2,26.5,299283
2021-05-17,26.25,27.6,26.25,26.95,271776
2021-05-18,27.4,27.45,26.25,26.6,207797
2021-05-19,26.65,28.8,26.6,27.65,637081
2021-05-20,28.2,30.2,27.5,29.0,1052896
2021-05-21,29.45,31.3,28.6,28.75,1421935
2021-05-24,28.5,29.9,28.4,29.6,456013
2021-05-25,30.0,30.6,29.0,29.2,615293
2021-05-26,29.85,29.85,28.35,28.65,525021
2021-05-27,28.65,30.55,28.5,30.0,587885
2021-05-28,30.4,30.7,28.4,28.75,432241
2021-05-31,29.0,29.55,28.75,28.85,356054
2021-06-01,29.0,29.8,27.65,28.2,394590
2021-06-02,28.75,28.75,27.7,28.3,460761
2021-06-03,28.5,29.7,28.3,29.05,559218
2021-06-04,29.35,29.8,28.8,28.95,510308
2021-06-07,29.5,29.6,28.5,29.2,554681
2021-06-08,29.45,32.25,29.35,31.7,2475779
2021-06-09,32.5,32.7,29.7,30.35,1308531
2021-06-10,30.75,31.5,30.25,30.95,554136
2021-06-11,31.75,31.95,30.35,30.55,506489
2021-06-14,31.25,31.25,29.4,30.4,376284
2021-06-15,30.8,30.8,29.8,30.3,350451
2021-06-16,30.3,30.6,29.25,29.4,326012
2021-06-17,29.45,30.55,29.4,29.85,328984
2021-06-18,30.45,30.45,28.6,29.1,344573
2021-06-21,28.6,29.9,28.6,29.65,218535
2021-06-22,30.0,30.8,29.6,30.05,482754
2021-06-23,30.75,30.75,29.55,29.8,311777
2021-06-24,29.95,32.5,29.75,30.6,1481113
2021-06-25,31.55,31.65,30.6,30.8,318111
2021-06-28,30.9,32.75,30.4,32.2,1012046
2021-06-29,32.5,38.15,31.0,36.3,8451072
2021-06-30,38.0,38.95,35.45,36.3,5457185
2021-07-01,35.3,36.35,34.05,34.95,2465008
2021-07-02,35.4,36.25,34.2,34.55,1083229
2021-07-05,34.1,38.9,34.1,38.2,4319119
2021-07-06,38.65,41.8,38.1,38.8,5974760
2021-07-07,39.05,40.7,38.25,38.55,1747822
2021-07-08,38.85,39.9,37.75,38.25,1211919
2021-07-09,38.45,45.5,38.1,43.45,15275103
2021-07-12,44.0,46.95,43.55,45.1,7249375
2021-07-13,45.55,47.8,45.55,46.3,4409522
2021-07-14,46.2,47.35,45.1,45.3,2370676
2021-07-15,45.3,50.7,43.3,49.35,10454139
2021-07-16,49.65,50.6,46.05,46.9,4974896
2021-07-19,46.25,47.5,45.2,45.65,1561767
2021-07-20,44.45,45.6,43.4,44.45,717316
2021-07-22,45.0,46.3,44.0,44.95,417562
2021-07-23,45.8,47.1,43.0,45.55,502274
2021-07-26,45.8,46.0,44.0,44.15,251803
2021-07-27,44.15,44.9,41.95,42.9,381520
2021-07-28,42.85,43.7,41.05,42.4,329390
2021-07-29,43.0,43.2,41.35,41.5,419798
2021-07-30,40.55,42.25,40.55,41.25,236090
2021-08-02,42.1,42.55,41.2,42.15,291152
2021-08-03,42.45,42.45,40.3,40.85,442982
