Date,Open,High,Low,Close,Volume
2019-04-22,99.0,103.95,94.05,103.95,1066838.0
2019-04-23,109.1,109.1,105.55,109.1,746528.0
2019-04-24,107.0,114.55,107.0,114.55,233998.0
2019-04-25,116.0,118.3,110.0,111.15,941577.0
2019-04-26,106.1,111.0,106.1,108.65,1886188.0
2019-04-30,106.2,108.5,103.25,103.25,273582.0
2019-05-02,103.0,103.0,98.1,100.2,1542833.0
2019-05-03,102.5,102.5,96.25,100.65,718227.0
2019-05-06,96.8,102.8,96.8,98.3,474708.0
2019-05-07,98.3,99.7,94.0,96.95,468706.0
2019-05-08,94.1,97.2,91.1,96.0,897791.0
2019-05-09,95.0,99.85,93.55,97.05,711118.0
2019-05-10,96.15,100.55,96.0,99.7,215851.0
2019-05-13,97.15,99.4,97.0,97.7,115680.0
2019-05-14,95.15,98.5,91.8,97.9,545794.0
2019-05-15,96.5,99.45,96.0,97.85,191792.0
2019-05-16,97.4,98.7,96.05,97.3,704340.0
2019-05-17,96.5,105.0,95.7,97.65,424897.0
2019-05-20,98.2,100.7,97.2,98.7,150333.0
2019-05-21,98.0,99.95,97.5,98.55,567578.0
2019-05-22,98.05,103.0,97.55,101.15,176780.0
2019-05-23,102.9,103.3,99.55,99.95,69621.0
2019-05-24,101.0,101.0,92.3,97.6,803107.0
2019-05-27,98.0,100.0,94.4,99.35,99551.0
2019-05-28,103.0,103.0,93.8,96.95,623443.0
2019-05-29,97.75,97.75,94.0,95.95,265737.0
2019-05-30,95.5,97.95,95.1,97.2,264681.0
2019-05-31,96.35,99.0,94.1,97.05,339424.0
2019-06-03,95.1,97.5,94.05,96.25,481984.0
2019-06-04,96.0,96.0,94.7,95.05,201750.0
2019-06-06,94.5,96.0,91.85,95.45,217297.0
2019-06-07,94.05,95.25,92.7,95.0,231074.0
2019-06-10,94.2,95.1,93.1,94.25,243762.0
2019-06-11,93.5,99.0,92.7,98.3,1273790.0
2019-06-12,99.75,99.75,96.4,98.05,3216731.0
2019-06-13,97.15,100.5,96.6,99.15,217923.0
2019-06-14,100.25,100.25,96.5,96.85,242232.0
2019-06-17,95.75,98.25,95.7,97.05,173839.0
2019-06-18,97.15,99.0,96.15,97.9,249303.0
2019-06-19,97.05,98.9,92.05,93.95,410885.0
2019-06-20,94.05,99.5,93.05,98.2,116647.0
2019-06-21,97.0,98.9,94.55,96.45,221737.0
2019-06-24,96.0,99.7,94.7,98.6,297292.0
2019-06-25,96.7,99.9,96.7,99.2,199458.0
2019-06-26,97.15,99.25,95.5,96.6,262917.0
2019-06-27,95.85,97.05,94.1,95.75,155954.0
2019-06-28,94.2,98.0,94.2,96.75,260974.0
2019-07-01,95.0,98.9,95.0,97.95,599158.0
2019-07-02,96.5,99.7,96.5,98.8,857280.0
2019-07-03,98.1,99.6,97.3,98.05,615545.0
2019-07-04,98.0,99.4,95.8,98.8,120786.0
2019-07-05,97.3,99.0,97.05,98.2,109202.0
2019-07-08,97.05,98.2,96.05,97.05,288364.0
2019-07-09,96.8,98.25,95.25,96.4,234001.0
2019-07-10,95.6,96.2,88.2,92.7,822987.0
2019-07-11,92.1,92.7,87.5,88.2,123829.0
2019-07-12,88.2,91.95,86.25,89.0,1069894.0
2019-07-15,86.7,89.65,86.7,88.9,437879.0
2019-07-16,88.05,90.4,86.9,89.05,879114.0
2019-07-17,88.15,88.95,85.2,88.05,792167.0
2019-07-18,87.05,88.15,85.0,86.2,114457.0
2019-07-19,86.2,87.5,82.5,83.65,992961.0
2019-07-22,83.85,84.05,79.05,80.85,1800980.0
2019-07-23,80.05,86.35,80.0,85.0,668690.0
2019-07-24,83.25,87.9,83.25,85.05,317393.0
2019-07-25,85.0,85.4,80.0,81.55,604317.0
2019-07-26,81.55,82.0,78.45,80.25,661115.0
2019-07-29,81.95,83.8,80.3,82.3,892359.0
2019-07-30,82.3,84.7,82.15,83.25,1448935.0
2019-07-31,81.7,84.25,69.8,79.45,1073337.0
2019-08-01,80.45,82.5,76.1,79.7,623114.0
2019-08-02,81.4,82.9,77.8,80.65,333065.0
2019-08-05,79.05,84.8,77.0,82.55,344865.0
2019-08-06,80.15,83.95,80.0,83.05,111098.0
2019-08-07,83.9,83.9,81.75,83.2,156108.0
2019-08-08,82.5,84.5,80.55,82.7,286702.0
2019-08-09,84.4,84.9,80.4,83.1,437550.0
2019-08-13,83.1,84.0,81.5,83.35,88507.0
2019-08-14,82.2,86.3,81.6,84.3,197734.0
2019-08-16,85.0,91.0,82.0,85.25,881242.0
2019-08-19,88.0,89.9,86.0,88.6,63210.0
2019-08-20,87.0,89.9,86.3,89.1,46707.0
2019-08-21,88.0,93.5,85.5,90.8,190108.0
2019-08-22,92.15,94.9,87.05,91.85,93258.0
2019-08-23,91.85,92.05,87.95,91.0,67077.0
2019-08-26,90.0,91.85,90.0,91.1,141914.0
2019-08-27,90.7,99.0,90.0,95.05,173715.0
2019-08-28,95.4,98.4,92.0,93.8,251911.0
2019-08-29,93.5,98.2,92.5,96.1,89660.0
2019-08-30,95.05,99.8,94.5,97.15,391507.0
2019-09-03,98.0,99.0,96.1,98.05,110229.0
2019-09-04,97.75,101.6,95.1,96.8,341835.0
2019-09-05,96.75,101.95,96.1,100.8,187801.0
2019-09-06,100.8,105.0,99.0,102.25,150869.0
2019-09-09,104.25,104.85,101.0,102.4,116311.0
2019-09-11,102.4,103.45,98.2,99.25,139717.0
2019-09-12,98.1,99.95,96.0,97.45,214970.0
2019-09-13,98.15,100.8,97.0,97.7,82271.0
2019-09-16,99.05,100.0,96.8,98.65,192271.0
2019-09-17,100.65,100.65,95.25,96.1,402815.0
2019-09-18,96.0,97.25,93.1,95.25,459990.0
2019-09-19,94.15,95.6,92.6,94.95,449283.0
2019-09-20,94.85,96.3,87.15,91.7,693308.0
2019-09-23,92.0,96.0,91.1,95.15,74186.0
2019-09-24,91.5,97.2,91.5,94.8,306180.0
2019-09-25,94.6,95.5,93.25,94.65,264686.0
2019-09-26,95.0,101.9,92.8,95.35,164700.0
2019-09-27,94.4,97.5,94.4,95.65,368311.0
2019-09-30,95.1,97.0,94.6,95.3,87841.0
2019-10-01,96.35,96.35,92.45,94.85,3242649.0
2019-10-03,94.7,97.7,93.15,96.6,227018.0
2019-10-04,98.9,98.9,88.3,93.8,51450.0
2019-10-07,93.25,95.8,92.9,95.35,65780.0
2019-10-09,95.35,97.5,93.3,95.15,233246.0
2019-10-10,95.3,98.5,94.95,97.15,42051.0
2019-10-11,97.35,102.6,96.5,101.45,227031.0
2019-10-14,103.0,105.3,97.35,98.9,133995.0
2019-10-15,98.8,99.6,97.0,97.85,113848.0
2019-10-16,97.0,98.0,96.5,97.0,40029.0
2019-10-17,96.15,99.7,95.5,97.1,173562.0
2019-10-18,97.45,98.55,96.0,97.1,247224.0
2019-10-22,96.0,99.9,95.3,98.7,182847.0
2019-10-23,97.1,98.75,95.6,97.5,236159.0
2019-10-24,99.85,104.7,97.25,99.85,610490.0
2019-10-25,99.95,101.35,95.5,96.45,369725.0
2019-10-29,96.2,98.15,94.0,94.8,129887.0
2019-10-30,95.0,97.0,92.5,93.15,362550.0
2019-10-31,93.65,94.05,87.45,91.1,835887.0
2019-11-01,91.0,96.5,89.5,91.55,238064.0
2019-11-04,94.9,94.9,88.25,91.85,181753.0
2019-11-05,92.4,92.8,88.55,92.1,140267.0
2019-11-06,92.1,92.3,89.15,89.8,135661.0
2019-11-07,91.25,91.25,84.8,90.0,564261.0
2019-11-08,90.0,90.6,88.3,90.0,187473.0
2019-11-11,90.05,91.6,89.15,90.45,175102.0
2019-11-13,91.0,93.0,87.1,91.25,248986.0
2019-11-14,92.0,94.5,91.0,92.95,232508.0
2019-11-15,92.15,95.3,90.3,94.3,112074.0
2019-11-18,93.5,98.1,92.65,96.7,1049046.0
2019-11-19,94.7,98.85,94.7,97.7,519976.0
2019-11-20,98.0,98.95,94.6,97.8,312276.0
2019-11-21,97.05,100.0,96.0,98.7,370101.0
2019-11-22,100.35,100.35,95.0,98.7,500529.0
2019-11-25,98.7,98.7,95.0,95.9,262127.0
2019-11-26,95.45,96.9,94.1,96.0,189588.0
2019-11-27,95.0,95.75,92.95,94.05,563816.0
2019-11-28,93.75,97.3,92.4,94.95,195196.0
2019-11-29,96.4,98.35,92.5,97.9,360778.0
2019-12-02,96.35,98.8,96.0,96.9,200030.0
2019-12-03,96.7,97.0,91.0,91.5,270794.0
2019-12-04,91.5,93.25,91.05,92.45,192196.0
2019-12-05,92.1,92.85,88.3,89.2,240345.0
2019-12-06,89.05,91.0,86.55,89.0,362159.0
2019-12-09,87.5,89.25,86.85,87.2,414075.0
2019-12-10,87.0,89.2,85.1,87.3,146476.0
2019-12-11,87.35,88.9,85.25,87.2,151239.0
2019-12-12,87.35,88.4,85.3,86.7,1872842.0
2019-12-13,86.0,89.45,86.0,88.0,773887.0
2019-12-16,87.35,92.7,87.1,91.95,189942.0
2019-12-17,89.1,92.5,89.1,92.1,414377.0
