Date,O,H,L,C,V
2019-04-22,99.0,103.95,94.05,103.95,1066838
2019-04-23,109.1,109.1,105.55,109.1,746528
2019-04-24,107.0,114.55,107.0,114.55,233998
2019-04-25,116.0,118.3,110.0,111.15,941577
2019-04-26,106.1,111.0,106.1,108.65,1886188
2019-04-30,106.2,108.5,103.25,103.25,273582
2019-05-02,103.0,103.0,98.1,100.2,1542833
2019-05-03,102.5,102.5,96.25,100.65,718227
2019-05-06,96.8,102.8,96.8,98.3,474708
2019-05-07,98.3,99.7,94.0,96.95,468706
2019-05-08,94.1,97.2,91.1,96.0,897791
2019-05-09,95.0,99.85,93.55,97.05,711118
2019-05-10,96.15,100.55,96.0,99.7,215851
2019-05-13,97.15,99.4,97.0,97.7,115680
2019-05-14,95.15,98.5,91.8,97.9,545794
2019-05-15,96.5,99.45,96.0,97.85,191792
2019-05-16,97.4,98.7,96.05,97.3,704340
2019-05-17,96.5,105.0,95.7,97.65,424897
2019-05-20,98.2,100.7,97.2,98.7,150333
2019-05-21,98.0,99.95,97.5,98.55,567578
2019-05-22,98.05,103.0,97.55,101.15,176780
2019-05-23,102.9,103.3,99.55,99.95,69621
2019-05-24,101.0,101.0,92.3,97.6,803107
2019-05-27,98.0,100.0,94.4,99.35,99551
2019-05-28,103.0,103.0,93.8,96.95,623443
2019-05-29,97.75,97.75,94.0,95.95,265737
2019-05-30,95.5,97.95,95.1,97.2,264681
2019-05-31,96.35,99.0,94.1,97.05,339424
2019-06-03,95.1,97.5,94.05,96.25,481984
2019-06-04,96.0,96.0,94.7,95.05,201750
2019-06-06,94.5,96.0,91.85,95.45,217297
2019-06-07,94.05,95.25,92.7,95.0,231074
2019-06-10,94.2,95.1,93.1,94.25,243762
2019-06-11,93.5,99.0,92.7,98.3,1273790
2019-06-12,99.75,99.75,96.4,98.05,3216731
2019-06-13,97.15,100.5,96.6,99.15,217923
2019-06-14,100.25,100.25,96.5,96.85,242232
2019-06-17,95.75,98.25,95.7,97.05,173839
2019-06-18,97.15,99.0,96.15,97.9,249303
2019-06-19,97.05,98.9,92.05,93.95,410885
2019-06-20,94.05,99.5,93.05,98.2,116647
2019-06-21,97.0,98.9,94.55,96.45,221737
2019-06-24,96.0,99.7,94.7,98.6,297292
2019-06-25,96.7,99.9,96.7,99.2,199458
2019-06-26,97.15,99.25,95.5,96.6,262917
2019-06-27,95.85,97.05,94.1,95.75,155954
2019-06-28,94.2,98.0,94.2,96.75,260974
2019-07-01,95.0,98.9,95.0,97.95,599158
2019-07-02,96.5,99.7,96.5,98.8,857280
2019-07-03,98.1,99.6,97.3,98.05,615545
2019-07-04,98.0,99.4,95.8,98.8,120786
2019-07-05,97.3,99.0,97.05,98.2,109202
2019-07-08,97.05,98.2,96.05,97.05,288364
2019-07-09,96.8,98.25,95.25,96.4,234001
2019-07-10,95.6,96.2,88.2,92.7,822987
2019-07-11,92.1,92.7,87.5,88.2,123829
2019-07-12,88.2,91.95,86.25,89.0,1069894
2019-07-15,86.7,89.65,86.7,88.9,437879
2019-07-16,88.05,90.4,86.9,89.05,879114
2019-07-17,88.15,88.95,85.2,88.05,792167
2019-07-18,87.05,88.15,85.0,86.2,114457
2019-07-19,86.2,87.5,82.5,83.65,992961
2019-07-22,83.85,84.05,79.05,80.85,1800980
2019-07-23,80.05,86.35,80.0,85.0,668690
2019-07-24,83.25,87.9,83.25,85.05,317393
2019-07-25,85.0,85.4,80.0,81.55,604317
2019-07-26,81.55,82.0,78.45,80.25,661115
2019-07-29,81.95,83.8,80.3,82.3,892359
2019-07-30,82.3,84.7,82.15,83.25,1448935
2019-07-31,81.7,84.25,69.8,79.45,1073337
2019-08-01,80.45,82.5,76.1,79.7,623114
2019-08-02,81.4,82.9,77.8,80.65,333065
2019-08-05,79.05,84.8,77.0,82.55,344865
2019-08-06,80.15,83.95,80.0,83.05,111098
2019-08-07,83.9,83.9,81.75,83.2,156108
2019-08-08,82.5,84.5,80.55,82.7,286702
2019-08-09,84.4,84.9,80.4,83.1,437550
2019-08-13,83.1,84.0,81.5,83.35,88507
2019-08-14,82.2,86.3,81.6,84.3,197734
2019-08-16,85.0,91.0,82.0,85.25,881242
2019-08-19,88.0,89.9,86.0,88.6,63210
2019-08-20,87.0,89.9,86.3,89.1,46707
2019-08-21,88.0,93.5,85.5,90.8,190108
2019-08-22,92.15,94.9,87.05,91.85,93258
2019-08-23,91.85,92.05,87.95,91.0,67077
2019-08-26,90.0,91.85,90.0,91.1,141914
2019-08-27,90.7,99.0,90.0,95.05,173715
2019-08-28,95.4,98.4,92.0,93.8,251911
2019-08-29,93.5,98.2,92.5,96.1,89660
2019-08-30,95.05,99.8,94.5,97.15,391507
2019-09-03,98.0,99.0,96.1,98.05,110229
2019-09-04,97.75,101.6,95.1,96.8,341835
2019-09-05,96.75,101.95,96.1,100.8,187801
2019-09-06,100.8,105.0,99.0,102.25,150869
2019-09-09,104.25,104.85,101.0,102.4,116311
2019-09-11,102.4,103.45,98.2,99.25,139717
2019-09-12,98.1,99.95,96.0,97.45,214970
2019-09-13,98.15,100.8,97.0,97.7,82271
2019-09-16,99.05,100.0,96.8,98.65,192271
2019-09-17,100.65,100.65,95.25,96.1,402815
2019-09-18,96.0,97.25,93.1,95.25,459990
2019-09-19,94.15,95.6,92.6,94.95,449283
2019-09-20,94.85,96.3,87.15,91.7,693308
2019-09-23,92.0,96.0,91.1,95.15,74186
2019-09-24,91.5,97.2,91.5,94.8,306180
2019-09-25,94.6,95.5,93.25,94.65,264686
2019-09-26,95.0,101.9,92.8,95.35,164700
2019-09-27,94.4,97.5,94.4,95.65,368311
2019-09-30,95.1,97.0,94.6,95.3,87841
2019-10-01,96.35,96.35,92.45,94.85,3242649
2019-10-03,94.7,97.7,93.15,96.6,227018
2019-10-04,98.9,98.9,88.3,93.8,51450
2019-10-07,93.25,95.8,92.9,95.35,65780
2019-10-09,95.35,97.5,93.3,95.15,233246
2019-10-10,95.3,98.5,94.95,97.15,42051
2019-10-11,97.35,102.6,96.5,101.45,227031
2019-10-14,103.0,105.3,97.35,98.9,133995
2019-10-15,98.8,99.6,97.0,97.85,113848
2019-10-16,97.0,98.0,96.5,97.0,40029
2019-10-17,96.15,99.7,95.5,97.1,173562
2019-10-18,97.45,98.55,96.0,97.1,247224
2019-10-22,96.0,99.9,95.3,98.7,182847
2019-10-23,97.1,98.75,95.6,97.5,236159
2019-10-24,99.85,104.7,97.25,99.85,610490
2019-10-25,99.95,101.35,95.5,96.45,369725
2019-10-29,96.2,98.15,94.0,94.8,129887
2019-10-30,95.0,97.0,92.5,93.15,362550
2019-10-31,93.65,94.05,87.45,91.1,835887
2019-11-01,91.0,96.5,89.5,91.55,238064
2019-11-04,94.9,94.9,88.25,91.85,181753
2019-11-05,92.4,92.8,88.55,92.1,140267
2019-11-06,92.1,92.3,89.15,89.8,135661
2019-11-07,91.25,91.25,84.8,90.0,564261
2019-11-08,90.0,90.6,88.3,90.0,187473
2019-11-11,90.05,91.6,89.15,90.45,175102
2019-11-13,91.0,93.0,87.1,91.25,248986
2019-11-14,92.0,94.5,91.0,92.95,232508
2019-11-15,92.15,95.3,90.3,94.3,112074
2019-11-18,93.5,98.1,92.65,96.7,1049046
2019-11-19,94.7,98.85,94.7,97.7,519976
2019-11-20,98.0,98.95,94.6,97.8,312276
2019-11-21,97.05,100.0,96.0,98.7,370101
2019-11-22,100.35,100.35,95.0,98.7,500529
2019-11-25,98.7,98.7,95.0,95.9,262127
2019-11-26,95.45,96.9,94.1,96.0,189588
2019-11-27,95.0,95.75,92.95,94.05,563816
2019-11-28,93.75,97.3,92.4,94.95,195196
2019-11-29,96.4,98.35,92.5,97.9,360778
2019-12-02,96.35,98.8,96.0,96.9,200030
2019-12-03,96.7,97.0,91.0,91.5,270794
2019-12-04,91.5,93.25,91.05,92.45,192196
2019-12-05,92.1,92.85,88.3,89.2,240345
2019-12-06,89.05,91.0,86.55,89.0,362159
2019-12-09,87.5,89.25,86.85,87.2,414075
2019-12-10,87.0,89.2,85.1,87.3,146476
2019-12-11,87.35,88.9,85.25,87.2,151239
2019-12-12,87.35,88.4,85.3,86.7,1872842
2019-12-13,86.0,89.45,86.0,88.0,773887
2019-12-16,87.35,92.7,87.1,91.95,189942
2019-12-17,89.1,92.5,89.1,92.1,414377
2019-12-18,93.1,93.15,89.2,91.75,168688
2019-12-19,91.65,91.65,87.6,88.1,85623
2019-12-20,88.1,89.5,85.6,86.6,173564
2019-12-23,85.7,90.9,85.7,90.45,141181
2019-12-24,90.45,90.7,87.5,90.05,89657
2019-12-26,90.95,90.95,88.5,88.85,59018
2019-12-27,89.25,95.45,88.55,93.75,224224
2019-12-30,94.95,95.45,92.85,94.0,204227
2019-12-31,96.0,96.0,92.1,93.7,149855
2020-01-01,92.75,93.7,91.05,91.45,83742
2020-01-02,93.0,93.0,89.0,89.35,379118
2020-01-03,89.45,93.4,89.45,91.25,85097
2020-01-06,91.1,92.85,86.1,87.55,145949
2020-01-07,87.3,89.2,85.55,86.6,220910
2020-01-08,85.9,87.75,85.05,86.05,67647
2020-01-09,86.6,88.45,86.6,87.3,86291
2020-01-10,88.45,89.2,87.0,87.35,80918
2020-01-13,87.55,93.75,87.55,93.1,211648
2020-01-14,93.0,100.5,92.15,97.95,998988
2020-01-15,98.8,105.15,98.25,102.35,848535
2020-01-16,103.5,112.5,102.85,103.55,896671
2020-01-17,104.8,106.9,103.1,104.4,468742
2020-01-20,103.55,105.35,102.0,102.35,169817
2020-01-21,102.45,103.95,97.9,98.35,129903
2020-01-22,97.25,100.95,95.5,98.0,310593
2020-01-23,101.2,101.2,96.5,98.3,259241
2020-01-24,99.45,102.9,96.75,101.35,281871
2020-01-27,101.0,103.5,98.65,101.2,338075
2020-01-28,102.0,103.55,98.45,98.9,82063
2020-01-29,100.0,103.25,97.0,98.85,142643
2020-01-30,102.55,103.4,98.25,99.7,666845
2020-01-31,101.9,102.0,98.1,99.45,298722
2020-02-03,95.3,101.0,95.3,98.45,195670
2020-02-04,97.2,101.0,95.5,97.9,223180
2020-02-05,99.95,99.95,96.0,96.9,156877
2020-02-06,97.05,99.45,94.25,95.35,105172
2020-02-07,96.45,97.5,94.2,96.1,260963
2020-02-10,96.4,99.65,93.8,96.9,127819
2020-02-11,98.9,99.9,94.1,95.15,129514
2020-02-12,95.0,96.4,90.25,91.05,153058
2020-02-13,91.15,92.15,88.15,88.95,88598
2020-02-14,88.95,91.0,87.95,89.8,157871
2020-02-17,91.5,93.5,85.5,87.2,195849
2020-02-18,87.2,88.5,84.55,85.45,124666
2020-02-19,86.0,90.85,85.45,89.65,208775
2020-02-20,89.65,90.5,85.55,87.15,266221
2020-02-24,86.15,89.75,85.55,87.55,222363
2020-02-25,86.6,88.9,85.75,88.35,304923
2020-02-26,87.75,89.0,86.15,86.65,169304
2020-02-27,88.8,88.8,83.7,85.1,120320
2020-02-28,82.0,84.9,80.5,81.75,88348
2020-03-02,81.0,89.1,76.15,81.75,169068
2020-03-03,84.0,84.9,79.15,81.45,102652
2020-03-04,81.2,84.7,76.8,78.65,134921
2020-03-05,79.3,81.2,78.0,80.55,123260
2020-03-06,76.0,79.3,76.0,78.55,129998
2020-03-09,75.05,79.7,72.3,76.0,220593
2020-03-11,73.0,79.5,73.0,77.75,142776
2020-03-12,75.0,77.35,71.0,72.15,353994
2020-03-13,61.0,73.4,61.0,70.0,140172
2020-03-16,70.0,70.6,65.45,66.8,142676
2020-03-17,74.45,74.45,62.15,65.8,190919
2020-03-18,66.0,67.6,52.65,54.45,199255
2020-03-19,53.0,53.0,43.65,46.4,331837
2020-03-20,49.8,49.8,42.7,44.3,223396
2020-03-23,39.9,42.5,39.9,39.9,58295
2020-03-24,41.95,42.6,35.95,36.9,306871
2020-03-25,39.9,39.9,35.65,36.1,145598
2020-03-26,36.5,37.9,34.35,34.85,240803
2020-03-27,35.3,36.55,35.05,36.3,366800
2020-03-30,37.9,38.1,34.85,35.05,1080739
2020-03-31,36.0,36.8,34.8,35.25,884212
2020-04-01,35.8,37.0,34.95,36.15,731020
2020-04-03,36.25,37.95,35.5,37.9,178328
2020-04-07,39.7,39.75,38.0,39.7,214362
2020-04-08,40.0,41.65,39.0,41.65,340590
2020-04-09,43.7,43.7,42.0,42.8,135771
2020-04-13,41.65,44.9,40.7,40.95,299216
2020-04-15,41.9,41.9,40.0,40.5,676867
2020-04-16,41.75,42.1,40.1,41.6,152227
2020-04-17,43.0,43.65,42.1,43.6,151262
2020-04-20,45.6,45.75,44.2,45.75,127911
2020-04-21,45.75,48.0,45.75,47.95,377907
2020-04-22,50.0,50.3,45.7,48.95,244070
2020-04-23,50.5,50.5,48.0,50.0,150923
2020-04-24,49.0,49.0,48.0,48.25,60233
2020-04-27,48.5,49.9,47.5,49.15,100305
2020-04-28,49.9,51.6,48.6,50.85,160122
2020-04-29,51.75,53.35,50.05,53.1,107935
2020-04-30,55.75,55.75,55.0,55.75,95862
2020-05-04,53.0,58.5,53.0,57.85,238303
2020-05-05,59.85,60.45,55.0,55.05,196150
2020-05-06,55.05,56.75,52.3,53.45,193682
2020-05-07,53.45,55.9,51.5,52.75,77258
2020-05-08,54.7,54.9,52.85,53.15,115964
2020-05-11,54.0,54.0,50.5,50.55,166385
2020-05-12,50.55,51.0,48.05,50.15,202449
2020-05-13,52.65,52.65,48.5,51.0,257888
2020-05-14,49.9,51.9,48.45,49.65,235047
2020-05-15,49.05,50.65,47.2,49.5,244630
2020-05-18,49.05,49.8,47.05,47.05,110695
2020-05-19,47.7,47.9,44.7,45.35,133356
2020-05-20,43.15,46.0,43.1,43.1,137914
2020-05-21,42.3,43.1,40.95,40.95,242729
2020-05-22,38.95,42.9,38.95,41.7,997801
2020-05-26,41.7,43.55,41.0,43.2,493896
