Date,O,H,L,C,V
2021-03-25,155.5,174.6,143.25,164.45,68702462
2021-03-26,173.45,194.4,172.0,186.6,30116742
2021-03-30,190.3,191.95,171.1,175.05,8839565
2021-03-31,171.1,179.5,170.95,174.5,3073842
2021-04-01,176.8,186.8,171.45,180.85,4813541
2021-04-05,180.0,181.8,171.5,172.9,2183243
2021-04-06,174.7,194.0,172.45,190.05,8544662
2021-04-07,194.4,209.0,192.1,200.25,10435919
2021-04-08,202.95,206.5,197.25,198.95,3082469
2021-04-09,198.75,202.85,192.3,194.0,1879182
2021-04-12,186.0,187.85,175.65,181.25,2826111
2021-04-13,184.0,192.0,182.55,188.25,1869384
2021-04-15,190.5,195.6,183.55,191.6,2358127
2021-04-16,193.1,196.0,190.0,190.9,1664641
2021-04-19,185.0,187.0,182.3,185.45,1217314
2021-04-20,188.45,192.4,184.0,185.9,1085709
2021-04-22,184.95,186.75,181.25,182.05,1877354
2021-04-23,181.8,184.2,178.2,179.2,1699072
2021-04-26,181.0,193.6,178.45,191.45,3975987
2021-04-27,192.9,199.75,191.05,195.05,3198829
2021-04-28,196.6,214.4,196.05,210.05,10206205
2021-04-29,212.0,217.9,208.25,209.6,3930863
2021-04-30,206.0,215.0,204.5,207.85,2343085
2021-05-03,205.4,214.85,205.05,212.05,2427377
2021-05-04,214.0,237.85,214.0,219.45,12347178
2021-05-05,222.7,227.5,219.2,223.25,2918280
2021-05-06,224.9,226.0,219.1,220.65,1393465
2021-05-07,223.0,225.7,218.25,219.5,2054047
2021-05-10,221.7,231.5,219.25,226.15,3030801
2021-05-11,224.0,233.7,223.2,227.8,3580372
2021-05-12,228.7,229.6,220.95,222.5,1720426
2021-05-14,224.4,226.95,218.05,219.0,1778998
2021-05-17,221.9,222.5,216.0,217.8,1534784
2021-05-18,218.1,223.5,218.0,219.95,1431495
2021-05-19,221.5,225.8,218.55,219.2,1894146
2021-05-20,220.85,222.0,216.35,217.9,1197762
2021-05-21,220.0,234.65,218.8,224.95,5272118
2021-05-24,226.95,239.9,225.5,237.75,6644500
2021-05-25,242.0,244.7,228.6,233.6,4549830
2021-05-26,228.0,230.7,221.5,223.9,3622399
2021-05-27,226.0,228.9,222.3,223.55,1844491
2021-05-28,223.05,225.0,219.0,219.35,1511487
2021-05-31,219.6,231.95,219.6,227.5,4614607
2021-06-01,228.9,229.5,222.0,223.65,1094653
2021-06-02,223.0,226.5,221.1,223.7,1524542
2021-06-03,225.0,225.45,222.2,222.7,884388
2021-06-04,223.7,223.85,220.3,221.0,1016541
2021-06-07,222.3,225.7,221.0,222.65,1499707
2021-06-08,222.9,230.3,220.2,226.55,2738382
2021-06-09,228.1,231.0,221.0,222.9,1800552
2021-06-10,223.5,225.9,221.6,222.15,962157
2021-06-11,223.4,228.1,222.35,224.7,2703801
2021-06-14,227.0,227.65,217.5,220.15,1593610
2021-06-15,221.9,230.8,219.7,224.95,4049111
2021-06-16,226.45,236.0,226.0,230.85,6166368
2021-06-17,228.5,235.45,226.1,229.55,2939279
2021-06-18,231.4,232.15,212.7,225.65,2433154
2021-06-21,221.0,226.7,220.2,224.65,1393725
2021-06-22,226.0,230.0,222.25,223.55,1377978
2021-06-23,224.2,225.45,221.1,222.1,712705
2021-06-24,223.6,223.75,219.75,220.75,877329
2021-06-25,222.0,226.7,221.1,222.8,887764
2021-06-28,223.8,224.0,221.45,221.8,596107
2021-06-29,222.0,223.4,220.55,221.25,599382
2021-06-30,221.9,226.25,219.6,220.35,1143861
2021-07-01,221.95,235.8,221.1,230.45,2737049
2021-07-02,238.0,250.7,236.0,240.7,10929617
2021-07-05,242.3,257.9,241.15,255.4,5821409
2021-07-06,256.7,258.4,245.5,247.65,3245910
2021-07-07,247.7,263.8,246.05,259.4,5607546
2021-07-08,260.45,262.0,251.1,256.65,1903964
2021-07-09,256.4,270.5,253.5,264.5,5208269
2021-07-12,267.0,272.7,263.2,267.9,2553254
2021-07-13,270.35,272.0,264.0,265.45,1431594
2021-07-14,265.1,273.4,264.05,268.8,1954254
2021-07-15,270.0,271.95,265.0,266.8,1287218
2021-07-16,267.0,268.9,261.0,262.35,1207327
2021-07-19,259.9,263.6,257.0,258.65,1546544
2021-07-20,257.95,259.45,249.5,253.0,1391578
2021-07-22,254.9,267.75,254.55,261.2,2545937
2021-07-23,263.6,274.45,261.15,272.65,3393604
2021-07-26,266.0,266.0,251.85,257.1,3098406
2021-07-27,259.75,266.2,256.5,261.25,1954043
2021-07-28,262.0,262.65,252.2,257.5,1374629
2021-07-29,258.4,263.7,256.9,257.9,851707
2021-07-30,257.9,264.75,257.0,261.75,1323487
2021-08-02,263.9,276.9,261.75,274.7,4596170
2021-08-03,276.0,283.0,274.5,277.4,3096699
2021-08-04,278.65,283.0,270.3,271.75,2161318
2021-08-05,273.15,275.0,265.3,271.9,1426307
2021-08-06,272.35,278.5,272.35,276.15,1085716
2021-08-09,277.45,282.45,270.0,272.65,1781148
2021-08-10,295.0,299.55,276.3,280.0,13495897
