Date,Open,High,Low,Close,Volume
2017-09-25,399.0,399.0,335.0,342.55,18583678.0
2017-09-26,345.5,352.85,328.65,337.9,3365236.0
2017-09-27,340.25,371.0,338.05,346.55,6497799.0
2017-09-28,351.4,360.8,347.2,350.75,1683894.0
2017-09-29,354.0,357.0,334.2,338.55,1762286.0
2017-10-03,342.45,344.3,330.35,333.0,928415.0
2017-10-04,333.0,343.8,327.0,335.0,1186339.0
2017-10-05,335.1,341.95,328.65,333.8,925080.0
2017-10-06,336.1,341.8,334.35,335.95,552732.0
2017-10-09,337.0,344.4,334.3,335.9,570999.0
2017-10-10,337.95,341.0,335.1,337.05,494464.0
2017-10-11,338.8,358.4,337.05,341.2,2129120.0
2017-10-12,343.75,351.8,340.45,347.9,938113.0
2017-10-13,348.0,354.65,341.55,343.85,537415.0
2017-10-16,346.25,346.25,340.1,342.7,382463.0
2017-10-17,342.0,348.35,338.85,343.55,343012.0
2017-10-18,343.8,349.65,340.05,342.2,431984.0
2017-10-19,341.0,344.75,341.0,342.0,110498.0
2017-10-23,344.5,349.0,341.55,342.25,330343.0
2017-10-24,344.85,347.8,339.15,340.75,328429.0
2017-10-25,343.5,343.5,336.0,337.3,310284.0
2017-10-26,338.4,340.0,334.5,335.15,284117.0
2017-10-27,335.5,338.75,334.0,334.95,282978.0
2017-10-30,336.3,342.6,335.0,337.3,250712.0
2017-10-31,338.7,341.5,335.0,336.15,350283.0
2017-11-01,338.0,347.0,337.05,339.4,730996.0
2017-11-02,340.9,355.0,340.5,349.05,1158849.0
2017-11-03,352.0,371.9,351.45,368.1,1817580.0
2017-11-06,372.0,389.15,372.0,382.7,2115488.0
2017-11-07,384.9,388.0,360.0,365.5,798170.0
2017-11-08,366.9,378.4,363.35,371.7,642996.0
2017-11-09,374.0,379.85,355.7,360.85,894594.0
2017-11-10,360.0,360.4,343.05,350.9,460898.0
2017-11-13,352.3,356.7,345.05,347.9,561256.0
2017-11-14,348.0,350.9,340.0,341.45,265658.0
2017-11-15,343.0,346.9,324.1,332.65,375780.0
2017-11-16,337.0,337.0,330.0,330.7,349092.0
2017-11-17,335.9,345.85,335.0,343.5,398436.0
2017-11-20,344.9,348.45,341.0,343.55,170542.0
2017-11-21,346.4,354.9,344.75,348.75,463511.0
2017-11-22,348.75,374.4,346.0,370.35,992302.0
2017-11-23,372.9,388.4,367.1,379.5,1125625.0
2017-11-24,381.0,383.7,373.05,375.35,384807.0
2017-11-27,376.0,376.65,365.55,370.15,522687.0
2017-11-28,368.0,383.0,368.0,375.25,405751.0
2017-11-29,375.0,428.65,375.0,416.5,5842333.0
2017-11-30,415.0,426.0,407.0,416.25,4903896.0
2017-12-01,423.7,428.95,410.35,412.8,1104635.0
2017-12-04,415.65,437.45,402.0,422.25,1786391.0
2017-12-05,423.25,423.3,405.2,414.05,554657.0
2017-12-06,410.05,418.0,403.1,404.75,554933.0
2017-12-07,406.0,420.7,406.0,413.35,692774.0
