Date,O,H,L,C,V
2015-11-02,317.0,317.0,266.3,270.45,18353828
2015-11-03,274.0,284.85,272.15,276.25,4773563
2015-11-04,277.45,283.5,275.1,281.6,1853793
2015-11-05,280.95,281.4,276.0,277.0,785960
2015-11-06,279.0,279.0,270.0,271.05,521576
2015-11-09,266.5,276.0,253.6,273.9,603103
2015-11-10,276.1,280.5,267.8,269.8,564758
2015-11-11,273.9,275.6,273.0,273.55,89578
2015-11-13,271.5,271.95,263.5,265.8,264878
2015-11-16,266.0,274.7,260.05,268.05,534428
2015-11-17,270.1,274.4,264.55,265.55,354953
2015-11-18,265.9,267.7,260.25,261.3,236271
2015-11-19,263.0,263.75,259.25,260.55,269156
2015-11-20,261.6,266.0,258.5,259.15,251995
2015-11-23,260.0,267.5,257.5,264.85,413189
2015-11-24,265.8,270.0,262.05,266.4,298584
2015-11-26,268.4,269.4,264.0,266.3,172026
2015-11-27,267.0,267.05,257.15,258.25,644846
2015-11-30,259.8,261.75,254.0,255.35,447105
2015-12-01,255.75,264.4,255.5,257.75,578648
2015-12-02,258.5,262.0,256.25,257.5,195142
2015-12-03,258.4,264.9,257.5,261.85,426129
2015-12-04,260.1,261.35,253.2,254.8,192546
2015-12-07,256.7,258.85,252.5,253.25,112645
2015-12-08,257.0,267.5,255.0,257.25,1238319
2015-12-09,257.45,261.4,252.0,252.95,260920
2015-12-10,254.7,257.9,253.0,255.85,158434
2015-12-11,255.5,260.0,254.65,257.05,202076
2015-12-14,256.5,256.5,253.05,253.7,100567
2015-12-15,252.5,275.0,252.5,272.8,1537448
2015-12-16,275.0,278.4,269.85,270.25,377777
2015-12-17,271.95,284.9,270.5,283.3,1222779
2015-12-18,281.9,290.0,281.15,285.65,998753
2015-12-21,284.5,288.4,281.55,285.2,243332
2015-12-22,285.7,287.55,282.0,282.85,197449
2015-12-23,283.1,285.2,275.1,276.3,199786
2015-12-24,276.6,283.5,275.0,279.2,183806
2015-12-28,280.0,280.9,275.0,275.9,135546
2015-12-29,276.2,286.75,276.0,284.95,385285
2015-12-30,284.1,297.35,280.0,284.7,869774
2015-12-31,282.0,286.9,281.8,283.75,179009
2016-01-01,284.4,291.2,283.3,288.05,215725
2016-01-04,287.8,288.0,277.65,280.45,162531
2016-01-05,282.0,288.0,278.1,282.45,173477
2016-01-06,282.55,286.0,272.2,274.3,206553
2016-01-07,270.1,273.8,267.1,269.85,187070
2016-01-08,272.3,279.0,267.45,273.0,271414
2016-01-11,269.95,273.0,267.0,267.75,121689
2016-01-12,268.05,271.95,264.1,265.8,113798
2016-01-13,268.4,269.0,256.5,259.55,209649
2016-01-14,256.8,260.1,254.0,255.6,110285
2016-01-15,257.95,261.85,252.1,253.75,134162
2016-01-18,251.0,251.85,242.05,243.5,120840
2016-01-19,237.2,249.2,237.2,243.8,108272
2016-01-20,241.8,245.55,239.05,243.65,190503
2016-01-21,243.85,248.35,241.55,246.35,414907
2016-01-22,248.1,254.9,247.0,250.3,156258
2016-01-25,251.1,254.2,242.5,248.65,49558
2016-01-27,248.95,250.95,245.15,247.55,60757
2016-01-28,248.0,254.5,244.0,252.8,318556
2016-01-29,251.95,267.0,249.0,263.3,1046979
2016-02-01,263.1,265.0,258.1,259.9,131637
2016-02-02,259.15,259.55,248.2,250.55,132354
2016-02-03,247.1,250.45,242.5,246.05,96556
2016-02-04,246.85,249.8,243.2,244.95,50563
2016-02-05,241.0,250.5,241.0,246.2,154637
2016-02-08,247.0,248.75,243.8,245.8,37496
2016-02-09,244.7,246.5,241.1,243.25,38524
2016-02-10,244.05,244.45,240.0,242.5,101449
2016-02-11,242.5,243.9,223.0,225.2,163105
2016-02-12,229.65,230.0,220.1,222.45,236648
2016-02-15,225.0,230.0,224.1,224.75,166782
2016-02-16,225.3,228.8,223.0,225.15,174119
2016-02-17,227.0,238.4,221.15,228.0,239976
2016-02-18,230.8,230.8,221.1,225.15,126563
2016-02-19,227.8,230.0,224.3,225.85,138097
2016-02-22,229.9,229.9,225.0,225.15,89707
2016-02-23,225.05,226.9,223.9,225.0,95412
2016-02-24,221.85,226.9,221.85,225.1,64568
2016-02-25,225.2,226.85,222.1,225.3,42554
2016-02-26,226.7,228.85,224.0,225.1,89130
2016-02-29,225.2,226.0,218.7,222.05,142084
2016-03-01,226.5,226.5,223.1,225.05,62894
2016-03-02,227.5,237.5,226.5,228.55,67405
2016-03-03,228.7,237.15,227.95,232.2,66785
2016-03-04,231.15,240.0,231.1,237.05,82267
2016-03-08,234.15,239.8,233.0,234.25,103637
2016-03-09,236.1,236.1,230.0,231.05,83682
2016-03-10,231.95,234.45,225.0,226.35,62035
2016-03-11,227.25,230.0,225.0,225.3,48691
2016-03-14,225.0,229.0,225.0,225.1,73022
2016-03-15,225.05,227.4,222.0,224.85,190190
2016-03-16,224.1,226.5,224.1,225.05,28574
2016-03-17,226.0,240.0,225.25,228.3,847365
2016-03-18,228.5,233.95,228.5,232.8,78190
2016-03-21,234.2,235.25,228.0,229.5,30600
2016-03-22,229.75,233.3,227.1,228.45,44715
2016-03-23,226.1,229.9,225.95,226.15,30969
2016-03-28,227.0,228.9,224.0,225.0,52140
2016-03-29,225.0,228.0,220.5,224.55,181479
2016-03-30,225.0,226.6,224.05,225.0,77498
2016-03-31,225.1,230.5,222.6,225.45,133090
2016-04-01,223.25,231.15,223.25,228.6,52185
2016-04-04,226.25,232.0,226.25,227.1,46763
2016-04-05,224.0,228.5,224.0,226.55,25812
2016-04-06,224.05,233.9,224.05,229.9,63715
2016-04-07,229.95,230.55,226.7,227.95,19454
2016-04-08,228.0,236.0,226.4,234.65,84217
2016-04-11,235.0,236.3,231.05,233.8,24364
2016-04-12,232.4,235.0,230.05,231.15,52236
2016-04-13,233.0,235.9,231.7,233.85,37356
2016-04-18,235.0,235.9,231.75,232.55,27687
2016-04-20,230.4,250.5,230.4,246.3,288250
2016-04-21,245.15,249.55,243.2,245.05,56974
2016-04-22,246.3,246.3,240.0,241.9,32498
2016-04-25,240.05,244.8,238.1,239.95,39955
2016-04-26,240.05,241.5,235.0,235.3,33504
2016-04-27,236.0,275.0,234.1,270.8,1265955
2016-04-28,272.5,273.5,255.3,261.95,359970
2016-04-29,260.55,268.7,256.45,259.2,123564
2016-05-02,257.25,266.9,257.25,261.65,111595
2016-05-03,265.3,267.4,260.0,261.7,148802
2016-05-04,261.0,261.05,253.1,254.2,47200
2016-05-05,255.05,270.95,246.1,266.55,218956
2016-05-06,264.0,266.5,260.0,260.6,56691
