Date,Open,High,Low,Close,Volume
2015-12-23,720.0,843.7,711.15,825.0,22217904.0
2015-12-24,838.0,908.7,836.0,896.05,9238499.0
2015-12-28,900.0,907.0,828.0,835.35,3424225.0
2015-12-29,842.0,849.75,798.1,811.0,2644667.0
2015-12-30,812.9,828.3,803.0,806.6,1307644.0
2015-12-31,810.0,819.7,785.0,804.45,1411591.0
2016-01-01,807.5,819.35,801.0,803.6,682083.0
2016-01-04,801.9,824.0,793.1,812.15,1288717.0
2016-01-05,816.4,829.0,807.95,817.05,778749.0
2016-01-06,817.0,864.0,810.25,835.85,1825228.0
2016-01-07,822.0,830.0,800.0,803.8,373132.0
2016-01-08,811.0,822.0,805.0,806.9,328208.0
2016-01-11,803.0,804.9,786.6,797.05,354808.0
2016-01-12,799.8,816.0,797.0,802.2,371860.0
2016-01-13,809.45,814.9,776.35,799.65,438596.0
2016-01-14,772.35,820.9,772.35,814.5,370832.0
2016-01-15,824.0,824.0,782.0,789.1,147545.0
2016-01-18,780.0,792.45,765.1,771.85,172923.0
2016-01-19,776.95,777.0,705.0,722.2,970683.0
2016-01-20,714.0,748.0,696.5,720.35,686899.0
2016-01-21,729.8,737.7,725.0,728.95,120661.0
2016-01-22,737.0,744.35,710.0,737.65,152880.0
2016-01-25,736.3,764.4,732.8,748.65,241245.0
2016-01-27,754.0,776.0,738.4,758.4,150224.0
2016-01-28,749.25,769.0,749.1,757.85,74260.0
2016-01-29,758.0,791.75,750.8,774.2,316960.0
2016-02-01,775.5,810.95,775.0,799.15,206519.0
2016-02-02,804.9,817.2,785.55,798.0,182113.0
2016-02-03,785.0,804.0,770.0,786.65,103985.0
2016-02-04,781.0,807.9,781.0,802.7,517300.0
2016-02-05,807.0,809.9,796.7,800.25,49206.0
2016-02-08,790.0,813.55,790.0,800.7,41172.0
2016-02-09,793.0,798.0,785.1,794.85,37792.0
2016-02-10,791.1,808.0,784.0,802.9,56327.0
2016-02-11,787.0,815.0,787.0,799.2,145971.0
2016-02-12,799.0,820.0,777.05,802.65,177643.0
2016-02-15,833.0,850.0,811.25,825.35,148787.0
2016-02-16,823.0,853.7,805.05,840.55,156266.0
2016-02-17,848.65,855.9,822.0,851.2,304861.0
2016-02-18,856.35,874.25,844.95,857.6,149122.0
2016-02-19,857.8,874.9,846.05,866.3,72046.0
2016-02-22,870.0,879.0,835.25,847.1,93270.0
2016-02-23,849.05,870.0,816.3,851.9,113125.0
2016-02-24,830.0,852.75,824.0,830.3,39657.0
2016-02-25,835.0,840.0,827.0,836.35,78742.0
2016-02-26,838.65,841.65,820.0,828.5,22318.0
2016-02-29,834.0,834.0,814.5,826.7,142044.0
2016-03-01,826.0,843.9,826.0,828.75,29602.0
2016-03-02,834.05,865.3,829.75,853.0,98579.0
2016-03-03,864.0,947.0,857.85,893.9,507551.0
2016-03-04,889.8,889.8,855.05,859.0,94155.0
2016-03-08,860.4,866.0,840.0,844.65,64592.0
2016-03-09,839.8,904.85,834.0,873.85,251261.0
2016-03-10,869.0,879.95,850.0,864.45,72891.0
2016-03-11,853.05,879.7,853.05,862.7,39072.0
2016-03-14,861.0,904.8,857.25,890.6,137006.0
2016-03-15,894.0,915.0,876.0,906.65,135275.0
2016-03-16,910.0,910.0,878.0,882.05,47970.0
2016-03-17,884.05,949.4,882.2,906.15,343488.0
2016-03-18,908.0,937.0,905.0,922.7,96995.0
2016-03-21,920.0,942.0,911.0,918.25,92940.0
2016-03-22,918.0,944.9,916.1,940.0,89361.0
2016-03-23,938.0,966.9,915.0,921.45,132423.0
2016-03-28,924.4,939.0,921.0,931.6,61760.0
2016-03-29,929.0,943.0,920.0,926.95,59952.0
2016-03-30,933.0,944.95,927.25,930.6,87052.0
2016-03-31,938.0,939.05,912.0,923.3,116771.0
2016-04-01,920.0,954.0,918.0,942.45,91533.0
2016-04-04,943.0,997.4,943.0,988.0,193192.0
2016-04-05,988.0,1014.4,984.95,989.15,200157.0
2016-04-06,994.8,1004.0,967.5,987.95,57883.0
2016-04-07,992.9,1001.9,984.95,990.85,143818.0
2016-04-08,999.65,1011.4,984.9,1003.4,47136.0
2016-04-11,1020.0,1044.4,1008.45,1021.95,230486.0
2016-04-12,1028.0,1033.3,1011.9,1022.95,37646.0
2016-04-13,1029.9,1031.8,1006.0,1011.85,33669.0
2016-04-18,1015.0,1015.0,983.4,987.0,32203.0
2016-04-20,990.0,1003.5,984.0,987.05,35037.0
2016-04-21,995.65,999.95,975.0,977.85,34853.0
2016-04-22,972.0,990.0,941.8,965.2,32112.0
2016-04-25,970.1,984.9,963.0,968.95,19282.0
2016-04-26,973.7,983.8,969.85,972.4,14432.0
2016-04-27,977.45,1007.8,975.55,995.95,56567.0
2016-04-28,1001.0,1008.75,987.0,992.55,32686.0
2016-04-29,990.45,1006.0,976.15,985.1,65661.0
2016-05-02,988.0,992.5,963.0,966.75,52137.0
2016-05-03,972.0,990.95,971.1,981.15,172581.0
2016-05-04,970.15,980.25,970.15,974.35,13829.0
2016-05-05,991.0,991.0,975.0,978.8,7604.0
2016-05-06,980.15,980.15,964.0,971.55,8193.0
2016-05-09,991.0,1005.0,920.3,981.8,42336.0
2016-05-10,982.1,984.9,950.0,955.05,15141.0
2016-05-11,953.9,974.0,945.0,957.85,17134.0
2016-05-12,964.8,968.0,953.05,955.5,7649.0
2016-05-13,957.0,965.0,948.0,952.85,6583.0
2016-05-16,1033.0,1033.0,949.95,957.5,17135.0
2016-05-17,960.1,979.0,958.0,974.5,27805.0
2016-05-18,979.0,991.0,962.3,984.7,14044.0
2016-05-19,994.95,994.95,973.5,980.1,7101.0
2016-05-20,981.1,990.0,961.0,974.95,7892.0
2016-05-23,987.8,987.8,961.0,963.0,27940.0
2016-05-24,960.0,973.5,956.0,959.5,6237.0
2016-05-25,974.0,974.0,961.65,970.85,5138.0
2016-05-26,974.0,985.0,962.95,980.1,10057.0
2016-05-27,980.1,1014.9,926.05,941.5,223659.0
2016-05-30,945.0,968.4,941.25,945.9,40219.0
2016-05-31,943.0,954.7,936.0,939.65,17317.0
2016-06-01,930.1,951.0,930.1,948.9,13668.0
2016-06-02,952.0,965.0,946.95,963.55,48003.0
2016-06-03,972.0,1015.5,965.0,992.3,125926.0
2016-06-06,997.4,997.4,976.0,989.4,22746.0
2016-06-07,998.8,1010.0,988.05,996.25,46900.0
2016-06-08,1006.35,1006.35,985.0,989.75,35067.0
2016-06-09,996.95,1019.0,985.0,989.05,22385.0
2016-06-10,998.7,1013.45,980.0,988.05,34363.0
2016-06-13,983.0,1003.95,983.0,995.95,38538.0
2016-06-14,996.0,999.0,972.55,978.9,33223.0
2016-06-15,987.95,988.9,952.5,956.5,23208.0
2016-06-16,955.0,956.85,914.9,936.85,151778.0
2016-06-17,943.95,944.9,885.0,897.2,366562.0
2016-06-20,887.2,893.7,865.25,869.6,53805.0
2016-06-21,865.85,883.8,838.6,842.25,101646.0
2016-06-22,844.0,856.9,815.0,847.25,101139.0
2016-06-23,848.0,848.0,831.3,837.8,38758.0
2016-06-24,820.0,825.1,770.0,820.55,33197.0
2016-06-27,824.9,846.0,815.1,837.4,43512.0
2016-06-28,832.0,851.0,832.0,840.75,23663.0
2016-06-29,847.7,858.0,839.5,855.4,54792.0
2016-06-30,860.9,860.9,833.0,847.3,87830.0
2016-07-01,854.9,854.9,835.1,838.2,19432.0
2016-07-04,844.0,896.8,842.05,881.75,121827.0
2016-07-05,881.75,916.9,881.75,913.4,124825.0
2016-07-07,917.0,972.0,914.65,928.1,155620.0
2016-07-08,932.0,954.4,932.0,950.8,93634.0
2016-07-11,956.6,997.4,950.0,994.9,111438.0
2016-07-12,1000.0,1008.0,980.0,993.95,47969.0
2016-07-13,993.95,1003.7,963.3,968.35,30070.0
2016-07-14,976.0,985.95,966.0,975.95,13348.0
