Date,Open,High,Low,Close,Volume
2016-08-31,274.2,305.5,274.2,299.4,79264509.0
2016-09-01,302.5,316.5,302.0,305.15,14699482.0
2016-09-02,306.5,309.0,298.55,301.25,4762383.0
2016-09-06,303.0,310.25,300.6,307.75,5777669.0
2016-09-07,308.85,312.8,302.4,304.0,4147204.0
2016-09-08,306.5,308.0,303.65,305.5,1509509.0
2016-09-09,303.65,303.65,298.1,298.8,1570381.0
2016-09-12,290.9,299.75,287.6,296.95,1779353.0
2016-09-14,299.1,303.3,296.0,296.95,1148592.0
2016-09-15,298.0,302.75,295.0,299.35,1288230.0
2016-09-16,300.6,304.5,299.45,301.8,1559076.0
2016-09-19,303.0,303.9,299.25,301.35,732837.0
2016-09-20,301.35,301.5,296.3,297.15,493343.0
2016-09-21,298.0,301.9,297.35,300.0,512999.0
2016-09-22,302.25,304.0,300.7,302.15,1107243.0
2016-09-23,303.0,307.95,301.4,303.3,1735881.0
2016-09-26,303.0,303.0,299.0,302.2,573498.0
2016-09-27,303.0,303.5,298.0,298.9,399580.0
2016-09-28,300.5,304.45,295.55,297.55,800367.0
2016-09-29,298.9,302.5,281.55,285.9,1238800.0
2016-09-30,287.0,293.8,286.05,291.2,678758.0
2016-10-03,298.5,299.9,295.2,297.6,770999.0
2016-10-04,299.1,299.95,296.5,297.55,638685.0
2016-10-05,299.8,299.9,295.0,295.65,629557.0
2016-10-06,299.0,307.5,296.0,304.3,2018179.0
2016-10-07,305.0,315.45,305.0,309.25,2853699.0
2016-10-10,311.9,314.9,308.65,313.1,870931.0
2016-10-13,310.0,311.4,303.8,306.25,634699.0
2016-10-14,307.0,321.3,306.4,314.7,2723451.0
2016-10-17,316.0,316.45,306.0,307.8,1042365.0
2016-10-18,309.35,312.4,303.0,307.45,1410353.0
2016-10-19,311.95,316.0,311.9,313.4,1951746.0
2016-10-20,322.0,335.0,316.7,328.05,14969063.0
2016-10-21,328.0,332.0,322.5,328.55,2572236.0
2016-10-24,329.3,334.9,324.4,333.6,2301063.0
2016-10-25,334.0,346.0,332.2,344.5,2684845.0
2016-10-26,345.8,357.0,341.4,353.45,2416491.0
2016-10-27,353.35,367.0,343.65,361.15,2552663.0
2016-10-28,364.8,376.0,364.75,374.65,3822219.0
2016-10-30,379.7,399.5,378.8,390.6,6236814.0
2016-11-01,396.2,404.4,393.2,395.8,4793590.0
2016-11-02,390.0,390.0,381.0,382.05,2677682.0
2016-11-03,383.0,389.3,375.55,378.95,1872349.0
2016-11-04,381.35,381.35,353.0,365.95,4093138.0
2016-11-07,374.0,387.0,372.2,383.2,2143425.0
2016-11-08,388.0,392.0,376.65,385.95,1945916.0
2016-11-09,335.0,385.7,330.0,376.95,7489091.0
2016-11-10,386.25,392.0,376.6,380.9,3426477.0
2016-11-11,379.15,389.0,377.0,379.25,2213653.0
2016-11-15,377.0,384.0,360.65,363.65,2301339.0
2016-11-16,374.9,374.9,352.0,354.05,2884543.0
2016-11-17,357.95,359.5,338.0,341.7,2473956.0
2016-11-18,342.1,348.0,338.0,338.95,1969726.0
2016-11-21,343.0,345.0,330.4,333.6,1668922.0
2016-11-22,336.45,345.95,332.1,344.2,1410662.0
2016-11-23,347.7,347.75,338.1,340.7,1324444.0
2016-11-24,338.0,343.5,333.45,337.6,1137889.0
2016-11-25,341.3,352.5,341.1,351.1,2139191.0
2016-11-28,343.0,356.7,341.6,353.2,1775757.0
2016-11-29,352.05,363.0,352.05,359.65,1515335.0
2016-11-30,362.0,365.4,359.0,363.75,2231594.0
2016-12-01,367.0,367.0,350.3,352.35,1136639.0
2016-12-02,348.6,352.4,343.6,346.7,1280824.0
2016-12-05,346.7,351.9,346.0,350.4,775558.0
2016-12-06,350.55,354.0,345.25,347.75,668599.0
2016-12-07,350.4,356.75,340.0,345.0,1530231.0
2016-12-08,345.9,355.0,345.9,354.1,1075910.0
2016-12-09,355.75,355.9,349.5,351.55,639742.0
2016-12-12,351.4,351.6,346.3,348.95,451324.0
2016-12-13,349.6,350.55,343.0,344.5,498168.0
2016-12-14,346.0,346.5,339.05,340.25,494081.0
2016-12-15,337.0,359.25,336.1,355.7,2148784.0
2016-12-16,357.9,359.6,351.5,352.35,876002.0
2016-12-19,352.4,352.4,345.2,346.35,496713.0
2016-12-20,346.7,350.1,343.0,344.95,808548.0
2016-12-21,346.5,347.4,342.1,344.2,981199.0
2016-12-22,344.0,346.0,339.2,340.2,1389189.0
2016-12-23,340.0,342.3,335.85,336.6,687689.0
2016-12-26,337.8,337.8,330.1,330.8,760436.0
2016-12-27,333.95,334.4,327.6,330.3,975916.0
2016-12-28,331.5,334.0,325.1,327.9,1582481.0
2016-12-29,331.25,334.9,327.5,331.65,987942.0
2016-12-30,332.6,336.9,332.0,335.1,761290.0
2017-01-02,338.7,338.9,333.2,335.8,451008.0
2017-01-03,334.5,344.8,334.5,341.3,1270559.0
2017-01-04,344.4,349.6,342.15,345.55,831454.0
2017-01-05,348.0,355.0,346.1,353.95,955270.0
2017-01-06,356.0,359.35,353.3,356.5,897733.0
2017-01-09,357.1,360.0,354.0,354.7,543620.0
2017-01-10,356.0,364.4,356.0,362.5,846975.0
2017-01-11,366.0,373.0,364.1,369.4,1435347.0
2017-01-12,371.15,373.9,365.2,367.75,849548.0
2017-01-13,369.0,370.0,362.55,366.35,547211.0
2017-01-16,365.5,379.25,365.5,376.45,1038229.0
2017-01-17,380.0,384.9,380.0,382.7,1192368.0
2017-01-18,383.0,386.0,380.1,381.45,625932.0
2017-01-19,382.3,382.85,376.0,377.9,777651.0
2017-01-20,380.0,384.9,366.25,368.65,1789052.0
2017-01-23,382.1,393.5,382.1,389.45,4767690.0
2017-01-24,390.0,394.8,389.6,391.75,1368613.0
2017-01-25,392.6,393.0,387.5,390.05,1077143.0
2017-01-27,391.95,411.6,390.0,398.1,3393399.0
2017-01-30,397.0,403.4,389.0,390.85,1239306.0
2017-01-31,391.65,391.8,380.1,382.15,958416.0
2017-02-01,382.95,402.65,382.2,400.95,2418293.0
2017-02-02,401.75,401.75,392.55,394.45,1241240.0
2017-02-03,396.4,399.75,388.35,390.15,1194842.0
2017-02-06,394.05,398.0,390.4,392.2,1076399.0
2017-02-07,394.0,396.0,391.0,392.85,691093.0
2017-02-08,393.8,396.95,388.7,393.4,1104622.0
2017-02-09,393.9,397.8,391.0,394.4,904789.0
2017-02-10,394.65,395.7,388.3,389.5,490528.0
2017-02-13,390.9,395.0,387.2,392.85,723145.0
2017-02-14,392.9,407.95,391.1,403.75,2481915.0
2017-02-15,403.1,405.5,394.0,395.55,1394501.0
2017-02-16,397.05,416.4,392.8,413.1,3128098.0
2017-02-17,417.7,421.4,413.6,418.45,1911043.0
2017-02-20,419.0,426.8,413.65,425.25,1362897.0
2017-02-21,425.8,431.45,424.0,426.55,1222992.0
2017-02-22,426.0,433.65,422.5,427.2,1174305.0
2017-02-23,428.4,474.15,427.25,456.9,6184856.0
2017-02-27,458.0,488.0,457.0,467.8,6100634.0
2017-02-28,470.9,484.0,470.0,476.7,3355945.0
2017-03-01,479.9,481.85,475.6,479.15,2085512.0
2017-03-02,480.1,482.0,455.55,462.5,2999845.0
2017-03-03,461.9,467.25,452.0,455.55,1651705.0
2017-03-06,457.9,475.5,457.3,472.25,1621782.0
2017-03-07,473.0,478.95,468.1,474.3,1630959.0
2017-03-08,474.1,482.9,474.1,479.1,1755717.0
2017-03-09,478.0,482.0,470.8,471.8,1922479.0
2017-03-10,473.15,477.8,466.65,470.05,613129.0
2017-03-14,481.2,484.35,475.0,476.75,973750.0
2017-03-15,478.45,479.4,472.35,476.85,501574.0
2017-03-16,479.9,481.0,477.5,479.15,1197430.0
2017-03-17,480.95,496.4,478.0,486.65,2220915.0
2017-03-20,489.3,499.85,486.85,498.25,1577111.0
2017-03-21,499.3,507.0,492.0,501.0,1965748.0
2017-03-22,495.25,509.95,495.0,501.0,1309900.0
2017-03-23,502.75,504.95,498.05,500.1,763319.0
2017-03-24,500.7,503.9,491.7,492.95,868783.0
2017-03-27,493.95,499.8,491.05,495.75,643606.0
2017-03-28,499.35,499.35,484.0,486.6,1285922.0
2017-03-29,489.0,495.9,481.3,485.8,1081736.0
2017-03-30,485.65,490.0,485.0,486.55,583494.0
2017-03-31,486.95,498.4,482.5,494.55,1590621.0
2017-04-03,497.9,510.8,495.8,507.4,1373303.0
2017-04-05,510.0,546.5,509.15,533.9,3388473.0
2017-04-06,533.9,551.0,530.0,547.1,2339282.0
2017-04-07,542.95,569.8,540.1,555.5,5450168.0
2017-04-10,560.9,599.0,560.6,587.45,5316206.0
2017-04-11,592.0,599.4,567.0,574.8,3477562.0
2017-04-12,574.4,585.0,562.0,579.95,4086616.0
2017-04-13,579.05,579.5,550.2,558.65,2135565.0
2017-04-17,554.25,554.25,527.4,540.5,2276461.0
2017-04-18,541.0,564.8,541.0,550.95,3225669.0
2017-04-19,553.8,580.0,552.9,578.2,4135028.0
2017-04-20,581.0,584.35,571.1,577.4,1789317.0
2017-04-21,580.0,584.8,568.0,570.2,1646702.0
2017-04-24,573.95,579.9,563.0,563.9,1157791.0
2017-04-25,568.6,573.55,563.15,567.85,1077234.0
2017-04-26,570.0,572.0,547.55,550.7,1910916.0
2017-04-27,555.0,561.8,550.1,553.4,1500528.0
2017-04-28,556.85,568.7,553.5,564.45,1471824.0
2017-05-02,570.0,589.9,570.0,585.45,3904539.0
2017-05-03,577.0,600.9,572.55,589.15,5715260.0
2017-05-04,591.9,596.0,569.0,571.4,2111966.0
2017-05-05,575.0,576.0,560.0,561.15,1269894.0
2017-05-08,565.0,565.95,551.6,555.4,1002399.0
2017-05-09,557.05,565.45,555.0,559.3,881861.0
2017-05-10,561.9,565.0,557.5,561.95,594485.0
2017-05-11,564.0,569.0,559.95,561.4,993610.0
2017-05-12,562.3,563.5,551.4,556.55,706299.0
2017-05-15,557.5,564.9,551.1,563.9,888219.0
2017-05-16,564.8,567.7,559.0,562.6,495571.0
2017-05-17,563.0,569.9,558.0,564.25,831318.0
2017-05-18,559.8,563.0,551.0,552.15,1050920.0
2017-05-19,560.95,567.0,551.4,555.45,1292735.0
2017-05-22,557.5,559.95,542.6,544.85,676006.0
2017-05-23,546.0,547.4,502.2,524.5,1588845.0
2017-05-24,524.95,539.7,518.2,524.35,1343057.0
2017-05-25,527.8,549.45,525.75,545.6,1052847.0
2017-05-26,549.4,552.5,505.3,516.55,7280565.0
2017-05-29,519.0,527.9,504.0,508.15,2977390.0
2017-05-30,505.4,514.0,495.85,509.5,1418146.0
2017-05-31,511.0,537.9,509.9,527.7,3068601.0
2017-06-01,533.0,554.25,531.0,550.1,3657981.0
2017-06-02,552.0,558.0,546.05,550.85,1634243.0
2017-06-05,552.9,552.9,540.0,542.95,761989.0
2017-06-06,543.4,550.8,537.5,542.8,1075850.0
2017-06-07,543.0,552.7,539.35,549.45,1431120.0
2017-06-08,551.7,551.85,542.1,544.65,1553389.0
2017-06-09,543.0,543.7,533.5,537.6,1196296.0
2017-06-12,536.0,536.6,526.3,527.8,830261.0
2017-06-13,528.0,533.65,514.25,516.35,1508713.0
2017-06-14,517.0,524.7,512.25,518.1,1540848.0
2017-06-15,518.5,519.15,510.1,514.0,897817.0
2017-06-16,514.0,520.4,513.0,515.0,1156394.0
2017-06-19,517.9,518.6,507.05,509.35,1041585.0
2017-06-20,510.0,515.5,508.45,509.65,927004.0
2017-06-21,510.9,517.85,505.0,512.2,1659522.0
2017-06-22,514.8,518.0,509.85,511.7,1500000.0
2017-06-23,514.0,514.0,501.6,505.85,1195150.0
2017-06-27,506.0,511.0,492.25,508.95,1651637.0
2017-06-28,505.75,512.75,502.85,505.35,1064791.0
2017-06-29,506.95,514.65,500.0,501.8,1797714.0
2017-06-30,498.5,509.0,496.25,507.75,1665573.0
2017-07-03,507.95,519.5,503.75,517.7,1681165.0
2017-07-04,518.0,527.35,516.0,521.8,2341020.0
2017-07-05,525.3,526.9,520.5,524.25,1352844.0
2017-07-06,522.0,529.4,521.05,524.85,977589.0
2017-07-07,512.0,530.0,508.4,527.0,4378621.0
2017-07-10,530.0,551.0,495.0,532.6,264541.0
2017-07-11,532.5,537.9,530.0,532.05,895189.0
2017-07-12,533.0,536.0,529.3,533.75,616647.0
2017-07-13,534.0,547.0,533.0,546.35,2016844.0
2017-07-14,549.75,551.75,538.45,540.75,1083576.0
2017-07-17,542.0,545.0,519.75,529.45,1232430.0
2017-07-18,522.6,526.5,517.35,521.45,1388550.0
2017-07-19,523.95,541.3,522.05,537.6,1884008.0
2017-07-20,542.5,547.0,536.0,539.45,2053946.0
2017-07-21,540.0,544.5,528.0,532.35,2057774.0
