Date,O,H,L,C,V
2021-11-18,1950.0,1955.0,1560.0,1560.8,23955434
2021-11-22,1509.0,1519.0,1271.0,1359.6,25114710
2021-11-23,1360.0,1525.0,1360.0,1494.7,12954174
2021-11-24,1503.0,1785.0,1502.95,1752.45,21541021
2021-11-25,1766.7,1873.7,1711.1,1798.75,13018344
2021-11-26,1760.0,1832.0,1663.0,1782.6,6527364
2021-11-29,1700.0,1810.0,1700.0,1736.45,4564112
2021-11-30,1729.95,1770.0,1678.2,1699.6,2200149
2021-12-01,1715.0,1725.0,1629.15,1636.7,1294466
2021-12-02,1642.0,1671.65,1592.0,1600.85,1089716
2021-12-03,1615.0,1698.0,1601.0,1648.35,1322036
2021-12-06,1658.0,1680.05,1598.7,1604.45,632800
2021-12-07,1623.35,1635.0,1571.0,1577.5,631249
2021-12-08,1590.25,1610.0,1546.25,1553.4,726491
2021-12-09,1550.0,1644.7,1525.1,1593.95,2849040
2021-12-10,1605.0,1609.0,1563.0,1567.55,845711
2021-12-13,1578.0,1578.75,1546.1,1555.05,740610
2021-12-14,1547.0,1555.05,1490.75,1496.05,1386088
2021-12-15,1421.3,1429.95,1296.0,1379.95,13139593
2021-12-16,1435.0,1435.0,1390.55,1399.35,2323522
2021-12-17,1411.0,1411.0,1307.0,1321.0,2503637
2021-12-20,1321.0,1327.6,1290.0,1304.0,1740923
2021-12-21,1306.0,1348.95,1306.0,1311.45,995207
2021-12-22,1348.1,1350.0,1330.55,1342.2,966463
2021-12-23,1358.45,1385.0,1344.0,1348.8,1268283
2021-12-24,1348.7,1381.0,1331.15,1369.55,1340599
2021-12-27,1365.0,1365.35,1335.3,1344.95,717268
2021-12-28,1350.0,1364.2,1345.0,1353.5,1112292
2021-12-29,1353.5,1379.15,1340.0,1341.55,1096725
2021-12-30,1330.0,1350.0,1325.1,1327.95,806752
2021-12-31,1336.0,1347.8,1330.05,1334.55,407521
2022-01-03,1335.0,1346.85,1335.0,1339.8,502075
2022-01-04,1350.0,1350.0,1313.0,1317.75,1588242
2022-01-05,1323.5,1325.7,1285.35,1288.35,1731917
2022-01-06,1287.0,1287.0,1251.0,1254.05,1765486
2022-01-07,1265.0,1265.0,1230.0,1231.6,1807539
2022-01-10,1230.0,1230.0,1152.05,1158.05,4560745
2022-01-11,1165.0,1215.0,1113.65,1119.65,6462743
2022-01-12,1124.0,1133.85,1075.0,1082.7,6400253
2022-01-13,1085.0,1087.9,1025.0,1031.8,5750658
2022-01-14,1025.0,1128.0,1000.0,1118.6,16212066
2022-01-17,1127.7,1145.9,1092.0,1105.3,5521603
2022-01-18,1105.5,1118.45,1030.0,1041.65,4933836
2022-01-19,1044.85,1051.9,990.0,997.35,7289774
2022-01-20,1013.0,1036.1,990.0,995.35,4846568
2022-01-21,995.05,999.3,952.3,960.3,4328259
2022-01-24,960.3,960.3,881.05,917.45,7942445
2022-01-25,900.0,938.0,875.0,914.8,6091452
2022-01-27,904.0,913.0,881.0,893.7,2459507
2022-01-28,900.4,923.9,900.0,903.05,2209828
2022-01-31,920.0,932.0,911.0,916.85,1609589
2022-02-01,925.0,977.0,921.2,965.6,5469324
2022-02-02,975.0,994.0,950.1,957.1,2672904
2022-02-03,959.0,959.0,940.05,944.5,1410694
2022-02-04,950.35,961.9,946.05,953.3,1272194
2022-02-07,941.0,984.5,881.3,957.55,3854849
2022-02-08,965.75,976.75,931.75,937.95,1760398
2022-02-09,948.75,955.0,936.2,941.5,833193
2022-02-10,958.75,958.75,935.75,938.35,1036415
2022-02-11,933.0,934.45,903.0,906.5,1272179
2022-02-14,895.95,895.95,860.0,863.5,1866242
2022-02-15,874.0,884.45,840.0,851.5,2446406
2022-02-16,865.0,883.3,856.0,861.35,2793265
2022-02-17,865.0,869.8,845.25,849.95,1362229
2022-02-18,844.8,848.0,831.0,833.4,1325802
2022-02-21,832.5,834.0,805.0,807.7,1975577
2022-02-22,800.0,834.65,785.0,815.9,3701578
2022-02-23,823.0,837.05,815.25,821.95,1575013
2022-02-24,790.0,802.85,771.15,777.75,1917591
2022-02-25,801.1,806.7,785.8,789.35,1460303
2022-02-28,785.8,806.9,772.4,798.1,1334742
2022-03-02,789.0,806.65,783.55,797.2,1697859
2022-03-03,805.45,817.45,791.75,796.3,1254749
2022-03-04,787.0,798.55,782.25,784.85,1020058
2022-03-07,774.85,778.0,751.0,753.45,1157890
2022-03-08,753.0,764.95,728.05,737.75,1808389
2022-03-09,750.0,759.8,742.1,749.85,1399649
2022-03-10,766.5,795.8,761.0,775.6,2236562
2022-03-11,771.0,781.0,766.6,775.05,919363
2022-03-14,675.0,719.0,661.5,674.8,15156116
2022-03-15,695.05,703.35,584.55,592.45,23922506
2022-03-16,597.0,648.65,572.0,634.05,33733481
2022-03-17,633.0,637.0,590.0,597.05,16758410
2022-03-21,595.0,595.0,560.1,565.7,12853207
2022-03-22,565.75,590.45,540.35,544.0,26111441
2022-03-23,552.0,562.0,521.0,524.3,8888824
2022-03-24,522.0,595.0,521.1,574.35,24014616
2022-03-25,577.6,588.0,541.15,546.0,8790875
2022-03-28,552.0,554.0,532.8,535.55,3748018
2022-03-29,540.0,546.9,523.5,524.8,4147495
2022-03-30,530.0,549.05,529.05,541.3,5146752
2022-03-31,546.7,548.85,525.5,528.45,4345898
2022-04-01,532.0,582.45,530.0,571.3,15351166
