Date,Open,High,Low,Close,Volume
2018-03-27,499.0,499.0,455.0,476.85,91036634.0
2018-03-28,463.85,478.9,463.0,469.05,12056881.0
2018-04-02,474.9,485.0,472.0,475.7,5239378.0
2018-04-03,474.0,485.9,469.15,483.45,2796977.0
2018-04-04,484.6,488.8,478.0,486.05,2459030.0
2018-04-05,490.0,514.9,487.3,509.2,8163440.0
2018-04-06,512.5,517.7,505.2,508.25,1844654.0
2018-04-09,508.8,519.9,496.05,514.45,2656272.0
2018-04-10,515.0,520.8,510.2,518.65,1731872.0
2018-04-11,519.9,535.0,513.0,533.5,3555719.0
2018-04-12,530.0,540.8,526.1,534.75,1884412.0
2018-04-13,533.0,536.95,526.4,528.65,1057977.0
2018-04-16,523.9,532.35,516.1,518.8,760439.0
2018-04-17,520.0,521.4,500.0,505.1,1156139.0
2018-04-18,508.0,513.5,501.0,504.15,815508.0
2018-04-19,505.2,508.9,502.0,505.1,589106.0
2018-04-20,505.1,510.5,493.1,495.05,949874.0
2018-04-23,496.0,504.3,481.75,498.35,2474228.0
2018-04-24,500.0,502.3,486.0,489.85,1200876.0
2018-04-25,490.05,497.1,485.25,494.3,1313604.0
2018-04-26,497.1,501.4,491.1,495.0,1878261.0
2018-04-27,498.8,522.95,498.5,506.45,5635987.0
2018-04-30,509.5,515.9,502.7,513.45,1461600.0
2018-05-02,513.0,520.9,511.0,515.85,1319363.0
2018-05-03,511.95,515.0,496.4,502.05,861937.0
2018-05-04,503.0,506.0,500.5,504.6,1078225.0
2018-05-07,507.0,508.0,492.65,494.5,764766.0
2018-05-08,496.95,497.0,490.0,494.35,568372.0
2018-05-09,492.0,495.25,485.3,488.6,505802.0
2018-05-10,490.0,493.9,484.05,486.45,251959.0
2018-05-11,486.55,492.2,480.25,484.35,1030945.0
2018-05-14,484.0,489.4,478.4,479.95,377154.0
2018-05-15,483.9,489.8,473.5,483.85,1463884.0
2018-05-16,479.9,484.9,475.0,482.5,432584.0
2018-05-17,483.0,487.0,477.65,483.85,477080.0
2018-05-18,481.05,485.05,478.0,479.55,294337.0
2018-05-21,474.0,481.2,463.2,468.8,363194.0
2018-05-22,468.8,477.4,468.0,470.35,243251.0
2018-05-23,471.8,500.0,469.3,495.95,1809012.0
2018-05-24,489.8,495.1,474.6,477.2,435390.0
2018-05-25,483.75,487.0,476.85,483.1,289819.0
2018-05-28,486.7,488.4,481.0,484.55,228736.0
2018-05-29,485.1,488.5,478.25,479.75,172900.0
2018-05-30,477.0,478.95,468.2,469.9,372779.0
2018-05-31,472.2,474.0,463.1,470.5,375833.0
2018-06-01,470.0,478.75,470.0,475.1,347149.0
2018-06-04,479.0,479.0,470.4,473.95,331178.0
2018-06-05,474.0,474.0,456.15,470.05,535857.0
2018-06-06,471.0,503.6,467.0,495.7,2580270.0
2018-06-07,501.0,502.9,491.2,498.05,767664.0
2018-06-08,496.9,502.35,492.3,498.1,971489.0
2018-06-11,501.0,529.0,496.05,512.2,3530631.0
2018-06-12,510.1,525.5,505.55,520.2,1061375.0
2018-06-13,521.05,539.85,518.55,535.7,1541850.0
2018-06-14,538.0,560.0,538.0,547.2,3171005.0
2018-06-15,544.4,553.8,531.4,550.15,1468910.0
2018-06-18,548.05,557.9,545.2,551.95,653866.0
2018-06-19,546.25,549.95,532.0,534.2,603528.0
2018-06-20,536.95,551.4,535.15,539.7,617216.0
2018-06-21,541.0,547.9,535.15,537.55,327133.0
2018-06-22,537.55,544.0,533.15,536.1,293938.0
2018-06-25,538.35,542.0,533.05,534.5,308692.0
2018-06-26,532.1,542.0,528.05,531.5,1183515.0
2018-06-27,535.0,535.0,520.05,523.85,855250.0
2018-06-28,522.0,523.85,508.0,512.2,260547.0
2018-06-29,514.95,530.0,512.25,526.55,346849.0
2018-07-02,530.0,530.65,523.0,527.65,1119123.0
2018-07-03,527.0,567.8,525.0,559.25,679896.0
2018-07-04,552.8,558.7,545.05,548.45,367351.0
2018-07-05,547.15,549.8,538.0,540.05,270838.0
2018-07-06,538.05,548.4,538.05,544.3,313428.0
2018-07-09,548.8,560.7,544.5,557.95,687065.0
2018-07-10,561.0,585.95,561.0,580.0,1321938.0
2018-07-11,577.0,588.8,564.0,567.4,862150.0
2018-07-12,569.9,572.0,555.65,563.15,960998.0
2018-07-13,564.8,579.35,556.4,568.95,1274500.0
2018-07-16,558.25,564.8,544.55,557.35,433679.0
2018-07-17,559.9,566.4,552.05,562.75,397824.0
2018-07-18,564.0,607.7,564.0,600.5,5518147.0
2018-07-19,599.0,633.0,590.35,617.5,3883898.0
2018-07-20,618.0,706.8,616.0,687.4,5425223.0
2018-07-23,685.0,714.0,665.55,681.2,2813794.0
2018-07-24,681.3,712.9,681.3,708.7,2345515.0
2018-07-25,709.9,715.0,688.4,695.1,1490189.0
2018-07-26,697.9,702.9,660.1,664.5,1091444.0
2018-07-27,667.05,696.7,667.0,687.05,1354625.0
2018-07-30,690.4,707.95,685.95,690.0,769600.0
2018-07-31,690.1,719.8,682.6,701.35,1586042.0
2018-08-01,703.5,714.0,703.0,706.95,602841.0
2018-08-02,708.6,708.7,693.0,699.45,622240.0
2018-08-03,704.45,710.45,693.5,698.7,651603.0
2018-08-06,704.35,704.35,685.0,688.85,676161.0
2018-08-07,689.9,691.65,671.75,675.45,569096.0
2018-08-08,675.45,696.0,675.45,692.75,584943.0
2018-08-09,694.1,741.8,694.1,729.7,3562003.0
2018-08-10,731.4,731.4,695.0,702.7,818271.0
2018-08-13,699.8,702.4,680.55,685.5,663776.0
2018-08-14,685.5,707.75,685.5,698.9,960441.0
2018-08-16,694.0,706.95,690.0,700.65,501028.0
2018-08-17,704.95,711.45,702.15,703.9,723488.0
2018-08-20,707.95,709.65,698.0,699.75,376704.0
2018-08-21,698.0,698.0,682.0,685.05,589147.0
2018-08-23,690.0,692.4,662.35,665.7,1671749.0
2018-08-24,666.5,681.0,612.0,674.6,5165184.0
2018-08-27,681.65,704.1,681.4,689.35,1698763.0
2018-08-28,695.9,701.0,681.65,698.0,894560.0
2018-08-29,700.0,700.0,681.1,686.15,821218.0
2018-08-30,686.0,694.8,674.2,677.4,430372.0
2018-08-31,677.45,698.25,672.7,694.8,737840.0
2018-09-03,694.05,696.0,667.8,670.75,730245.0
2018-09-04,674.95,677.95,630.0,638.3,1310534.0
2018-09-05,635.0,656.65,616.7,635.4,11060659.0
2018-09-06,645.0,654.3,640.0,643.15,794953.0
2018-09-07,643.1,661.95,640.05,658.65,750500.0
2018-09-10,660.0,665.9,642.5,646.3,783340.0
2018-09-11,648.95,657.3,614.25,620.25,931807.0
2018-09-12,622.05,630.35,598.0,612.8,1281396.0
2018-09-14,620.5,639.7,620.5,625.3,847107.0
2018-09-17,623.8,632.0,613.0,624.5,547457.0
2018-09-18,627.0,633.0,618.0,619.4,323964.0
2018-09-19,621.1,626.95,599.0,602.3,529034.0
2018-09-21,610.0,623.95,545.05,569.6,4891350.0
2018-09-24,575.0,580.45,538.0,547.75,1802699.0
2018-09-25,545.0,576.75,531.0,567.05,1441799.0
2018-09-26,572.0,575.95,548.0,552.6,625749.0
2018-09-27,554.8,577.0,542.3,570.35,1230585.0
2018-09-28,570.35,575.3,550.05,565.25,896827.0
2018-10-01,475.55,485.9,452.2,452.2,4197547.0
2018-10-03,437.0,498.8,422.1,446.4,13911206.0
2018-10-04,438.0,465.3,430.1,458.4,4294419.0
2018-10-05,460.0,468.95,451.75,458.8,2153997.0
2018-10-08,464.0,489.6,456.3,471.2,1795572.0
2018-10-09,476.4,492.0,476.4,486.85,1134177.0
2018-10-10,498.0,521.35,493.05,512.15,5186411.0
2018-10-11,490.0,491.95,462.15,470.2,3521166.0
2018-10-12,475.0,485.85,463.0,467.8,1559358.0
2018-10-15,480.0,482.0,467.0,470.75,1185286.0
2018-10-16,474.0,476.0,463.05,463.95,721266.0
2018-10-17,466.0,471.95,450.55,454.45,766677.0
2018-10-19,450.6,451.4,405.0,416.3,2075324.0
2018-10-22,425.0,425.0,403.0,408.95,787706.0
2018-10-23,403.0,407.75,397.0,399.8,1169804.0
2018-10-24,406.0,408.9,385.05,392.8,1817323.0
2018-10-25,386.2,389.0,377.2,380.05,2489963.0
2018-10-26,375.05,389.25,368.1,380.45,1687866.0
2018-10-29,385.55,404.0,381.05,398.7,1440974.0
2018-10-30,399.8,399.8,383.0,384.6,1355884.0
2018-10-31,389.95,395.6,386.8,390.25,500973.0
2018-11-01,395.0,417.95,391.0,411.3,1254442.0
2018-11-02,416.0,449.0,415.5,426.85,1873856.0
2018-11-05,429.75,444.0,426.0,435.95,1038453.0
2018-11-06,444.9,445.7,435.0,437.55,317131.0
2018-11-07,444.7,444.7,437.0,439.35,77012.0
2018-11-09,440.0,440.7,426.4,431.5,314171.0
2018-11-12,432.0,438.7,423.1,425.9,243969.0
2018-11-13,424.0,435.0,418.1,432.4,346706.0
2018-11-14,432.85,437.7,425.65,433.6,303657.0
2018-11-15,430.0,463.95,430.0,459.75,1065162.0
2018-11-16,465.0,489.9,462.0,476.2,1475264.0
2018-11-19,479.4,485.7,472.3,478.2,482371.0
2018-11-20,475.25,475.25,460.0,462.15,316673.0
2018-11-21,463.8,473.0,460.0,466.85,284630.0
2018-11-22,468.15,471.7,452.0,454.05,306564.0
2018-11-26,455.8,459.45,442.05,453.55,402970.0
2018-11-27,451.95,473.5,444.0,464.95,796421.0
2018-11-28,465.0,471.95,456.4,466.55,484897.0
2018-11-29,469.95,489.2,466.0,487.0,884658.0
2018-11-30,489.0,498.2,470.2,483.65,967220.0
2018-12-03,487.95,493.9,483.1,491.45,762010.0
2018-12-04,494.0,494.0,482.6,487.15,463146.0
