Date,TTL_TRD_QNTY,NO_OF_TRADES,QTY_PER_TRADE,DELIV_QTY,DELIV_PER
2022-11-11,36271420,360131,100.72,12090949,
2022-11-14,7021355,110812,63.36,2131474,
2022-11-15,7021355,110812,63.36,2131474,
2022-11-16,1846883,42555,43.4,655781,
2022-11-17,1025856,22144,46.33,442310,
2022-11-18,1162040,20065,57.91,364293,
2022-11-21,538570,12080,44.58,257529,
2022-11-22,522794,13268,39.4,265358,
2022-11-23,525846,11877,44.27,205111,
2022-11-24,613962,13108,46.84,223036,
2022-11-25,660754,11195,59.02,297689,
2022-11-28,361035,9053,39.88,183690,
2022-11-29,502522,8177,61.46,356160,
2022-11-30,221833,5597,39.63,104264,
2022-12-01,214179,6334,33.81,115406,
2022-12-02,469185,8980,52.25,203485,
2022-12-05,196689,5913,33.26,90992,
2022-12-06,194532,4778,40.71,127967,
2022-12-07,167035,5153,32.42,103043,
2022-12-08,275324,7068,38.95,175813,
2022-12-09,1152808,25342,45.49,756787,
2022-12-12,424357,12508,33.93,197540,
2022-12-13,471315,15704,30.01,275916,
2022-12-14,471311,24009,19.63,236898,
2022-12-15,357993,7235,49.48,224734,
2022-12-16,740012,13678,54.1,401646,
2022-12-19,429066,11405,37.62,155943,
2022-12-20,503625,14793,34.04,98363,
2022-12-21,393250,12047,32.64,145272,
2022-12-22,656386,24482,26.81,269256,
2022-12-23,684640,25092,27.29,311870,
2022-12-26,727852,23244,31.31,228452,
2022-12-27,549569,14114,38.94,166492,
2022-12-28,661931,14504,45.64,237558,
2022-12-29,601203,15762,38.14,232583,
2022-12-30,302283,8796,34.37,105219,
2023-01-02,129093,4308,29.97,51731,
2023-01-03,136761,5357,25.53,58588,
2023-01-04,496808,12055,41.21,247282,
2023-01-05,346310,10460,33.11,112028,
2023-01-06,132331,5299,24.97,71958,
2023-01-09,164383,5451,30.16,85112,
2023-01-10,193972,5721,33.91,114655,
2023-01-11,410129,7554,54.29,205576,
2023-01-12,226258,5756,39.31,105414,
2023-01-13,269376,5693,47.32,88405,
2023-01-16,149704,4445,33.68,74513,
2023-01-17,155297,3834,40.51,79722,
2023-01-18,124274,4028,30.85,55265,
2023-01-19,125612,3140,40.0,76793,
2023-01-20,150448,3856,39.02,83914,
2023-01-23,142094,4961,28.64,66998,
2023-01-24,183376,5248,34.94,90564,
2023-01-25,150028,4716,31.81,69797,
2023-01-27,325285,12388,26.26,196902,
2023-01-30,390299,7556,51.65,298215,
2023-01-31,163268,4057,40.24,82694,
2023-02-01,448905,12212,36.76,223105,
2023-02-02,254138,9260,27.44,111808,
2023-02-03,258928,8217,31.51,97034,
2023-02-06,352722,9716,36.3,136480,
2023-02-07,244064,9042,26.99,109131,
2023-02-08,168870,5993,28.18,90679,
2023-02-09,238072,9565,24.89,126433,
2023-02-10,264310,15256,17.32,153146,
2023-02-13,352258,15053,23.4,217266,
2023-02-14,209662,8670,24.18,122336,
2023-02-15,1004166,21199,47.37,578053,
2023-02-16,865388,35933,24.08,474163,
2023-02-17,807079,18440,43.77,583772,
2023-02-20,1586399,29078,54.56,521287,
2023-02-21,658764,12477,52.8,203949,
2023-02-22,505441,13958,36.21,109576,
2023-02-23,444604,9120,48.75,191278,
2023-02-24,194228,6542,29.69,72932,
2023-02-27,163375,6584,24.81,73247,
2023-02-28,240490,5730,41.97,112555,
2023-03-01,294149,9541,30.83,96817,
2023-03-02,528222,12427,42.51,192385,
2023-03-03,232512,6415,36.25,100908,
2023-03-06,184376,4797,38.44,69140,
2023-03-08,139201,4134,33.67,67368,
2023-03-09,603648,9081,66.47,345389,
2023-03-10,141279,4636,30.47,61435,
2023-03-13,159921,3825,41.81,83207,
2023-03-14,192861,7638,25.25,58590,
2023-03-15,430952,9663,44.6,229479,
2023-03-16,381997,12124,31.51,121298,
2023-03-17,194515,5383,36.14,70140,
2023-03-20,138595,3868,35.83,75860,
2023-03-21,222592,6350,35.05,98172,
2023-03-22,111676,2982,37.45,68233,
2023-03-23,192223,7330,26.22,87494,
2023-03-24,124978,6707,18.63,68854,
2023-03-27,189959,6626,28.67,113547,
2023-03-28,291683,7994,36.49,169926,
2023-03-29,209428,5969,35.09,106454,
2023-03-31,249124,7545,33.02,91916,
2023-04-03,533017,13311,40.04,170078,
2023-04-05,344583,10352,33.29,128371,
2023-04-06,311665,9624,32.38,98622,
2023-04-10,280499,7684,36.5,132538,
2023-04-11,226793,6444,35.19,112231,
2023-04-12,214982,7037,30.55,98969,
2023-04-13,99182,3498,28.35,57064,
2023-04-17,414203,11570,35.8,184542
2023-04-18,266354,7662,34.76,106584
2023-04-19,172863,5445,31.75,86066
2023-04-20,104380,4138,25.22,39773
2023-04-21,113386,4537,24.99,61411
2023-04-24,68406,2737,24.99,40672
2023-04-25,126228,4460,28.3,60255
2023-04-26,285765,13967,20.46,178511
2023-04-27,753072,31830,23.66,282057
2023-04-28,160927,4774,33.71,78028
2023-05-02,204538,7112,28.76,90692
2023-05-03,101718,3734,27.24,48815
2023-05-04,156462,5720,27.35,51406
2023-05-05,153425,4641,33.06,59717
2023-05-08,256095,8002,32.0,104594
2023-05-09,225353,7246,31.1,113061
2023-05-10,92205,3157,29.21,34127
2023-05-11,94851,3889,24.39,45739
2023-05-12,86303,2925,29.51,40224
2023-05-15,107008,5519,19.39,66530
2023-05-16,155073,5083,30.51,84872
2023-05-17,728155,14023,51.93,273378
2023-05-18,1858404,29360,63.3,562589
2023-05-19,525652,10609,49.55,185183
2023-05-22,931215,14854,62.69,415385
