Date,TTL_TRD_QNTY,NO_OF_TRADES,QTY_PER_TRADE,DELIV_QTY,DELIV_PER
2022-10-27,1103,5,220.6,1103,
2022-10-28,200,4,50.0,200,
2022-10-31,1,1,1.0,1,
2022-11-01,101,2,50.5,101,
2022-11-02,1021,4,255.25,1021,
2022-11-03,106,3,35.33,106,
2022-11-04,100,1,100.0,100,
2022-11-07,1,1,1.0,1,
2022-11-09,121,3,40.33,121,
2022-11-10,6213,7,887.57,6213,
2022-11-11,1020,4,255.0,1020,
2022-11-14,1034,7,147.71,1034,
2022-11-15,1034,7,147.71,1034,
2022-11-16,1879,26,72.27,1379,
2022-11-17,744,16,46.5,744,
2022-11-18,1360,9,151.11,1360,
2022-11-21,421,8,52.62,421,
2022-11-22,1916,17,112.71,1916,
2022-11-23,1044,12,87.0,1044,
2022-11-24,32062,408,78.58,32062,
2022-11-25,19146,254,75.38,19146,
2022-11-28,332,17,19.53,332,
2022-11-29,322,8,40.25,322,
2022-11-30,540,21,25.71,540,
2022-12-01,19226,262,73.38,19226,
2022-12-02,1768,57,31.02,1768,
2022-12-05,2351,41,57.34,2351,
2022-12-06,4469,72,62.07,4469,
2022-12-07,3873,128,30.26,3873,
2022-12-08,1316,60,21.93,1316,
2022-12-09,2651,78,33.99,2651,
2022-12-12,2126,59,36.03,2126,
2022-12-13,2466,46,53.61,2466,
2022-12-14,491,30,16.37,491,
2022-12-15,288,19,15.16,288,
2022-12-16,1067,32,33.34,1067,
2022-12-19,496,25,19.84,496,
2022-12-20,537,18,29.83,537,
2022-12-21,449,21,21.38,449,
2022-12-22,528,22,24.0,528,
2022-12-23,664,22,30.18,664,
2022-12-26,101,6,16.83,101,
2022-12-27,879,20,43.95,879,
2022-12-28,249,24,10.38,249,
2022-12-29,445,16,27.81,445,
2022-12-30,289,14,20.64,289,
2023-01-02,2810,61,46.07,2810,
2023-01-03,846,17,49.76,846,
2023-01-04,414,14,29.57,414,
2023-01-05,369,9,41.0,369,
2023-01-06,93,10,9.3,93,
2023-01-09,129,11,11.73,129,
2023-01-10,303,7,43.29,303,
2023-01-11,145,8,18.12,145,
2023-01-12,388,12,32.33,388,
2023-01-13,206,13,15.85,206
2023-01-16,198,6,33.0,198
2023-01-17,825,7,117.86,825
2023-01-18,678,19,35.68,678
2023-01-19,20,3,6.67,20
2023-01-23,34,2,17.0,34
2023-01-24,38,7,5.43,38
2023-01-25,283,11,25.73,283
2023-01-27,937,29,32.31,937
2023-01-30,938,22,42.64,938
2023-01-31,424,11,38.55,424
2023-02-01,86,7,12.29,86
2023-02-02,691,18,38.39,691
2023-02-03,826,6,137.67,826
2023-02-06,12,3,4.0,12
