Date,TTL_TRD_QNTY,NO_OF_TRADES,QTY_PER_TRADE,DELIV_QTY
2019-09-30,4794,189,25.37,2946
2019-10-01,183742,4310,42.63,118972
2019-10-03,117810,2560,46.02,85226
2019-10-04,83806,2254,37.18,49591
2019-10-07,132271,5259,25.15,49374
2019-10-09,106941,3882,27.55,59209
2019-10-10,43088,1384,31.13,26375
2019-10-11,59468,1955,30.42,32303
2019-10-14,93886,3797,24.73,54575
2019-10-15,139968,6036,23.19,75447
2019-10-16,151095,4028,37.51,90944
2019-10-17,80223,1886,42.54,62281
2019-10-18,61809,1765,35.02,41996
2019-10-22,105652,3618,29.2,64674
2019-10-23,45792,1683,27.21,28652
2019-10-24,27875,1027,27.14,15807
2019-10-25,677562,19147,35.39,209094
2019-10-29,329989,8868,37.21,134720
2019-10-30,126917,4055,31.3,69777
2019-10-31,253449,5418,46.78,162642
2019-11-01,73504,2817,26.09,39935
2019-11-04,77784,3967,19.61,44207
2019-11-05,559219,16011,34.93,223034
2019-11-06,135783,4009,33.87,73043
2019-11-07,212132,7173,29.57,58966
2019-11-08,117016,2763,42.35,40446
2019-11-11,48095,1734,27.74,31585
2019-11-13,382566,9767,39.17,126852
2019-11-14,97447,3532,27.59,40891
2019-11-15,97364,3941,24.71,40823
2019-11-18,49471,2007,24.65,19006
2019-11-19,53606,2082,25.75,18004
2019-11-20,98902,3393,29.15,45354
2019-11-21,53071,1771,29.97,18377
2019-11-22,40003,2306,17.35,15711
2019-11-25,40209,1453,27.67,24964
2019-11-26,82999,2490,33.33,40454
2019-11-27,103692,2355,44.03,58912
2019-11-28,569279,10500,54.22,125470
2019-11-29,51675,1453,35.56,30931
2019-12-02,46486,1810,25.68,24366
2019-12-03,81356,2702,30.11,33376
2019-12-04,51933,2460,21.11,29152
2019-12-05,63956,1933,33.09,32307
2019-12-06,66986,2080,32.2,32997
2019-12-09,133034,4604,28.9,63460
2019-12-10,115084,5686,20.24,48848
2019-12-11,45948,1831,25.09,22893
2019-12-12,43643,2031,21.49,21708
2019-12-13,34649,1154,30.03,19471
2019-12-16,57904,2127,27.22,28457
2019-12-17,25831,1042,24.79,12755
2019-12-18,43638,1298,33.62,23370
2019-12-19,63667,4614,13.8,30770
2019-12-20,223182,9500,23.49,97764
2019-12-23,65491,2248,29.13,35943
2019-12-24,82857,2094,39.57,47558
2019-12-26,78959,2303,34.29,46766
2019-12-27,167183,5770,28.97,91393
2019-12-30,446467,10065,44.36,140460
2019-12-31,245942,4690,52.44,117575
2020-01-01,73389,2713,27.05,38892
2020-01-02,188657,5988,31.51,89131
2020-01-03,366008,10186,35.93,135278
2020-01-06,148867,5307,28.05,71577
2020-01-07,110566,3422,32.31,50630
2020-01-08,847848,21637,39.19,290944
2020-01-09,707146,15037,47.03,220205
2020-01-10,327775,10108,32.43,145871
2020-01-13,130047,4609,28.22,67639
2020-01-14,148225,5599,26.47,77049
2020-01-15,100242,3461,28.96,62343
2020-01-16,100138,3337,30.01,58433
2020-01-17,564452,13506,41.79,181348
2020-01-20,171215,5994,28.56,70528
2020-01-21,411589,10283,40.03,136502
2020-01-22,244147,7267,33.6,103811
2020-01-23,87768,3362,26.11,41312
2020-01-24,319585,9075,35.22,82506
2020-01-27,128198,4321,29.67,54494
2020-01-28,100304,4316,23.24,46802
2020-01-29,103916,4054,25.63,55674
2020-01-30,132871,5757,23.08,79925
2020-01-31,101003,4400,22.96,43398
2020-02-03,76705,3813,20.12,36577
2020-02-04,123007,3918,31.4,74643
2020-02-05,528614,13310,39.72,224034
2020-02-06,482640,13797,34.98,252259
2020-02-07,144927,4717,30.72,76726
2020-02-10,376003,10309,36.47,116379
2020-02-11,95406,2863,33.32,50372
2020-02-12,117699,5192,22.67,50720
2020-02-13,88229,3336,26.45,41584
2020-02-14,191172,6168,30.99,79082
2020-02-17,126508,5430,23.3,60358
2020-02-18,258665,8237,31.4,74152
2020-02-19,216407,5110,42.35,114857
2020-02-20,168926,4664,36.22,71063
2020-02-24,150256,4594,32.71,74295
2020-02-25,701327,15394,45.56,164260
2020-02-26,625205,17082,36.6,145422
