Date,TTL_TRD_QNTY,NO_OF_TRADES,QTY_PER_TRADE,DELIV_QTY
2020-12-04,291513,569,512.33,109553
2020-12-07,84822,185,458.5,62650
2020-12-08,62027,73,849.68,59152
2020-12-09,42845,81,528.95,37854
2020-12-10,9883,43,229.84,7793
2020-12-11,1866,15,124.4,1253
2020-12-14,43436,93,467.05,33945
2020-12-15,7806,40,195.15,5671
2020-12-16,5008,14,357.71,5008
2020-12-17,24262,37,655.73,21195
2020-12-18,2047,15,136.47,1847
2020-12-21,18276,55,332.29,12312
2020-12-22,5981,34,175.91,4420
2020-12-23,8761,41,213.68,6506
2020-12-24,4374,19,230.21,4324
2020-12-28,4817,26,185.27,3200
2020-12-29,15122,55,274.95,7073
2020-12-30,9582,29,330.41,6036
2020-12-31,18336,66,277.82,9456
2021-01-01,27504,62,443.61,13048
2021-01-04,40390,119,339.41,26967
2021-01-05,30641,68,450.6,22415
2021-01-06,33783,67,504.22,30056
2021-01-07,15416,28,550.57,15416
2021-01-08,19482,25,779.28,19481
2021-01-11,6463,13,497.15,6463
2021-01-12,70829,308,229.96,49448
2021-01-13,128950,326,395.55,14355
2021-01-14,357487,151,2367.46,157581
2021-01-15,15152,73,207.56,13195
2021-01-18,2406,22,109.36,2206
2021-01-19,17056,73,233.64,15144
2021-01-20,25928,131,197.92,20039
2021-01-21,39929,122,327.29,16607
2021-01-22,31559,82,384.87,15436
2021-01-25,19940,84,237.38,12270
2021-01-27,20595,37,556.62,20323
2021-01-28,5027,75,67.03,3578
2021-01-29,8314,64,129.91,6938
2021-02-01,8915,72,123.82,7836
2021-02-02,9712,38,255.58,8649
2021-02-03,13076,69,189.51,8293
2021-02-04,10295,45,228.78,9079
2021-02-05,5005,58,86.29,2295
2021-02-08,11051,94,117.56,6591
2021-02-09,38049,87,437.34,12596
2021-02-10,13429,91,147.57,9231
2021-02-11,35754,126,283.76,15057
2021-02-12,80739,286,282.3,46033
2021-02-15,124037,160,775.23,103632
2021-02-16,40511,103,393.31,22072
2021-02-17,68587,86,797.52,63413
2021-02-18,95883,90,1065.37,70051
2021-02-19,124308,204,609.35,78599
2021-02-22,38886,98,396.8,36474
2021-02-23,20291,107,189.64,5004
2021-02-24,16940,63,268.89,4541
2021-02-25,47808,101,473.35,40517
2021-02-26,92602,124,746.79,85147
