Date,TTL_TRD_QNTY,NO_OF_TRADES,QTY_PER_TRADE,DELIV_QTY
2021-12-27,731311,2714,269.46,731311
2021-12-28,8931,229,39.0,8931
2021-12-29,392464,2630,149.23,392464
2021-12-30,448442,6087,73.67,448442
2021-12-31,164699,3136,52.52,164699
2022-01-03,67048,1114,60.19,67048
2022-01-04,275464,4555,60.48,275464
2022-01-05,84451,2452,34.44,84451
2022-01-06,257091,4946,51.98,257091
2022-01-07,27686,408,67.86,27686
2022-01-10,1636335,58099,28.16,496311
2022-01-11,314857,19468,16.17,127696
2022-01-12,458656,14446,31.75,236867
2022-01-13,148098,9716,15.24,72446
2022-01-14,253628,10369,24.46,123684
2022-01-17,166975,6507,25.66,98112
2022-01-18,114586,8227,13.93,69536
2022-01-19,164603,9814,16.77,94111
2022-01-20,55438,3449,16.07,28216
2022-01-21,68400,4231,16.17,32338
2022-01-24,215981,12539,17.22,98584
2022-01-25,276652,11256,24.58,161357
2022-01-27,386090,9010,42.85,214339
2022-01-28,179107,7063,25.36,124204
2022-01-31,340247,4878,69.75,222234
2022-02-01,73705,4185,17.61,28490
2022-02-02,576923,13257,43.52,211228
2022-02-03,91795,4868,18.86,46274
2022-02-04,376697,6752,55.79,216003
2022-02-07,117271,5060,23.18,70558
2022-02-08,87588,5370,16.31,39040
2022-02-09,149758,6891,21.73,49974
2022-02-10,199484,10444,19.1,115498
2022-02-11,113824,8721,13.05,41072
2022-02-14,128054,9917,12.91,59572
2022-02-15,157063,14599,10.76,34011
2022-02-16,81593,9295,8.78,18717
2022-02-17,59943,5901,10.16,12747
2022-02-18,36906,3486,10.59,13727
2022-02-21,319913,16576,19.3,105414
2022-02-22,133352,11909,11.2,49493
2022-02-23,190262,17584,10.82,37102
2022-02-24,164313,10430,15.75,64812
2022-02-25,599381,27856,21.52,135446
2022-02-28,208751,15398,13.56,64328
2022-03-02,127998,6109,20.95,74966
2022-03-03,113684,9372,12.13,34612
2022-03-04,71108,4656,15.27,25151
2022-03-08,94579,8325,11.36,26213
2022-03-09,194728,5770,33.75,134406
2022-03-10,71510,4075,17.55,30352
2022-03-11,146743,7487,19.6,45615
2022-03-14,64721,5011,12.92,22279
2022-03-15,36581,6078,6.02,15828
2022-03-16,27530,2049,13.44,12254
2022-03-17,37012,1836,20.16,19819
2022-03-21,39325,2376,16.55,13483
2022-03-22,26122,1978,13.21,11366
2022-03-23,37962,2132,17.81,18329
2022-03-24,37609,6115,6.15,13326
2022-03-25,36506,7224,5.05,15739
2022-03-28,112455,5067,22.19,76576
2022-03-29,62535,3137,19.93,41603
2022-03-30,164583,4752,34.63,111068
2022-03-31,107716,6428,16.76,45067
2022-04-01,477359,29544,16.16,139771
2022-04-04,113275,9455,11.98,54559
2022-04-05,101508,4995,20.32,33182
2022-04-06,54872,3338,16.44,27910
2022-04-07,37177,2497,14.89,20548
2022-04-08,319214,18814,16.97,142980
2022-04-11,179277,13456,13.32,77630
2022-04-12,95819,5679,16.87,38548
2022-04-13,130036,9145,14.22,41626
2022-04-18,49837,4612,10.81,20414
2022-04-19,51590,3182,16.21,28695
2022-04-20,129466,12545,10.32,38129
2022-04-21,47430,4575,10.37,17953
2022-04-22,74574,6626,11.25,33258
2022-04-25,37439,3653,10.25,18569
2022-04-26,70447,6215,11.33,26802
2022-04-27,26895,2222,12.1,13752
2022-04-28,27395,2669,10.26,17011
2022-04-29,65683,5453,12.05,33518
2022-05-02,29382,2521,11.65,15785
2022-05-04,26935,3048,8.84,13850
2022-05-05,20843,1924,10.83,9198
2022-05-06,45343,4184,10.84,21602
2022-05-09,55745,6237,8.94,19063
2022-05-10,44141,4933,8.95,18193
2022-05-12,40491,5107,7.93,24786
2022-05-13,128416,11185,11.48,41535
2022-05-16,37120,3307,11.22,16130
2022-05-17,57484,4149,13.85,34216
2022-05-18,45718,2865,15.96,20222
2022-05-19,15646,1773,8.82,9833
2022-05-20,55295,3346,16.53,22376
2022-05-23,26174,2257,11.6,12053
2022-05-24,12733,1167,10.91,7454
2022-05-25,17211,2132,8.07,8534
2022-05-26,34231,5119,6.69,9144
2022-05-27,24747,1891,13.09,12972
2022-05-30,64103,2176,29.46,51499
2022-05-31,22710,3527,6.44,8088
2022-06-01,13177,3418,3.86,4158
2022-06-02,35553,3517,10.11,18134
2022-06-03,39146,4156,9.42,19158
2022-06-06,12539,2558,4.9,5420
2022-06-07,9821,2096,4.69,3950
2022-06-08,8633,1349,6.4,3952
2022-06-09,142462,4036,35.3,58414
2022-06-10,27963,2091,13.37,18035
2022-06-13,38508,3139,12.27,20836
2022-06-14,21029,2971,7.08,8354
2022-06-15,6259,1134,5.52,2818
2022-06-16,36985,3938,9.39,9602
2022-06-17,18367,2329,7.89,7895
2022-06-20,32456,2850,11.39,15289
2022-06-21,21549,2469,8.73,8539
2022-06-22,52901,1226,43.15,31217
2022-06-23,49472,1746,28.33,29317
2022-06-24,10022,1391,7.2,3554
2022-06-27,34767,2161,16.09,14259
2022-06-28,56820,1076,52.81,53536
2022-06-29,6711,865,7.76,3845
2022-06-30,4447,737,6.03,2203
2022-07-01,8764,1246,7.03,5123
2022-07-04,13668,2656,5.15,4793
2022-07-05,61725,4721,13.07,15726
2022-07-06,40424,2747,14.72,14345
2022-07-07,15993,1344,11.9,9680
2022-07-08,31691,1049,30.21,20429
2022-07-11,10374,1405,7.38,5829
2022-07-12,24663,1184,20.83,15546
2022-07-13,9025,778,11.6,5428
2022-07-14,9011,528,17.07,7289
2022-07-15,9647,536,18.0,7716
2022-07-18,39330,1488,26.43,32404
2022-07-19,73887,3897,18.96,28776
2022-07-20,12728,1278,9.96,6828
2022-07-21,14822,1233,12.02,7387
2022-07-22,31500,2177,14.47,15384
2022-07-25,51961,3248,16.0,26849
2022-07-26,82607,3649,22.64,42724
2022-07-27,24719,1530,16.16,11914
2022-07-28,11214,911,12.31,7107
2022-07-29,14482,1232,11.75,7354
2022-08-01,34707,848,40.93,27828
2022-08-02,25442,917,27.74,16972
2022-08-03,51568,2672,19.3,29349
2022-08-04,35994,2658,13.54,15341
2022-08-05,124879,6689,18.67,62237
2022-08-10,74903,4825,15.52,39519
2022-08-11,363034,12595,28.82,134410
2022-08-12,425729,11401,37.34,253270
2022-08-16,232234,12506,18.57,107017
2022-08-17,152286,7395,20.59,44132
2022-08-18,99404,6925,14.35,30189
2022-08-19,362903,17277,21.0,124086
2022-08-22,183946,10447,17.61,75986
2022-08-23,223402,11222,19.91,81811
2022-08-24,132799,7593,17.49,49160
2022-08-25,80284,4593,17.48,30046
2022-08-26,138675,9773,14.19,40637
2022-08-29,125677,7960,15.79,38210
2022-08-30,118115,7767,15.21,27084
2022-09-01,72895,4355,16.74,21064
2022-09-02,274344,11487,23.88,70114
2022-09-05,75639,3699,20.45,25387
2022-09-06,164152,6954,23.61,56186
2022-09-07,96433,3554,27.13,44548
2022-09-08,89883,2974,30.22,46360
2022-09-09,140046,5894,23.76,54934
2022-09-12,107328,2851,37.65,36573
2022-09-13,62102,2062,30.12,17677
2022-09-14,70954,2662,26.65,18811
2022-09-15,85861,3804,22.57,25212
2022-09-16,92371,4665,19.8,32395
2022-09-19,104598,5019,20.84,34691
2022-09-20,288644,8122,35.54,162549
2022-09-21,152459,6318,24.13,46836
2022-09-22,99309,4594,21.62,40291
2022-09-23,86709,5482,15.82,37310
2022-09-26,78581,4344,18.09,27701
2022-09-27,53322,2899,18.39,12500
2022-09-28,67405,3350,20.12,11399
2022-09-29,32743,1717,19.07,9135
2022-09-30,89771,4108,21.85,43637
2022-10-03,54122,2866,18.88,10995
2022-10-04,76982,3930,19.59,17407
2022-10-06,55122,2712,20.33,13585
2022-10-07,44305,1522,29.11,5199
2022-10-10,50548,2449,20.64,12275
2022-10-11,53370,2602,20.51,9897
2022-10-12,47570,2346,20.28,10332
2022-10-13,48340,4169,11.6,7983
2022-10-14,61801,4667,13.24,14048
2022-10-17,60502,6297,9.61,12714
2022-10-18,56399,5614,10.05,12907
